year,rsut
2015,99.79207320539919
2016,99.54303162457191
2017,99.94501693934612
2018,99.61189190590218
2019,100.00143196419495
2020,99.65804127732368
2021,99.7624484545564
2022,99.70723914577535
2023,99.25907906310199
2024,99.51923849027452
2025,100.04003180934959
2026,99.54786312155527
2027,99.18050376160502
2028,99.45691990264474
2029,99.74734371655609
2030,99.73264316924629
2031,99.07245556557014
2032,99.59163889427707
2033,99.11586343425594
2034,98.9925505755699
2035,99.24658568917889
2036,99.26363266200235
2037,99.06981038132758
2038,98.99933055720916
2039,98.8053820048293
2040,99.31314344014206
2041,99.02892129976456
2042,98.67454192279136
2043,98.67480688225733
2044,99.05574171510462
2045,98.74217303550407
2046,99.16050621973325
2047,98.29554455900845
2048,98.4691936963225
2049,98.99757997695713
2050,98.63300338118043
2051,98.5191675055517
2052,98.52026580392496
2053,98.55544751311001
2054,98.9705732789758
2055,98.70201551881554
2056,98.40081916704568
2057,98.2943123595355
2058,98.55146588887254
2059,98.03531088633079
2060,97.77139106645977
2061,98.0736326452804
2062,98.1785335384003
2063,97.91183281467384
2064,97.83528057777718
2065,98.02051874448175
2066,98.2022025330426
2067,97.9801711200035
2068,97.66287505267417
2069,97.64142648357236
2070,97.84378392467761
2071,97.13490124010059
2072,97.38455208556292
2073,97.24781299747832
2074,97.44716905567742
2075,97.00055364321355
2076,96.76127595248288
2077,96.76193312553512
2078,96.76007199222094
2079,97.44123867505215
2080,96.91881304179151
2081,96.51240407865342
2082,96.45620727539062
2083,97.22024513140116
2084,96.81046079870772
2085,96.59101035758242
2086,96.63669207847283
2087,96.44878406263376
2088,96.42567370689078
2089,96.30233858709465
2090,95.73981904330317
2091,96.43000868705853
2092,95.6236885175313
2093,95.89905169761344
2094,95.93918615889876
2095,95.59885701218695
2096,95.72713865515303
2097,96.00176799199352
2098,95.60509495147286
2099,95.66983287236462
2100,95.8217558978355
