year,rsut
1850,98.67979938608623
1851,98.10976562221958
1852,98.64828527196796
1853,98.55300085317782
1854,99.12933733495076
1855,98.59321014359344
1856,98.30196180434086
1857,98.6401309180368
1858,98.51062052625704
1859,98.29913744926989
1860,98.45879335353442
1861,98.51984122832027
1862,98.61266134969762
1863,98.88842725304336
1864,98.49604535990201
1865,98.46905997819903
1866,98.99488478925103
1867,98.65639656936054
1868,98.75281852401308
1869,98.47877724556199
1870,98.56077786125302
1871,98.44073494135078
1872,98.30020204009013
1873,98.27230113281132
1874,98.37469844251642
1875,98.81878282406323
1876,98.23136916803288
1877,98.40212927468335
1878,98.80726415501815
1879,98.18922805346506
1880,97.9880490500157
1881,98.31843884625715
1882,98.25296168492876
1883,98.27996684641124
1884,97.93705586166743
1885,98.16968919214713
1886,98.09335967307578
1887,97.77297967391937
1888,97.64171805591292
1889,97.94190276270501
1890,97.99400938706724
1891,97.98737264686048
1892,97.72391218386574
1893,97.9800261261421
1894,97.59344159322411
1895,97.75720932092015
1896,97.61316148790888
1897,97.3705784781267
1898,97.66735491675216
1899,97.80531940011036
1900,97.43836140096566
1901,97.33717514151849
1902,97.28665095275893
1903,96.9830700821716
1904,96.99857679392804
1905,96.82412225550036
1906,96.86168019496661
1907,96.73709955179982
1908,96.68378899216417
1909,96.87762336236727
1910,96.71832641627776
1911,96.91931898607658
1912,96.75044665870104
1913,96.4965070801019
1914,96.45521802529635
1915,96.41890800051776
1916,96.40951085980798
1917,96.64617994985093
1918,96.06682729100797
1919,96.58680336916107
1920,96.00412681522755
1921,96.26654286237165
1922,96.22544895047541
1923,96.16596224537382
1924,96.41609250116585
1925,96.30842293488762
1926,96.31537593403006
1927,96.0365227365352
1928,96.62353144206438
1929,95.575716362552
1930,95.80718657337877
1931,95.70703546420503
1932,96.34185949661598
1933,95.89798811086423
1934,96.08466695371739
1935,95.57718845436457
1936,95.87740178576075
1937,95.31607417252118
1938,95.40871286815744
1939,96.00263853931642
1940,95.51919352961981
1941,95.8360851910286
1942,95.41264908676428
1943,95.76722776773683
1944,95.1378941990496
1945,95.54213510309233
1946,95.67600488017959
1947,95.09480948212287
1948,95.33121769312939
1949,95.41309643026177
1950,95.3905170341642
1951,95.06573226550165
1952,95.18648563568338
1953,95.58611753266001
1954,95.40216452162592
1955,94.91488725702206
1956,95.11125947321607
1957,94.84018682905511
1958,94.87516782468576
1959,94.81332922591
1960,94.9577840639698
1961,95.04204076885485
1962,94.76048042775369
1963,94.76206986222775
1964,95.12816657391771
1965,94.676075138038
1966,94.28818954850416
1967,94.81993803897434
1968,94.077732598879
1969,93.78366630703162
1970,94.26373706783353
1971,93.87044882728456
1972,93.64828971687797
1973,94.05630109176502
1974,94.40581069275996
1975,93.95766867546195
1976,93.71989418435103
1977,93.99787391654408
1978,93.8065467397369
1979,93.60977522782642
1980,93.80639599081735
1981,93.78883009411628
1982,94.20432711286992
1983,93.25993693097965
1984,93.56494211377655
1985,93.62880477200869
1986,93.93522885610732
1987,93.52321073635338
1988,93.57180511297457
1989,93.52746581107505
1990,93.72762186320418
1991,93.5381741373237
1992,93.1915499889887
1993,93.53798385873351
1994,93.83435608472055
1995,93.30977598759293
1996,93.38794048077708
1997,93.2872985198653
1998,93.67037909224587
1999,93.45193811140035
2000,93.27619722759889
