year,rsut
1850,99.07378224584319
1851,98.70506960439134
1852,98.82279606922194
1853,99.00836014515068
1854,98.80708823360621
1855,98.63716338864303
1856,99.04183650104679
1857,98.37694987714661
1858,98.9241741919194
1859,98.85051733313426
1860,98.80370992117213
1861,99.97223685220679
1862,99.45987364195317
1863,98.60405256631424
1864,98.7948814218181
1865,98.9738110474113
1866,98.84430711437696
1867,98.8194624489809
1868,99.08705740662796
1869,98.76647858595231
1870,98.58499874836926
1871,98.50065654375132
1872,98.66060596706795
1873,98.89907896584877
1874,98.5736348141
1875,98.89315977637877
1876,98.80709212087616
1877,98.69419527983567
1878,98.39977589097296
1879,99.13797581300003
1880,98.46944943894451
1881,98.61680111364613
1882,98.72914322215217
1883,100.14502017904012
1884,101.65763250451228
1885,99.88822935746502
1886,98.86650242716752
1887,99.41971964302576
1888,98.91705377554047
1889,98.33906057036164
1890,98.81310220590274
1891,99.20456077105166
1892,98.94310217330975
1893,98.67383049975156
1894,97.9754009700222
1895,98.28777834003238
1896,98.66650398444415
1897,98.3321950601963
1898,98.21246611576092
1899,98.26277903367537
1900,98.4663834020573
1901,98.15364192201253
1902,98.77152658151482
1903,99.9612750093521
1904,99.27678984818375
1905,98.48587534797568
1906,98.76641142829442
1907,98.50837513928298
1908,98.22393086121309
1909,98.80898067380905
1910,98.77455512323219
1911,98.84737878995847
1912,99.42099763784813
1913,99.49669341236583
1914,98.6857324267956
1915,98.90969965887044
1916,99.0454660304185
1917,98.50455602742501
1918,98.91328952661202
1919,98.32186127485716
1920,98.56784642871321
1921,98.3275271367173
1922,98.64923203825742
1923,98.73185825149486
1924,98.63608061135784
1925,98.47185945914322
1926,98.78522246258109
1927,98.05018102742042
1928,98.48303746997371
1929,98.58376898494127
1930,98.49582901133594
1931,98.30147898870656
1932,98.45440261805626
1933,98.51761630025983
1934,98.4552797888506
1935,98.74636876352781
1936,98.47954926780203
1937,98.21627850419593
1938,98.546120066247
1939,98.4988467459866
1940,98.41983227362633
1941,98.09316386290241
1942,98.5863686697328
1943,98.50727820629069
1944,98.17143194330818
1945,97.96891605559757
1946,98.41582054674504
1947,98.2554274158805
1948,98.31153505244443
1949,98.4870025290639
1950,98.66948613871601
1951,98.62450192488922
1952,98.3267854750996
1953,98.57820879095277
1954,98.7327604823454
1955,98.39787468124469
1956,98.554368762417
1957,98.64000762168251
1958,98.8214708620102
1959,98.42010912389219
1960,98.75604023665804
1961,98.87968537247738
1962,99.28412536915816
1963,100.5992309214304
1964,99.78446149004743
1965,99.85060890168454
1966,98.69199489242946
1967,99.62902203541489
1968,99.17669353921725
1969,98.82959426420786
1970,99.16761653234302
1971,98.36556335200383
1972,98.75585987760309
1973,98.46791891622198
1974,98.92230979184666
1975,99.15991971158155
1976,98.75934263243006
1977,99.29037772280535
1978,98.67916136746477
1979,98.52228607629579
1980,98.81090248932203
1981,98.79815411446764
1982,99.2595777959234
1983,99.64297826352231
1984,99.36798519272462
1985,98.6446570856743
1986,99.14844123490332
1987,98.78551909729565
1988,98.83824949805692
1989,98.30709390471766
1990,98.3680175835955
1991,100.25779241289804
1992,101.41096349504677
1993,100.05025260126482
1994,98.67194725430453
1995,98.4685975050083
1996,98.30617602106493
1997,98.32014189462812
1998,98.53721397974917
1999,97.98719103145353
2000,98.42350052541762
2001,98.08416379141354
2002,98.71517876376188
2003,98.17073445947292
2004,98.58013062325745
2005,98.15883387225767
2006,98.44737138177817
2007,98.18529523799577
2008,98.16649096997708
2009,98.29814193332923
2010,97.7247953971185
2011,97.92924754208092
2012,98.2132353104094
2013,98.03782413951251
2014,98.06232468635743
