year,rsut
2015,98.11028377585214
2016,98.17869983829864
2017,97.94692334736862
2018,97.88592575282266
2019,98.04814064339413
2020,97.52844098234829
2021,97.57384380183808
2022,97.87494655243337
2023,97.89844351990584
2024,97.80487248668932
2025,97.62106889698603
2026,97.73577366659089
2027,97.94802116498556
2028,97.25831915450424
2029,97.21098705971079
2030,97.9098823442851
2031,97.72019469378745
2032,97.53996709536199
2033,97.39421783865315
2034,97.80779475381931
2035,97.11658879110257
2036,97.09341472468964
2037,97.35612554680809
2038,97.34908380377782
2039,97.2457575131769
2040,97.11349748585322
2041,97.38011758882705
2042,96.97008056640624
2043,97.83859760859241
2044,97.11053548316433
2045,97.35418429440014
2046,97.23028089967491
2047,97.15732020547946
2048,96.88542553627329
2049,97.44980531457352
2050,96.87303324660209
2051,96.60953626240769
2052,96.67542475870209
2053,97.52836245184075
2054,96.66555054547037
2055,96.7009183073697
2056,96.78048421781355
2057,96.9103799689306
2058,96.8959146159969
2059,96.13824552771162
2060,96.45873354559075
2061,96.50311143430945
2062,96.92408787975575
2063,96.14973221870318
2064,96.33392331894129
2065,96.37921577349103
2066,96.35311571931186
2067,96.08024413226401
2068,95.71402863802975
2069,96.21906744551987
2070,96.13020429219284
2071,96.27031124585297
2072,95.824129580145
2073,95.9015121459961
2074,96.33446538219712
2075,96.13320617675781
2076,95.57825946546579
2077,95.40995508481379
2078,96.39767869923213
2079,96.16279411838478
2080,95.51976686242507
2081,95.30840431108865
2082,95.80739574693654
2083,96.31084435867936
2084,95.35344265454435
2085,95.37006871471667
2086,95.62009747648894
2087,95.58988595204809
2088,95.34455244508509
2089,96.13331821389396
2090,95.05869504327642
2091,94.86026803630672
2092,94.93233201536412
2093,94.92195773190015
2094,95.33177013658496
2095,94.97790619314532
2096,94.4371528520976
2097,94.82273346365315
2098,95.40443236468587
2099,94.74845434737531
2100,94.40163032845275
