year,rsut
1850,100.7735018487777
1851,100.79824371687634
1852,101.50031515048511
1853,100.77850753471517
1854,101.09035593403256
1855,100.89962134515883
1856,101.03325458305952
1857,100.85737036299987
1858,101.40149148844976
1859,101.00417513771093
1860,101.22437051277075
1861,101.6675571355447
1862,101.82098361240851
1863,101.44803767938942
1864,101.32097557946969
1865,101.40596949966238
1866,101.1424084004382
1867,100.93215329462993
1868,100.85401692856928
1869,101.27052373859387
1870,101.10495619360637
1871,100.96269218623199
1872,101.54398756160471
1873,101.56691941438487
1874,101.16225805827594
1875,101.15311228993615
1876,101.17283244860987
1877,101.26604159133572
1878,101.18391828553771
1879,101.31252450553086
1880,101.32348973462025
1881,101.32587345586109
1882,101.3962085561978
1883,102.62750798035948
1884,104.32626365076297
1885,102.48310447478201
1886,101.53903045257749
1887,101.43216121960621
1888,101.31639500722557
1889,101.12130178996304
1890,101.80094994430232
1891,101.5252228760721
1892,101.56268252451618
1893,101.11603021325584
1894,101.3334866183992
1895,101.43266541956373
1896,101.14101864234341
1897,101.72936007977715
1898,101.2117894274331
1899,101.06712084316473
1900,101.20775326204992
1901,101.09912693552496
1902,101.67059912135424
1903,102.41004535588962
1904,101.23931301120655
1905,101.52821763681646
1906,100.84555782195368
1907,101.14871554930711
1908,100.96228281101766
1909,101.04817702039075
1910,100.78000333576902
1911,100.99318572970597
1912,102.18939984922315
1913,101.98207557056645
1914,101.885707712608
1915,101.08495167247378
1916,101.04979134516884
1917,101.12587688637699
1918,101.06153769553411
1919,101.1667209838817
1920,101.38524121443723
1921,101.18707197037352
1922,100.87735423335313
1923,101.22902914597141
1924,100.99242194580275
1925,100.69314967529586
1926,101.15560028652857
1927,101.11292444225192
1928,101.45780999082572
1929,101.50495103612533
1930,100.96729250496142
1931,101.1622570266935
1932,101.33553554848052
1933,100.9243302977734
1934,100.97663121152912
1935,101.01779337172576
1936,101.44890035893204
1937,101.15612766996504
1938,101.03486472613065
1939,101.4526819909821
1940,101.41926082400163
1941,100.87387599756525
1942,100.68000440004077
1943,101.11889565584953
1944,100.90321958931122
1945,101.19356183041276
1946,101.045677119173
1947,100.9705202327621
1948,100.86714514329229
1949,101.03879776281987
1950,100.51234031478623
1951,100.8624136536678
1952,100.8793807602572
1953,100.94543896410971
1954,101.09080728537843
1955,101.24318069908053
1956,100.53815514016733
1957,101.05008141731497
1958,101.03295971539663
1959,100.840015035089
1960,100.87804346527278
1961,101.45696585625028
1962,101.64485603343763
1963,102.72717566953548
1964,102.27183531392069
1965,101.67029278323365
1966,101.17310048621113
1967,101.7026796573229
1968,101.41704800513668
1969,101.20821627040384
1970,101.11779145254897
1971,101.77033465767181
1972,101.51439856654437
1973,100.87210519732308
1974,101.3864602399236
1975,101.60956222170961
1976,101.22931670553584
1977,101.10942870131997
1978,101.41062042784665
1979,101.19725561675426
1980,101.16503862913746
1981,100.83103033437374
1982,101.41516569899672
1983,102.06092728184227
1984,101.2649457407315
1985,101.39645299014153
1986,101.0399157062213
1987,100.7900918229584
1988,100.85725140476346
1989,100.79645946171172
1990,100.44957314870109
1991,102.0068503594438
1992,103.63949808028752
1993,102.44187282262868
1994,101.23939344622481
1995,100.70206846319003
1996,100.44528072621105
1997,100.59867396887661
1998,100.91116147507292
1999,100.4992258721918
2000,100.66276719232424
2001,100.82094966228152
2002,100.50501483223806
2003,100.36676738591814
2004,100.40914669276228
2005,100.49952750784124
2006,100.33959915104
2007,100.3880833710527
2008,100.54811289618046
2009,100.62100004005411
2010,100.33963907541946
2011,100.32110870047057
2012,100.49848244296516
2013,100.40517709507685
2014,100.33766606182913
