year,rsut
2015,100.06646885050301
2016,99.74619135929491
2017,99.68767132535244
2018,99.39862612437082
2019,99.57190146143887
2020,99.18503363414747
2021,99.6050209976528
2022,99.3022907878916
2023,99.50822175290529
2024,99.45721054242823
2025,99.72052571865616
2026,99.82847147729704
2027,99.84911194602955
2028,99.59072041067614
2029,99.70682809857352
2030,99.4513028109072
2031,99.47071207223624
2032,99.0265281403364
2033,98.95900352504006
2034,99.28769829858129
2035,99.15887467748375
2036,99.23699220062446
2037,99.20184901677828
2038,99.10977280182763
2039,98.84058411478193
2040,99.23095904210554
2041,99.14045007533963
2042,98.72608669865264
2043,98.78613353033434
2044,98.80722844527328
2045,98.90143604267922
2046,98.5843588342255
2047,98.68949012521665
2048,98.45274515062407
2049,98.93186786445335
2050,98.35826515494952
2051,98.25257028817947
2052,98.24279088268423
2053,98.48858768207762
2054,98.41830037927438
2055,98.23251315999327
2056,98.42647120762501
2057,97.70615597565268
2058,97.90385576884286
2059,98.00602335496379
2060,97.60454387439783
2061,97.77549965590886
2062,97.79859007927156
2063,97.77124936477739
2064,97.36918888926144
2065,97.20953106223902
2066,97.21109794094494
2067,97.2112222714661
2068,96.91630435642058
2069,97.44641313193685
2070,96.91551696394363
2071,96.72938902185464
2072,97.12002116047577
2073,97.01689352140912
2074,97.03975912833572
2075,96.71960138917841
2076,96.49701261270228
2077,96.66495031572198
2078,96.64501854035252
2079,96.35115852013789
2080,96.34009244671056
2081,96.46659667845589
2082,96.07349837709219
2083,95.96085542868475
2084,95.74219500633828
2085,95.6325689709008
2086,95.8325546230932
2087,95.76894812226624
2088,95.40196091921612
2089,95.80874516653911
2090,95.54146662495394
2091,95.2118052116129
2092,95.09387518605718
2093,95.29498154413012
2094,95.06407041763454
2095,95.10744050418539
2096,95.03444749285622
2097,95.00148818847708
2098,94.80426192592927
2099,94.6164899472188
2100,94.88982324254359
