year,rsut
2015,99.94619872343864
2016,99.7288080689846
2017,99.60225002445938
2018,99.30924655509025
2019,99.22252133634457
2020,99.42820096378206
2021,99.57616405931289
2022,99.64258328520015
2023,99.64044911638362
2024,99.70743562270508
2025,99.69437739282067
2026,99.3743044899928
2027,99.75506906005438
2028,99.53987648922148
2029,99.86192850457903
2030,99.64773240259208
2031,99.82152044909208
2032,99.82511116178466
2033,99.53206194502599
2034,99.45459563107
2035,99.79077168547984
2036,99.26992332792423
2037,99.77254006813375
2038,99.7835063693987
2039,99.07544807672538
2040,99.39759501813978
2041,99.52903288568822
2042,99.76649388018487
2043,99.65341913514075
2044,99.41485941705893
2045,99.05420118215848
2046,100.15368498815107
2047,99.35625066805623
2048,99.38401026659248
2049,99.85090358675573
2050,99.0767678182596
2051,99.51425449300928
2052,99.5143110296999
2053,99.04632548038761
2054,99.50756169378514
2055,99.43584842579598
2056,98.87059024928331
2057,99.24684202411962
2058,98.89446644738989
2059,99.26705871081327
2060,98.99155925162074
2061,99.35904419597819
2062,98.84059060080956
2063,99.11433490891397
2064,98.99667258874051
2065,99.82405514394658
2066,99.08315800481475
2067,98.93594182392634
2068,99.30227797876202
2069,98.41766976488606
2070,98.75346145907253
2071,99.07010657665319
2072,98.78213971505473
2073,98.63992686952828
2074,99.49081882169102
2075,98.89961119112317
2076,98.28698617232462
2077,99.1788509576886
2078,98.58980097301075
2079,98.68571921458512
2080,98.6895596580089
2081,98.45298381933277
2082,98.4732100055021
2083,98.84441209927455
2084,98.69107270197388
2085,98.29478570237167
2086,98.79220936072568
2087,99.00050435121811
2088,98.52491451963627
2089,98.75948619398744
2090,98.94232599196575
2091,98.3641725985735
2092,98.32983987990855
2093,98.74940954288914
2094,98.27120583468395
2095,98.15842787064207
2096,97.88605745065763
2097,98.54938240057677
2098,98.07183049391662
2099,97.95238134249163
2100,98.01967759945559
