year,rsut
1850,99.82315138725384
1851,99.88105667323282
1852,99.5570436033484
1853,99.9095887484616
1854,99.78527380538314
1855,99.524150817035
1856,99.73945529885488
1857,100.19198631391131
1858,99.65891232425219
1859,99.91668590388885
1860,100.2157521705105
1861,100.63120656470728
1862,100.47769365702588
1863,99.90517674276273
1864,99.5397944202162
1865,99.59522588024402
1866,99.67976598870266
1867,99.78715239224368
1868,99.93045286413741
1869,99.39347619879734
1870,99.61343055620584
1871,99.86107131748983
1872,100.00730135146887
1873,99.87926867759391
1874,99.54355980860043
1875,99.92680511474609
1876,99.78875492043692
1877,99.68937267146698
1878,99.76679532821862
1879,99.74006826322373
1880,99.97765181031946
1881,100.17583078880833
1882,99.9185399930771
1883,101.24847297145897
1884,102.9005604156076
1885,100.61865234375
1886,100.00725561690658
1887,99.42399262728757
1888,99.33039174537137
1889,99.56658833124867
1890,99.67718593649668
1891,100.03997733756286
1892,99.80017610314773
1893,99.36985477813302
1894,99.44314782129575
1895,99.55643281283443
1896,99.70552050446808
1897,99.85678098495691
1898,99.34293217071114
1899,99.59996500929739
1900,99.47648315429689
1901,99.78563215699914
1902,100.10074122180676
1903,101.07472517457727
1904,99.93869221308462
1905,99.77004233582379
1906,98.98924456034621
1907,99.78483658882038
1908,99.85211597599394
1909,99.60335281581092
1910,99.58723069282425
1911,99.9579459412457
1912,100.76232525551157
1913,100.35405942315924
1914,99.58286057563676
1915,99.76397188787591
1916,99.68636165253103
1917,99.81145577626685
1918,99.3642429508575
1919,99.86281270066353
1920,99.8028648062928
1921,99.33355627190576
1922,99.5865623369609
1923,99.97510499301022
1924,99.99791941185521
1925,99.61154977458796
1926,99.48199926925032
1927,99.69406531346985
1928,99.8581049252863
1929,99.99006153263457
1930,100.07384977993897
1931,99.70125776317022
1932,99.66775853405261
1933,99.74323983388405
1934,99.79094654240019
1935,99.93621587883933
1936,100.54205571004789
1937,100.14967797684342
1938,99.91388564436403
1939,100.09634251006662
1940,100.61362710195046
1941,100.10209281607848
1942,99.80567384484695
1943,100.17662566720622
1944,100.82624704021298
1945,100.34321266069804
1946,99.59379583907455
1947,99.97383399858869
1948,100.5601603259779
1949,99.95241534089388
1950,100.380686135488
1951,100.25321835034515
1952,100.11043774330452
1953,100.1737783562647
1954,100.28085933319511
1955,100.21585028661441
1956,100.32063032176397
1957,100.17871120923188
1958,99.91039641915935
1959,100.4903007402812
1960,100.1574288355161
1961,100.66417740077189
1962,100.58207857314854
1963,102.58951206991118
1964,101.29765683526863
1965,100.76353975060866
1966,100.37154775123075
1967,100.79643648748528
1968,100.75808713730068
1969,100.33896662045831
1970,100.60247850810012
1971,100.50430329205238
1972,100.54942438831067
1973,100.45520184660612
1974,100.67306838362182
1975,101.209494729238
1976,100.9597505961379
1977,100.45846118665722
1978,100.65813356164384
1979,101.24719441035023
1980,100.77055739311322
1981,100.60370251381234
1982,101.68375135447882
1983,101.69594043052359
1984,101.55312681851322
1985,100.86223491511932
1986,100.73927735629145
1987,100.78717293935279
1988,100.5301771399093
1989,100.45082869856324
1990,100.75166565359454
1991,101.96929151979211
1992,103.75725335944189
1993,101.5518502849422
1994,101.27580238237772
1995,100.9418577638391
1996,100.59074794821542
1997,100.531888799798
1998,100.8043230657708
1999,100.91689145858975
2000,100.23803625237451
2001,100.40793906433942
2002,100.69190032122886
2003,100.43836118097173
2004,100.49824212479264
2005,100.78208912888616
2006,100.52988270798774
2007,100.40931739284568
2008,100.38229133919494
2009,100.3604492605549
2010,100.61260528564452
2011,100.08183087910692
2012,100.06752329787162
2013,100.83932204573122
2014,100.22502554279484
