year,rsut
2015,102.54200870527056
2016,102.40472472258234
2017,102.198028110129
2018,102.37859224022428
2019,102.41162702992747
2020,102.00407632632027
2021,102.11124101252406
2022,102.26515173404543
2023,102.19414153969379
2024,101.74696327147551
2025,101.55454567918531
2026,102.13488214974713
2027,102.50311331268512
2028,102.01474480976347
2029,101.73156147057819
2030,101.98412091411778
2031,102.06279262734986
2032,101.92855104651787
2033,101.71749621423996
2034,101.63762676142225
2035,102.10043080989036
2036,101.77349389036812
2037,101.28660263934103
2038,101.60044170280393
2039,101.79316393093526
2040,101.67702509727484
2041,101.53976914244362
2042,101.71855158294099
2043,101.44240271129867
2044,101.89451129607345
2045,101.84114914759701
2046,101.82280264699547
2047,101.50693446488236
2048,101.77395970808197
2049,101.55520280315176
2050,101.5323590124697
2051,101.44315107895544
2052,101.55178972990379
2053,101.3099440557611
2054,101.27989503112963
2055,101.10289944580197
2056,101.35541728441426
2057,101.685889776822
2058,101.56529934644917
2059,101.35373832988586
2060,101.66401997784929
2061,101.48113924366753
2062,100.96393674850101
2063,101.61375990829609
2064,101.69313128670954
2065,101.4881437480205
2066,101.60997632346026
2067,101.41097120598916
2068,101.33959387711877
2069,100.96564308096066
2070,100.41638622779047
2071,100.95200724802974
2072,100.96897844522557
2073,100.96645615617541
2074,101.01588923423284
2075,101.26454477651438
2076,101.13019381235581
2077,101.46898277682754
2078,101.29912846838654
2079,100.87969562707795
2080,101.10783784988178
2081,101.07062717102976
2082,100.6334834675725
2083,100.58558997660187
2084,101.01629248181769
2085,101.23743903149037
2086,100.89590254582993
2087,100.77196412558752
2088,100.72960589523174
2089,100.40920854184809
2090,100.93752567069617
2091,100.50901649962339
2092,100.09634396954466
2093,100.43936098587798
2094,101.00301389618198
2095,100.20828877304935
2096,100.66592001017655
2097,100.39368312818559
2098,100.54874532880437
2099,100.75488067285478
2100,100.57993848081679
