year,rsut
1850,105.16823193366955
1851,105.49086158442613
1852,105.55522180303508
1853,105.13105401391032
1854,104.77238034805741
1855,104.23906689143959
1856,104.22266553149565
1857,104.28415087809739
1858,104.1491349775151
1859,103.7896736515481
1860,104.01425058923974
1861,104.76671783577859
1862,104.69877553333177
1863,104.2788900530747
1864,104.4604644345589
1865,104.36065034183149
1866,104.65433916310947
1867,104.6851343586608
1868,104.39710405717831
1869,105.00915272496727
1870,104.86768670466725
1871,104.60995410279723
1872,104.70778225583103
1873,104.62803198678276
1874,104.92735795487096
1875,104.38288231693018
1876,104.56984489976242
1877,104.61610362421915
1878,104.98843255208766
1879,104.34286578661822
1880,104.3537527855024
1881,104.99158725456303
1882,104.69450446061192
1883,104.16982070975924
1884,104.82158827425198
1885,104.88691774470915
1886,104.35373397632704
1887,104.73080005462387
1888,104.82733181525744
1889,105.70383043751207
1890,105.18724264478885
1891,105.53065649097107
1892,105.40514451802682
1893,105.17357001265123
1894,105.47680965294207
1895,105.2715255423845
1896,104.92706963933247
1897,105.4927055443935
1898,105.19703372971935
1899,105.51147170691087
1900,105.45377751999713
1901,105.07244682283853
1902,105.48751393272886
1903,105.28770182067514
1904,105.39859470426339
1905,104.78394270695293
1906,105.6092022410528
1907,105.623406783441
1908,104.9487227936234
1909,105.29625343219837
1910,105.36091629451538
1911,105.03439805942556
1912,105.0748967069083
1913,105.6912204132765
1914,105.43440602100193
1915,105.00701700128424
1916,104.74751788505861
1917,104.91724461808325
1918,104.72774057703168
1919,105.04010545412453
1920,104.59041207315661
1921,105.00730677620618
1922,104.95305956597659
1923,104.51403254007295
1924,104.9673005962182
1925,105.50215100201143
1926,104.94621973487462
1927,105.29724120294699
1928,105.29552155352268
1929,105.12543414710225
1930,104.92907369303482
1931,104.95342146499232
1932,105.10385643627562
1933,105.00276171018308
1934,104.82090688896915
1935,104.89297828207818
1936,105.35091891130372
1937,105.11044978430263
1938,105.23364998026648
1939,105.22064947073817
1940,104.95769851316295
1941,104.76548048263354
1942,105.10175428885714
1943,105.48142681047298
1944,105.27820956039503
1945,105.333309004601
1946,105.61090701227538
1947,104.84703574835402
1948,105.5962316562572
1949,105.41229852300995
1950,104.9436244468591
1951,105.3192736691669
1952,105.37598364780071
1953,105.65722799539917
1954,104.69432951333235
1955,104.959239879478
1956,105.10565167207176
1957,105.19500424668618
1958,105.54939243110745
1959,105.5308264815144
1960,104.9270130801432
1961,105.34039174141577
1962,104.92194192199536
1963,104.47255242402541
1964,104.79081296123917
1965,104.58421056315044
1966,104.55883046472186
1967,104.27213651504705
1968,104.63916456035032
1969,104.86131084139157
1970,104.55747133849077
1971,104.25452806073338
1972,104.69041156317122
1973,104.86798288923421
1974,104.42503260693604
1975,104.54530028421716
1976,104.70141054363447
1977,104.7124674414879
1978,104.96685750605884
1979,104.63115662614965
1980,104.48342017815983
1981,105.06253420151371
1982,104.79147390592374
1983,104.15324511407765
1984,104.72560243830299
1985,104.79956222818626
1986,104.83978371158636
1987,104.49186427842417
1988,104.99125953369874
1989,104.11858556099436
1990,104.65660876458344
1991,104.70387738448395
1992,104.6018280225922
1993,104.69039102370166
1994,104.27857749843696
1995,104.31708148646267
1996,104.42870637719048
1997,104.6143750923882
1998,104.56052966327611
1999,105.22933483627337
2000,105.18168189537866
