year,rsut
1850,98.70680681071062
1851,98.7720207351214
1852,98.86883626562125
1853,99.35829694968606
1854,98.94764585706487
1855,98.88645993213325
1856,98.49733794886042
1857,98.55134706942583
1858,98.79500916178566
1859,98.64673987842367
1860,98.68236270254442
1861,99.4620884245445
1862,99.70231033415769
1863,99.12056624943196
1864,98.55881606493621
1865,98.4247612915556
1866,98.55859606534968
1867,98.67464790817733
1868,98.96600617378188
1869,98.8245864403502
1870,99.07869507767384
1871,98.72441030714819
1872,99.21693726066117
1873,99.50444300683498
1874,99.35090437035706
1875,98.90686499282191
1876,98.95655855368899
1877,98.84713844283685
1878,99.32405417584086
1879,99.03633805281183
1880,98.98243222929511
1881,99.23087524582724
1882,99.184488301282
1883,100.30798909587435
1884,102.70755384733579
1885,100.27029222990527
1886,99.55751689955929
1887,99.47304635060077
1888,99.13685610919427
1889,98.92364457724788
1890,99.13154051016744
1891,99.70171751808682
1892,99.65484630070301
1893,99.36198021221834
1894,99.03483468953306
1895,99.13901517109205
1896,99.00030898645795
1897,99.16450951996192
1898,99.28957730844098
1899,99.32318657432411
1900,99.19095055928537
1901,99.33956584775477
1902,99.93192628415201
1903,101.10380388086966
1904,99.83054663490034
1905,99.34584088292348
1906,99.593264604898
1907,99.67005358963449
1908,99.8926397772896
1909,99.61608311347568
1910,99.78614376153526
1911,99.9602923349104
1912,100.63870936565819
1913,100.30141121949097
1914,99.98289085553664
1915,99.34795793973575
1916,99.79911654970951
1917,99.40156537872515
1918,99.44195623049536
1919,99.30256568510676
1920,99.57349523403784
1921,99.27692378309277
1922,99.62037440935431
1923,98.87103409492252
1924,99.43128419477704
1925,99.42235168093933
1926,99.16264623343403
1927,99.49129820954627
1928,99.50345336050027
1929,99.95960678475173
1930,99.42540834732498
1931,99.77990897668728
1932,99.89639931018527
1933,99.60131372589842
1934,99.39917789268337
1935,99.31750759421607
1936,99.64372016344265
1937,99.58792519715834
1938,99.48288064380932
1939,99.53327043036654
1940,99.56855768606361
1941,99.19753884253903
1942,99.76237533657415
1943,99.50718715548713
1944,99.84903860884158
1945,99.77429885792438
1946,99.32710627743889
1947,99.3996216042978
1948,99.72240603378008
1949,99.33485346525433
1950,99.84400041888486
1951,99.70242523346599
1952,99.43068844782178
1953,99.26989763397245
1954,99.89942361327904
1955,99.86209175046719
1956,99.52682366623438
1957,99.86597689150028
1958,100.0342685262283
1959,99.53790206556167
1960,99.99003174789517
1961,100.14973238283815
1962,100.5552989011207
1963,102.0988033229824
1964,101.5635160806048
1965,101.26972733762288
1966,100.50463167722903
1967,100.82674430048529
1968,100.34231673301373
1969,100.5285855082951
1970,100.25248664606772
1971,100.49212155043224
1972,100.21825757719068
1973,100.636296299425
1974,100.5775698922437
1975,101.01626776020188
1976,100.6979937389314
1977,100.34138553367907
1978,100.79653422939074
1979,100.51621055885086
1980,100.60161783551997
1981,100.877650014616
1982,101.14285153602003
1983,101.6774877922377
1984,100.99462475483132
1985,100.59981332629341
1986,100.6787413857957
1987,100.40015175279858
1988,100.67474255446716
1989,100.19748755184776
1990,99.75011806489479
1991,101.27236867855262
1992,103.21138847957012
1993,101.94905545377408
1994,100.6317027137199
1995,100.01103577100027
1996,99.92180840021446
1997,99.77677673630016
1998,99.6413607563549
1999,99.63832515644611
2000,99.6182974488716
2001,99.31565014880724
2002,99.31409602251645
2003,98.79992234119271
2004,98.54653626142162
2005,98.76887807077743
2006,98.49094760562859
2007,99.1979031527502
2008,98.6545372795001
2009,98.84682131778601
2010,98.19207067438043
2011,98.25079874498887
2012,98.3314831685887
2013,97.67440773212358
2014,97.82870540867802
