year,rsut
1850,97.48673056977904
1851,97.5189211695173
1852,97.49510003300958
1853,97.69783684943673
1854,97.68973095612421
1855,97.23893345463428
1856,97.46987196239152
1857,97.33411053683625
1858,97.37042494950992
1859,97.24852202724357
1860,97.24983933493493
1861,97.39246683619797
1862,97.27630175149773
1863,96.90949711017205
1864,97.33500097476796
1865,97.10908030937226
1866,96.9878403046874
1867,96.79301834671533
1868,96.88382753598168
1869,96.88828074083264
1870,96.78623038013788
1871,96.45688288370516
1872,96.25660532590936
1873,96.38685588520903
1874,96.35637870342005
1875,96.39244712347774
1876,96.46447423128458
1877,95.9730220724113
1878,95.82892367279322
1879,96.0175527211505
1880,95.99743966031674
1881,95.86646112198007
1882,96.04557696812834
1883,96.00561268281574
1884,95.95352308775415
1885,95.78373793209128
1886,96.07267802347043
1887,95.96932156346024
1888,95.5585556964849
1889,95.6492432609306
1890,95.36805009004169
1891,95.27412750274063
1892,95.26643436511884
1893,95.13560375595642
1894,94.91661018277236
1895,94.8362113421977
1896,94.45161783498796
1897,94.69869535144419
1898,94.88308206943364
1899,94.66152211900398
1900,94.68713199547665
1901,94.71204031918626
1902,94.48473358410267
1903,94.63916844591793
1904,94.27544042347985
1905,94.4835029915267
1906,94.2215824920451
1907,94.40680002372093
1908,94.08248784466227
1909,93.70534169871226
1910,94.2191345043584
1911,93.99723658884386
1912,93.88659048308794
1913,93.68767649270296
1914,93.50039803007468
1915,93.26018566147279
1916,93.39761024828528
1917,93.00707457312389
1918,93.04951213811012
1919,92.99784987017264
1920,92.95651310362469
1921,92.88316078580826
1922,92.81608877889703
1923,92.78661664371357
1924,92.76284791507669
1925,92.48273067063376
1926,92.53768778433091
1927,92.3518330176826
1928,92.01862756663044
1929,92.16500067370379
1930,92.0438652483957
1931,92.23045441069834
1932,92.27435189726118
1933,92.05211161058759
1934,91.81299103895317
1935,91.6224947550241
1936,91.62856680955714
1937,91.3931358025374
1938,91.33217619964222
1939,91.2512593173567
1940,91.16593414949095
1941,91.15549356868604
1942,90.83219953094242
1943,90.59191712999007
1944,90.24444626612608
1945,90.56031347857416
1946,90.78440932076704
1947,90.55153346658949
1948,90.33697866910414
1949,90.41495185301642
1950,90.06322343068841
1951,90.29338848871485
1952,89.92592601768462
1953,89.88069399344525
1954,90.06152511852677
1955,90.13934825478702
1956,89.90275032414974
1957,89.87635123715887
1958,89.85383827424518
1959,89.53777556394068
1960,89.37042071036741
1961,89.45277380926763
1962,89.25320434663836
1963,89.18528633811819
1964,88.92515242805405
1965,88.58984962668767
1966,88.7904211172327
1967,88.60638020271244
1968,88.74367772749177
1969,88.89386209092436
1970,88.54657081722002
1971,88.34990539186764
1972,88.4561404339904
1973,87.93541095007872
1974,88.22919744420193
1975,87.86783071000096
1976,87.75849652652266
1977,87.58186199220262
1978,87.722752098912
1979,87.43076527586052
1980,87.46635700856802
1981,86.92190929253
1982,86.93821536544002
1983,87.0998932868215
1984,86.98336879076585
1985,86.50552642810987
1986,86.63436852751369
1987,86.5221305340564
1988,86.49608072685893
1989,86.61546078277568
1990,86.36680406185334
1991,86.57565960912807
1992,86.23068350613897
1993,85.9899921874476
1994,85.62238211814523
1995,85.86284296931106
1996,85.84272546940818
1997,85.74542771583059
1998,85.4178135649331
1999,85.45912412405814
