year,rsut
1926,104.59038111832116
1927,104.57703373739713
1928,104.69147123662304
1929,104.08100550899081
1930,104.57618024443151
1931,104.4229712253316
1932,104.4049911749277
1933,104.19474870851066
1934,104.18834619261409
1935,104.6832743475767
1936,104.12384762906319
1937,104.5913864930086
1938,104.02326523735292
1939,104.65656256487004
1940,104.72807544790122
1941,104.78442547074322
1942,103.83659291387592
1943,104.04256963535894
1944,103.92808270131842
1945,104.62737601870306
1946,104.38210727039191
1947,103.96231462831337
1948,104.57197732561332
1949,104.47697638769617
1950,104.48129729527028
1951,104.58573557921359
1952,104.13666503222971
1953,104.7115744718717
1954,104.3642923613418
1955,104.07819115107712
1956,104.66824458591155
1957,104.34357009089692
1958,103.94274231567157
1959,104.76089600222798
1960,104.44043305919323
1961,104.75217259529315
1962,104.39979143476597
1963,104.8933954282541
1964,104.34579065601996
1965,104.31441014975513
1966,104.47898286958723
1967,104.53379217862178
1968,104.7528742398642
1969,103.89111523538489
1970,103.89750506899843
1971,104.17612234711302
1972,105.02090836058919
1973,104.32997195819426
1974,104.3858704231041
1975,104.75990853741527
1976,104.7853473318755
1977,104.70714948440474
1978,104.42010718627603
1979,104.16998742517826
1980,104.48850017170224
1981,104.35876412565894
1982,104.52203422502973
1983,104.66184912985848
1984,104.25187399858407
1985,104.23684978878512
1986,104.4098987333742
1987,104.14811262980884
1988,104.70762527477495
1989,104.52268707177603
1990,104.11949500443328
1991,104.05172383905034
1992,104.21822143726897
1993,104.30437934509071
1994,104.68556390563768
1995,104.25193426323563
1996,104.7634062588189
1997,104.51624373368493
1998,104.09977346163485
1999,104.49657803142078
2000,104.60206430076815
2001,104.64504280097273
2002,104.27160834968527
2003,103.93576339511274
2004,104.48136020104634
2005,104.5717744962837
2006,104.40852004345001
2007,103.95058710079336
2008,104.73198313401188
2009,104.0032049305953
2010,104.43772358667343
2011,104.72546543228881
2012,104.21749508212477
2013,104.0828336182025
2014,105.06328921708963
2015,104.25656026789075
2016,104.49988755798753
2017,104.34095718945873
2018,103.94547010697147
2019,104.53742653689578
2020,103.89494327738926
2021,104.6156026088589
2022,105.01952715829913
2023,104.33197550399069
2024,103.79302610791095
2025,104.81671611601408
2026,104.3181206474321
2027,104.46882773347704
2028,104.67637971181209
2029,104.11157036196265
2030,104.60264217173392
2031,104.50898520960422
2032,104.25267603346208
2033,103.73698234844304
2034,103.90992244382853
2035,104.2830601477164
2036,104.28317915455114
2037,104.58159495283527
2038,104.39219514537997
2039,104.51155571859624
2040,104.04853862692008
2041,104.18848277190826
2042,104.0139947061752
2043,104.35038582174377
2044,104.37387653083975
2045,104.4984224125862
2046,104.53953255497856
2047,104.17320848344231
2048,103.93220319229253
2049,103.97261292242752
2050,104.68238289523144
2051,104.59086643606696
2052,103.96712115924421
2053,104.25131636342691
2054,105.1748718176217
2055,104.0085757861819
2056,104.64871897399667
2057,104.63135141585235
2058,104.50191778309342
2059,104.56728455327878
2060,104.41385991689468
2061,104.7453155541012
2062,104.13644792417148
2063,104.10399058975038
2064,104.6603707640468
2065,104.74407495495943
2066,104.87085768246705
2067,103.96778203027425
2068,104.57765994096007
2069,103.87802524487691
2070,104.33068835708148
2071,104.17359259909199
2072,103.9687624861146
2073,104.5025179699027
2074,103.9798135722263
2075,104.255694353302
2076,105.16592965606426
2077,104.16145222770422
2078,104.20374503497065
2079,104.8555700056319
2080,105.07563010424545
2081,104.11361828477591
2082,104.18031370744822
2083,105.33457592775721
2084,104.21233183189186
2085,104.35284216068627
2086,103.81978370429927
2087,104.83758401862069
2088,104.49123816163808
2089,103.83127093316845
2090,104.02701857629914
2091,104.94615826657184
2092,104.27978474123547
2093,104.48883485087407
2094,104.17235383464522
2095,103.94814816603123
2096,104.69181466662954
2097,104.21611415996273
2098,105.041531321201
2099,104.21840375354917
2100,103.95019396336569
2101,103.9892730361457
2102,104.37052271762121
2103,104.21927962805603
2104,103.94426622233738
2105,104.22708781316801
2106,103.99267887303841
2107,104.19208593839485
2108,104.32241301102975
2109,104.42455298628147
2110,105.1613553697414
2111,104.98389448596308
2112,104.43154234919444
2113,104.2247290573393
2114,104.11650833104281
2115,104.65445757851494
2116,105.03722365292099
2117,104.46407081918184
2118,104.22407549688063
2119,104.09472388239091
2120,103.94286819094772
2121,104.48986701136525
2122,104.56145123023478
2123,103.45392526698546
2124,104.76825217281475
2125,104.27579821029569
