year,rsut
1850,97.18787438379576
1851,96.99393703512948
1852,96.90298068947988
1853,96.58249996655607
1854,96.64421597833503
1855,96.72711775270226
1856,96.54896712629764
1857,96.4922147986007
1858,96.10297408430544
1859,96.30797760845864
1860,96.26400855077455
1861,96.42185698208746
1862,96.25198495943252
1863,96.29592433563651
1864,96.20409656681427
1865,96.51611978191218
1866,96.52182817851026
1867,96.34514588656492
1868,96.31968574001364
1869,96.40016368709199
1870,96.36703834011132
1871,96.25699333295428
1872,96.014899580446
1873,96.47291094636265
1874,96.38453210281997
1875,96.51061645925863
1876,96.24391895450958
1877,96.31338062025097
1878,96.2743956265384
1879,96.12655370006823
1880,96.32509755173774
1881,96.03350733926848
1882,96.04286195937901
1883,95.85568389892578
1884,96.52155205713561
1885,96.32070565419653
1886,96.34497594964014
1887,95.95187532607824
1888,96.16654663085937
1889,96.06939762063223
1890,96.13995227552441
1891,95.99113886584975
1892,96.05229182831229
1893,95.91086085071302
1894,96.04284799654188
1895,96.3264418301517
1896,96.0659447656919
1897,95.9133015880846
1898,96.39899582536253
1899,96.00497382177065
1900,96.19999423092358
1901,96.03753505340993
1902,96.15296902591234
1903,96.34453733261316
1904,96.3512314469847
1905,96.12641346552601
1906,95.96361497852901
1907,96.4820246239231
1908,95.86474954265437
1909,96.2448398119783
1910,96.04967966994194
1911,96.16079714004307
1912,96.02247021818815
1913,96.02334684607101
1914,95.7844076496281
1915,95.92703343221585
1916,95.91415022758588
1917,95.99558926935065
1918,95.96667534815121
1919,95.9041018551343
1920,95.88729778969125
1921,95.98535672540532
1922,95.92326975783259
1923,95.96742144022903
1924,95.98574737130778
1925,95.71580632876042
1926,95.98158251618686
1927,95.9809080359054
1928,96.16350386110071
1929,96.06087180359722
1930,95.83066264113333
1931,95.99097561770921
1932,96.27153679834653
1933,95.997051625709
1934,96.04534153350413
1935,95.91562345321863
1936,96.03674186811055
1937,96.07134079606566
1938,95.90352329619942
1939,96.05428799145841
1940,95.97433356716208
1941,95.75616106007196
1942,95.93979577887546
1943,96.40577074860875
1944,96.17233230381795
1945,96.2445116644036
1946,95.75992799523759
1947,96.00299277109643
1948,96.197966839516
1949,95.75524756026594
1950,96.04108669333262
1951,95.84477342579464
1952,95.90289145691753
1953,95.65775023159915
1954,95.98071500177252
1955,95.9826851622699
1956,95.91266928894878
1957,96.03203072743872
1958,95.86731782678055
1959,95.63872883417835
1960,95.66471271253612
1961,95.78765469903816
1962,95.738003351917
1963,95.52769792112585
1964,96.06274886457885
1965,95.84625835679984
1966,95.80501086091344
1967,95.64228122658925
1968,96.07951501297624
1969,95.71971209800407
1970,95.81217233318172
1971,95.92388483334894
1972,95.62495551958476
1973,95.60312079860739
1974,95.78807419032267
1975,95.67651139350787
1976,95.99493027778522
1977,95.79144709338881
1978,95.91568595154645
1979,96.04427172517124
1980,95.8209553757759
1981,95.87191030423935
1982,95.95120015601589
1983,95.83616462603007
1984,95.97246342489164
1985,95.71584422490366
1986,95.78201377555116
1987,95.78267640414302
1988,95.90322014795589
1989,95.76155537644476
1990,95.82786369846293
1991,95.76829317693841
1992,95.7313804312928
1993,95.95562060630486
1994,95.66557635999705
1995,95.67175200997967
1996,95.72350856833263
1997,95.71721488221051
1998,95.70590492144024
1999,95.50417745929875
