year,rsut
1850,101.34794409764956
1851,101.39275602575849
1852,101.35364620260995
1853,101.40296530527611
1854,100.901976264013
1855,101.57975173323122
1856,101.42111991986836
1857,101.32785387431105
1858,101.51870986729452
1859,101.14517498277637
1860,101.16227130628613
1861,101.65826648032828
1862,101.24556884765626
1863,101.23284176343108
1864,101.02637232950289
1865,101.64733247103756
1866,101.6432253275832
1867,101.78573652293582
1868,101.57038189613657
1869,101.51677555450021
1870,101.36107984568972
1871,101.47465634280688
1872,101.350101690423
1873,101.70447943700503
1874,101.16668508869326
1875,101.34862681349664
1876,101.37058059483357
1877,101.17591577817313
1878,101.54106936520093
1879,101.45039536985632
1880,101.40522791196221
1881,101.23987863619034
1882,101.28780283470675
1883,100.8778172950222
1884,100.45130462646483
1885,100.96689706044654
1886,101.32851144450984
1887,101.43590836198364
1888,101.33537693807521
1889,101.50510887250509
1890,101.34152265574834
1891,101.25305717154724
1892,101.92043914794922
1893,101.28837301175889
1894,101.08324664390251
1895,101.13256838027745
1896,100.77089026464175
1897,101.34795941914598
1898,101.4839849602686
1899,100.86785472713106
1900,101.0119905236649
1901,101.33002041333343
1902,101.19628546727846
1903,100.83408656708181
1904,101.21273304142365
1905,101.4424622627154
1906,101.24869817446356
1907,101.19126377889556
1908,101.0504230656036
1909,101.29623289761479
1910,100.62628955579784
1911,101.19417277296928
1912,101.012684694055
1913,101.13593148009414
1914,101.75120791082513
1915,101.19504705977766
1916,101.86395497779324
1917,101.43253495725868
1918,101.69669385936162
1919,101.73808896835536
1920,101.40785714763484
1921,101.1869780449018
1922,101.05664319600145
1923,100.87264968663047
1924,101.07786154551049
1925,101.04216653484187
1926,101.06172420553965
1927,100.9929263807323
1928,101.28739672099074
1929,101.20662331777076
1930,101.03748095786734
1931,101.01796302272848
1932,100.38430240578846
1933,100.44439603204594
1934,100.30714180306212
1935,100.54680025283604
1936,100.83471332706817
1937,101.0765084462623
1938,100.61940167570766
1939,101.29914366839684
1940,100.89194636932791
1941,101.16183107977044
1942,101.24218298507063
1943,100.76249356204517
1944,100.90308275614699
1945,100.74526985900043
1946,100.63516747461605
1947,100.66905356629256
1948,100.88806649822078
1949,100.82579234920136
1950,100.52568233960295
1951,100.5969818742308
1952,100.11183411062581
1953,100.89019271641563
1954,100.68883635638511
1955,100.54793117993499
1956,100.64561888812342
1957,100.69368662376925
1958,100.70764939817664
1959,101.20920972432175
1960,100.72129236508722
1961,100.4393458327202
1962,100.53819759839203
1963,100.00640641303912
1964,100.2188991180838
1965,100.12619541115956
1966,100.52508501026726
1967,100.1763684625495
1968,100.54348008665319
1969,100.56493551175889
1970,100.60599262812367
1971,100.88213153995878
1972,100.65576420614165
1973,100.5702159933848
1974,100.54490565469821
1975,100.19196881856003
1976,100.80843303105604
1977,100.84991158263323
1978,100.20179489344767
1979,100.05316107763002
1980,100.0050095649615
1981,100.38209769889102
1982,99.79843020504468
1983,99.78539712984268
1984,99.83164917410235
1985,100.25292866327992
1986,99.89162576753799
1987,99.71312951910987
1988,99.94099576767175
1989,99.73619568707191
1990,99.88948575372565
1991,99.61765558948257
1992,98.69213785667941
1993,99.51210030333635
1994,99.81910617776113
1995,99.42016402989216
1996,99.84623795600787
1997,99.47731582432577
1998,99.85182666517282
1999,98.92010771868979
2000,99.8940698911066
2001,99.50469044724555
2002,98.92893678848057
2003,99.29096761207057
2004,99.4627550098994
2005,98.62635222134524
2006,98.61645806717546
2007,98.78539393176771
2008,98.69056595057658
2009,98.56605011404378
2010,98.7433630329289
2011,98.3625517544681
2012,98.72023022795376
2013,98.99537280357048
2014,98.82221171757945
