year,rsut
1850,103.03718719482421
1851,102.61913491863092
1852,103.04235336094686
1853,102.6447860926798
1854,102.58738194295805
1855,102.76172723639502
1856,102.5441335390692
1857,103.06726669938598
1858,102.68521830937634
1859,102.35308584970971
1860,102.49616325064879
1861,102.99150589198281
1862,103.52051592265089
1863,102.67405614983545
1864,102.6667693255699
1865,102.5501314973178
1866,102.35665732605817
1867,102.90876558904779
1868,102.95544293547329
1869,102.77631940449756
1870,102.47384313295964
1871,102.66293387217065
1872,102.10019761176959
1873,102.74801493605521
1874,102.61084542470435
1875,102.85202109976991
1876,102.3667286912056
1877,102.89059437790962
1878,102.80941730656036
1879,102.79846734869969
1880,103.07564364916658
1881,103.15597747384686
1882,103.40642838151487
1883,103.77208527865474
1884,104.97352802851428
1885,103.74105891397555
1886,103.2438178911601
1887,103.74995167353381
1888,102.65615134043234
1889,103.10733586141508
1890,102.85535081837276
1891,103.28793403939025
1892,102.82681767711901
1893,103.37364706797142
1894,102.5690880971412
1895,102.83863776220034
1896,102.90339242595516
1897,102.63257632320872
1898,102.88946602181215
1899,102.66654337007705
1900,103.03362060964923
1901,102.58609556433272
1902,102.66728791537349
1903,103.90679779052735
1904,103.62015447747217
1905,103.11114443426261
1906,103.1788046849917
1907,102.71571550761182
1908,102.8051482318199
1909,102.67553309610443
1910,102.68216864180893
1911,102.83038121053617
1912,103.41158951014688
1913,103.91525485940173
1914,103.29955360726136
1915,102.72054449630112
1916,102.99974490649079
1917,103.1667549237813
1918,103.25774987625749
1919,102.96024951673535
1920,102.70882327981191
1921,102.90968705268753
1922,103.6583208685052
1923,103.01708434640544
1924,102.77504987324755
1925,103.42877581870718
1926,102.78832493612211
1927,103.19453630839308
1928,102.61290554934983
1929,103.02899533624517
1930,103.5999298931801
1931,102.91560290610954
1932,102.56166958743579
1933,102.6433991105589
1934,103.11952479114271
1935,102.67911759467974
1936,102.40201587415723
1937,102.52519706830584
1938,102.95233074867562
1939,102.54809033119514
1940,102.92138028079516
1941,102.27931244732582
1942,102.74436582800462
1943,102.68930011906035
1944,102.55690065148758
1945,102.24407557657321
1946,102.52074313229078
1947,102.82674957693439
1948,102.45471954345703
1949,102.95606056108865
1950,102.40654915587544
1951,102.26291330415907
1952,102.69371954512921
1953,102.88589487990286
1954,102.50010461676611
1955,102.71209353094231
1956,102.52981853746387
1957,102.14640484117481
1958,103.18792402711634
1959,102.53342876695608
1960,102.34794117130645
1961,102.58386232558996
1962,103.14132682068707
1963,103.53126360749545
1964,103.42279631732261
1965,103.5248898649869
1966,102.14846776674871
1967,103.40830517076465
1968,102.7364179219285
1969,103.5902766606579
1970,103.03434738786254
1971,103.0105750724061
1972,102.92996617147365
1973,103.2246232960322
1974,103.42389718669733
1975,102.56731582014527
1976,103.03825503832672
1977,102.97401789835052
1978,102.97005897417459
1979,103.14796130036655
1980,102.81695000635435
1981,103.51090792303216
1982,103.92654061513404
1983,103.67343637126767
1984,103.45338646875669
1985,103.19366216790186
1986,102.12804005244007
1987,102.8019369046982
1988,102.29249058553616
1989,103.35224596833528
1990,103.29665876414677
1991,103.28320979288179
1992,104.96472989435065
1993,103.61764066513271
1994,103.11475888604986
1995,102.77211174115743
1996,102.62819661179635
1997,102.9910213522715
1998,102.71925128257439
1999,102.7293922737853
2000,103.00799777932363
2001,103.10118075854157
2002,102.97008365996895
2003,102.83098353555758
2004,102.20137393899161
2005,102.73305262735445
2006,103.20307289019021
2007,102.99082946777344
2008,101.7725625861181
2009,102.21919453242054
2010,103.1042900398986
2011,102.16120168607529
2012,102.39286948426128
2013,102.39590652674843
2014,102.11003217305223
