year,rsut
2015,101.89406702747084
2016,101.65898696690391
2017,102.21297787182951
2018,101.74222217716581
2019,102.83018359876658
2020,102.06056715037724
2021,101.78221615307952
2022,102.60306716291872
2023,101.4466511138498
2024,101.91006371485045
2025,101.89983501695608
2026,102.22506615625667
2027,101.42748833225198
2028,101.3901382446289
2029,101.31184562787617
2030,102.11416548637494
2031,101.74891813095302
2032,101.58766692697185
2033,101.57566279581148
2034,101.26814794671044
2035,101.64100036621093
2036,101.28658098194697
2037,101.44980771835536
2038,101.42072333766991
2039,101.60828522982663
2040,100.50601526547786
2041,101.57133458803776
2042,101.25484508357636
2043,101.3870878454757
2044,101.60932376809316
2045,101.20529812329437
2046,101.3291933033564
2047,100.63170216181507
2048,100.9999814804286
2049,100.97327414734723
2050,100.90519542955373
2051,100.97264709472657
2052,100.6101113724382
2053,100.73202738304661
2054,100.65560722873636
2055,100.35266493705855
2056,100.7939017935975
2057,100.75689734890035
2058,100.34997255508213
2059,100.55406343642979
2060,100.64830968151354
2061,100.63857850375241
2062,100.4250361403374
2063,100.19786270350626
2064,100.66055634381019
2065,99.86042457476054
2066,100.72125369555329
2067,99.87350367715915
2068,100.5720767713573
2069,99.99086312071917
2070,100.23285756568384
2071,99.73503077258803
2072,99.9256827785544
2073,99.70270371110472
2074,99.99882436255888
2075,100.0053459481017
2076,99.3863379282494
2077,99.74266273812071
2078,99.81282607823202
2079,99.67068755267415
2080,99.18281266721961
2081,99.73482018039653
2082,99.77747767200209
2083,99.67592275959171
2084,99.64920257150311
2085,99.85374381705508
2086,99.39882894019557
2087,99.97023524454194
2088,99.1173593390478
2089,99.47421906353675
2090,98.82613962251845
2091,99.6849233130886
2092,99.22097537942129
2093,99.66183020186752
2094,98.8976619772715
2095,99.25611210653226
2096,99.27881365214309
2097,99.44139910136184
2098,99.02453807674041
2099,99.05503955997833
2100,99.3823190349422
