year,rsut
2015,96.57067978253119
2016,96.64213955272872
2017,96.19048774340341
2018,96.02824770720494
2019,96.10166224352004
2020,95.88354257027424
2021,96.16478650150191
2022,95.57375163427324
2023,95.47771690067634
2024,95.58206188462674
2025,95.24210759513353
2026,95.32370602071398
2027,95.18412506897359
2028,94.87837368759631
2029,95.17702858701449
2030,95.1428776512916
2031,94.73780652637082
2032,95.04375477419312
2033,94.94415406603684
2034,94.6231987313888
2035,94.67494519773842
2036,94.47970216054625
2037,94.36022210423852
2038,94.03888639113569
2039,94.04112107992648
2040,94.2774362362231
2041,93.79301417699796
2042,93.8917449346558
2043,94.21072473155931
2044,94.01311416496016
2045,94.04450294214186
2046,93.84045264406159
2047,93.61068335974156
2048,93.36114086055271
2049,93.5846330861122
2050,93.4337642024318
2051,93.28439563997236
2052,93.35415053113329
2053,93.02648203223522
2054,93.04033231561907
2055,93.159421792513
2056,93.17086980554522
2057,93.33625576419215
2058,92.96716296017638
2059,92.86854010556505
2060,92.57467541350636
2061,92.9065815795068
2062,92.5483621841191
2063,92.24218720618366
2064,92.66849589350468
2065,92.58154428963894
2066,92.41491023160192
2067,92.32607186252352
2068,91.90355433448184
2069,92.03548084880445
2070,91.82435908859357
2071,91.83901705623867
2072,92.00994684099149
2073,91.84192170674214
2074,91.90792409968142
2075,91.69827668863182
2076,91.32184099628442
2077,91.37892151260223
2078,91.36990452354078
2079,91.1109565028384
2080,91.15217597778454
2081,91.18704992639209
2082,90.973470724648
2083,90.87180956873213
2084,91.20375785718693
2085,90.97325541826262
2086,90.86980296207012
2087,90.73616620482935
2088,90.45678244632497
2089,90.4844932822075
2090,90.26663428432973
2091,90.19778851920127
2092,90.31599364214338
2093,90.4993515905444
2094,90.29072194187448
2095,89.98306940097616
2096,90.10127310508922
2097,89.6463121303537
2098,89.46658380513857
2099,89.52768791590482
2100,89.24807491176891
