year,rsut
1850,109.39372821713694
1851,109.16600898075167
1852,110.17507646612276
1853,109.59405105364182
1854,109.83983435819495
1855,109.91334801305983
1856,110.94298518155104
1857,111.6914573562372
1858,110.58406951743046
1859,110.34763571937876
1860,110.14193761748226
1861,109.91478550084241
1862,110.7767093767773
1863,110.91882054182663
1864,110.13984328663845
1865,110.50052478296884
1866,110.71272361190074
1867,109.60410678556654
1868,109.66545677455211
1869,110.16845127146257
1870,109.22114994149496
1871,110.58749456296039
1872,110.27976808222945
1873,109.42148794375579
1874,110.5111990667678
1875,109.75429711131952
1876,110.37933779407976
1877,110.59740943854487
1878,109.50685967757973
1879,110.34168474320393
1880,110.25390104112357
1881,110.04531470417655
1882,109.69262899025966
1883,111.422475705447
1884,114.27946166516364
1885,111.85170349848175
1886,111.03455938845308
1887,111.49076463013208
1888,110.32473049042298
1889,111.32386454780399
1890,110.80295394883323
1891,111.04822744205342
1892,110.90660938826302
1893,111.30026278746477
1894,109.66922837635612
1895,110.28574447597903
1896,109.98969530249012
1897,110.32918928238067
1898,109.51879115184767
1899,110.47980634134251
1900,109.94417733219127
1901,110.05722869700814
1902,111.04606557560292
1903,111.78520971654646
1904,110.51008861556703
1905,109.99108510022533
1906,109.81381301805979
1907,110.14565977892295
1908,109.6220771012931
1909,109.31198962431995
1910,110.5914198040041
1911,109.7884448846692
1912,110.28098011012388
1913,111.14697755865406
1914,110.44146344527016
1915,109.52265925920726
1916,109.87060317936
1917,109.94706412840023
1918,109.89341964842978
1919,109.73903881528857
1920,109.71073413196633
1921,110.59648867520586
1922,109.09266500007594
1923,109.38492209695482
1924,109.77998049163065
1925,109.78286406521347
1926,109.73840514119102
1927,110.05522035938304
1928,110.41120127129581
1929,109.87120402819929
1930,109.96467347443635
1931,110.36231019469722
1932,109.7283472800166
1933,110.27388892619662
1934,110.49207955407375
1935,109.95809696228027
1936,110.0773272614338
1937,109.95429732963058
1938,110.2643982213853
1939,109.99026707498184
1940,109.41816568858172
1941,109.98444801101137
1942,109.42729361086025
1943,109.759792949583
1944,110.10721892810446
1945,109.57935424530467
1946,110.13772856883388
1947,109.45249250259218
1948,109.63241642530733
1949,110.12781863830831
1950,109.8047176110671
1951,110.47198184506345
1952,110.01328773907369
1953,109.90388273676757
1954,109.60737068648483
1955,110.13382539148972
1956,110.15338466011738
1957,109.22893013097148
1958,110.02353568575654
1959,110.17673948208692
1960,109.31052330883192
1961,110.91166243833821
1962,110.32511929688785
1963,109.94689802307605
1964,112.20337563916303
1965,111.3369984876543
1966,109.64443876589364
1967,109.65495896117874
1968,110.81683847517438
1969,110.31290851161792
1970,109.82331818304863
1971,109.64042610282351
1972,109.4304165787656
1973,109.75828366954815
1974,109.66617076127427
1975,110.25680178444006
1976,109.92033983104294
1977,110.00198605088723
1978,109.27886342827034
1979,109.58325178309698
1980,109.51286114246953
1981,108.92628748003747
1982,110.60534725839328
1983,111.38933728249276
1984,110.607347139665
1985,109.17407314922029
1986,109.748266598378
1987,108.82575363528764
1988,108.6909293307137
1989,109.4495993794201
1990,109.03115024271194
1991,110.60719823589264
1992,112.80649698102063
1993,110.27700330316513
1994,110.5804514217223
1995,109.13746818817992
1996,109.23147043490356
1997,109.1978364205378
1998,108.56884512347055
1999,109.60684802521364
2000,109.0061717261601
2001,109.12866880197313
2002,109.40750328945545
2003,108.4577010582879
2004,108.48263564580431
2005,108.6538211313862
2006,109.1043875093907
2007,108.9734616030185
2008,108.24655805793782
2009,108.99006695628012
2010,108.62811654754788
2011,108.45351595945266
2012,108.49040011153562
2013,108.0337666817412
2014,108.35978369329172
