year,rsut
1850,110.12954643133105
1851,110.08472902426658
1852,110.24836678899356
1853,109.7685302669069
1854,110.28856132838663
1855,110.12375319961819
1856,110.025697763751
1857,109.70080637357168
1858,109.4391685242073
1859,110.13592031106128
1860,110.45279563873265
1861,110.68049190280131
1862,110.58760498521755
1863,110.26878374403738
1864,109.80263774104908
1865,109.90956018390584
1866,110.4854782540363
1867,109.89655697747122
1868,110.20317412761725
1869,110.1525740086465
1870,109.82920390336585
1871,110.20606809627671
1872,109.83156600450661
1873,110.04792599443114
1874,110.05964185451049
1875,110.2553685288075
1876,110.0140216919924
1877,110.17367501219908
1878,109.97997367580102
1879,110.26115859811866
1880,110.37278907393039
1881,110.2296962494907
1882,109.70194833386323
1883,111.41959874513957
1884,113.72212584771714
1885,111.54836182298297
1886,110.56785684458828
1887,110.05223634533391
1888,110.14125128365579
1889,109.9634304801837
1890,110.5233606702073
1891,110.60666898516736
1892,109.98374779416197
1893,110.33799262157866
1894,109.78712156603358
1895,110.12384440473129
1896,110.18782638403461
1897,110.63297629293771
1898,110.45670901920064
1899,110.14289109017005
1900,109.97308939988532
1901,110.32445163740377
1902,110.56312409737113
1903,111.40589495601239
1904,111.01218836218747
1905,110.18323469353474
1906,110.45756292982557
1907,111.04914057129793
1908,110.36238430995908
1909,110.05939434872336
1910,110.31841405524315
1911,110.75737295882475
1912,110.93873364716694
1913,110.91516581460674
1914,110.60401013593626
1915,110.1408902527386
1916,109.92681002705415
1917,110.13593135972258
1918,110.34436726814182
1919,110.13996583939681
1920,110.6553050309168
1921,110.2676337395678
1922,110.2165482930187
1923,110.2676991316619
1924,110.40918776037626
1925,110.62665001565077
1926,110.32452179220732
1927,109.95197587944486
1928,110.15468468116799
1929,110.6796633223241
1930,110.32348928139565
1931,110.46693393589425
1932,110.48936067110084
1933,110.3117367876826
1934,110.09997836055436
1935,110.10131034644402
1936,109.99507535340636
1937,110.92770752544162
1938,110.6477405142873
1939,110.76452518887393
1940,110.56471477652603
1941,110.42188291586264
1942,109.86391700122061
1943,110.23644423976005
1944,110.3566775894225
1945,110.34588808512122
1946,110.27201021427226
1947,110.2232341367551
1948,110.32428703358376
1949,110.38066167187404
1950,110.34194736606293
1951,110.44232995418093
1952,110.56589200991131
1953,110.6072540614224
1954,110.2211048406746
1955,110.7101311182532
1956,110.50365687193876
1957,111.21866468126757
1958,110.75357821307394
1959,110.68830150772499
1960,110.67518386041546
1961,111.06554644949405
1962,111.20077363472807
1963,112.28756762832558
1964,111.94952410430176
1965,111.4723085616555
1966,111.18305157355888
1967,111.1681228361651
1968,111.1735591437797
1969,111.06470888685735
1970,111.26205202916582
1971,111.28924861423776
1972,111.48939041815777
1973,111.44233546389525
1974,111.34520192104968
1975,111.40990289063339
1976,111.4307735546183
1977,111.32686331189254
1978,111.49737479875776
1979,111.43669347720487
1980,111.43720299478093
1981,112.05403776619887
1982,111.83130464320881
1983,111.84200045459039
1984,111.69432421948308
1985,111.30495090158335
1986,111.2195556482697
1987,111.29887760335906
1988,111.22782892333129
1989,111.44394776726992
1990,111.09864656163847
1991,112.32087746506956
1992,113.7595109096957
1993,112.612156349939
1994,111.64622574317792
1995,111.59954250664413
1996,110.70129531033493
1997,111.320426463382
1998,111.4508766975632
1999,111.35685782321453
2000,111.17838831255143
2001,110.812493756881
2002,111.29762681124448
2003,111.27248938831131
2004,111.55424333232094
2005,111.27974338855626
2006,111.11553741501908
2007,111.02465309406547
2008,110.72414948314074
2009,110.58999442442448
2010,110.79501676415164
2011,110.6767254256745
2012,111.31040981830262
2013,110.65803320003953
2014,110.44551839346082
