year,rsut
1850,110.61317791905364
1851,110.2159733074131
1852,110.04838946761302
1853,110.3754936637303
1854,110.12204957527796
1855,110.26066411511897
1856,109.92870874840483
1857,109.74546030360293
1858,110.20292515196034
1859,110.26653711995635
1860,110.28762496830448
1861,110.18763314454822
1862,110.37483655032806
1863,110.43807734011367
1864,109.97505404509133
1865,109.89676250191569
1866,110.27571965956416
1867,110.30021450823855
1868,110.22631597888909
1869,110.3064556897304
1870,110.4019257752856
1871,110.14206712604104
1872,110.08505992865045
1873,109.86927036527032
1874,110.63051203470152
1875,110.04310345635531
1876,110.41910602896073
1877,110.38568240976697
1878,110.08970038492613
1879,110.05439183430865
1880,110.28893256447017
1881,110.73083153029218
1882,110.53089319999474
1883,110.43205631901284
1884,110.10208267559582
1885,110.50677676551875
1886,110.51101918394363
1887,109.91176176522428
1888,110.27834853721251
1889,110.13789488751776
1890,110.37726176974974
1891,110.3603660633131
1892,110.19589975218807
1893,110.1208684399305
1894,110.14399903293767
1895,110.75174335313379
1896,110.29318172674964
1897,110.2490827054886
1898,110.25382295330091
1899,110.81640395009074
1900,110.75243311683055
1901,110.01769198702155
1902,109.82997630027276
1903,110.13133460226291
1904,110.48494507131177
1905,110.62170287608667
1906,110.08106245869521
1907,110.206039881425
1908,110.50266428177935
1909,110.36973843234017
1910,109.97764037949719
1911,110.10687727159356
1912,110.03194563089818
1913,110.07135375121358
1914,110.51234689897632
1915,110.35585863313727
1916,109.99263107521288
1917,109.79550543265401
1918,110.459113636124
1919,110.63387824542092
1920,110.25640318102816
1921,110.47558882552364
1922,110.49995249585149
1923,109.91217370225552
1924,110.12861928133835
1925,110.69348957764548
1926,110.47120212646425
1927,110.35443795100832
1928,110.00128449046754
1929,110.27041352223125
1930,110.65762673564538
1931,110.28540681944855
1932,109.90676921446082
1933,110.11982798694217
1934,110.34277258732563
1935,110.45965378145523
1936,110.09971488605285
1937,110.41363515162664
1938,110.59950849321312
1939,110.9863179999804
1940,110.04381033989961
1941,110.34167560783561
1942,110.1425100995193
1943,110.33012373681966
1944,110.2169264991581
1945,110.78221275031652
1946,110.53932288880691
1947,110.36217647959707
1948,110.32790085793764
1949,110.54454205298741
1950,111.08352169824083
1951,110.34264849405412
