year,rsut
1850,108.58483468669735
1851,108.73764861642498
1852,108.57539227629363
1853,108.91841288527398
1854,108.45339083736891
1855,108.7227824380953
1856,108.66529929801209
1857,108.48470676369863
1858,108.30733864144102
1859,108.2403867538661
1860,108.20289110157589
1861,108.75119384347575
1862,108.56977562055195
1863,108.37497696549926
1864,108.29234683938222
1865,108.43895290845062
1866,108.58723759063304
1867,108.10543430276113
1868,108.72574124270922
1869,108.31100599733116
1870,108.17904165607608
1871,108.35220746602099
1872,108.63426705974422
1873,108.18916774383962
1874,108.45775685767603
1875,108.24057435336177
1876,108.23186440663795
1877,108.23282236595676
1878,108.17370954539678
1879,108.38841270551289
1880,108.03082680898171
1881,108.30905266330664
1882,108.32232944018222
1883,108.44605551941754
1884,108.0159908346934
1885,108.32286665406944
1886,108.02724557118873
1887,107.97673304309583
1888,108.16818784948897
1889,107.90834674573922
1890,108.02311267591502
1891,107.97983204044706
1892,108.28249846157962
1893,108.05770886564909
1894,107.85604463342119
1895,107.76360511257221
1896,108.1528359400083
1897,107.90500028427331
1898,107.77768441814266
1899,107.90163490608946
1900,107.74244612602338
1901,107.70078271317156
1902,108.29547261277291
1903,108.28611627866145
1904,108.04446250183943
1905,108.04804369782747
1906,107.91368535708075
1907,108.13688270882385
1908,107.82054033671339
1909,107.80714663152824
1910,107.52166727144423
1911,107.66422976141105
1912,107.74716422721131
1913,107.70237637872567
1914,107.29992416590858
1915,107.50057834991036
1916,107.62625784678
1917,107.78635214191593
1918,107.02434909768299
1919,107.59794963679902
1920,107.90837653173158
1921,107.56752152116331
1922,107.18139092432308
1923,107.14516559757598
1924,106.90359196075022
1925,107.26922009611783
1926,107.74904471619489
1927,107.02736774601347
1928,106.97160487762868
1929,106.93546226187928
1930,107.11498613749467
1931,106.84512226679553
1932,106.94310047724476
1933,106.98760940342733
1934,106.9165619941607
1935,107.1559584735191
1936,106.86083639484565
1937,106.62141943108546
1938,106.76442218937285
1939,106.87811929363095
1940,106.73528519721881
1941,106.68119736762894
1942,106.88655767571436
1943,106.68734624157213
1944,106.80010281915534
1945,106.53937758354292
1946,106.48922221562633
1947,106.57302480201196
1948,106.75669589107984
1949,106.3402033766655
1950,106.89279467438999
1951,106.33680927851425
1952,106.77840241732662
1953,106.58239723101053
1954,106.42363655403868
1955,106.50008469673051
1956,106.43645878621976
1957,106.48531579840672
1958,106.11858693998154
1959,106.08701232492108
1960,106.34588250983252
1961,106.49282021718483
1962,106.48552078874144
1963,106.06826454058086
1964,105.92778773895681
1965,105.9789866199232
1966,106.16517461489325
1967,105.96201006745639
1968,105.9084067984803
1969,106.26903540206283
1970,105.95344188115368
1971,105.91841790186216
1972,105.84054751461498
1973,106.50717980371763
1974,105.877079020461
1975,106.0673289677868
1976,105.4939907962329
1977,105.90938254578471
1978,105.99414718836954
1979,105.37351080489485
1980,105.59048658397099
1981,105.88088096723165
1982,105.60218714883882
1983,105.45815036721424
1984,105.29840062807682
1985,105.75356434861274
1986,105.44651827877517
1987,105.36416613435091
1988,105.32379971856942
1989,105.46088913172889
1990,105.51894119471719
1991,105.46161453038046
1992,105.05064034657934
1993,105.77564592753372
1994,105.26960225562527
1995,105.08460551222709
1996,105.23392467760058
1997,105.32728733428539
1998,105.25192603542378
1999,104.9377286937139
