year,rsut
1850,98.23195320024881
1851,98.386172506254
1852,98.25871057379734
1853,97.97667750528413
1854,98.2232151815336
1855,98.24602483461982
1856,98.30443828007945
1857,97.99829544694455
1858,97.6949177572172
1859,97.82005937132116
1860,97.90528520557979
1861,98.06629511166925
1862,98.1576373165601
1863,97.86877303450075
1864,98.21502196429526
1865,98.21733465325342
1866,98.11216543537296
1867,98.30354244284433
1868,98.09062748739163
1869,97.94087633106807
1870,97.79151845435572
1871,97.56652512223755
1872,98.28573414005646
1873,97.78650006856006
1874,97.9470339213332
1875,97.88956244481754
1876,98.27436985381662
1877,98.00228125167219
1878,97.48394001999945
1879,97.68022233100787
1880,97.54320789493927
1881,97.77319735174308
1882,98.03777444917861
1883,98.10986466081175
1884,97.65190603177841
1885,97.67343265063141
1886,97.90030126702295
1887,97.5245730256381
1888,97.72027349602686
1889,97.94413654902209
1890,98.04716744618872
1891,97.72641400898972
1892,98.02643374090326
1893,97.71267031316889
1894,97.43366665774829
1895,97.6046993098847
1896,97.84879031246655
1897,98.05214314917997
1898,97.40708766571461
1899,97.8911612523745
1900,97.62041598803377
1901,97.84752090663129
1902,97.59896522417462
1903,98.00193755267418
1904,97.29908014584896
1905,97.66775928654083
1906,97.28193221418826
1907,98.10464092933967
1908,97.72822606334947
1909,97.75191019136611
1910,98.15205830613229
1911,97.79524766059772
1912,97.59041739685894
1913,98.00786810051902
1914,98.0986942029979
1915,97.52870853371815
1916,97.66023517765412
1917,97.41214578706925
1918,97.81420620434906
1919,97.44991009855924
1920,97.78045802704274
1921,98.04686032647955
1922,97.67855287316726
1923,97.57364790406943
1924,97.71274936623769
1925,97.60710967599528
1926,97.62949797747886
1927,97.20172415955427
1928,97.75057485920111
1929,97.37458364408309
1930,97.14818029534328
1931,97.79172896293744
1932,97.50923817255725
1933,97.79868120167353
1934,98.00953095318518
1935,97.16510068292487
1936,97.46780399688302
1937,97.71558265163475
1938,97.54809557771028
1939,97.32821621829515
1940,97.45041581245319
1941,97.64395392430971
1942,97.70255563814347
1943,97.38642099458876
1944,97.25746305282802
1945,97.46657656316889
1946,97.55634809520147
1947,97.49849859786359
1948,97.7995159619475
1949,97.55476728465459
1950,97.55701877123688
1951,97.62372286025791
1952,97.65824492990153
1953,97.96060132588426
1954,98.0104405860378
1955,96.80336742662404
1956,97.37955037992295
1957,97.53307033173024
1958,97.8698232781397
1959,97.75845700616705
1960,97.60368865548749
1961,97.64835844693118
1962,97.9142917789825
1963,97.76414324616732
1964,97.22848613164194
1965,97.51776154400551
1966,97.58256996886371
1967,97.82153353756422
1968,97.42134338796956
1969,97.29618268992803
1970,97.96450195312501
1971,97.54661246521832
1972,97.4663144464362
1973,97.47477908199782
1974,97.2436835929139
1975,97.40102635213775
1976,96.9707249053537
1977,97.5721044043972
1978,97.66047944369383
1979,97.36052923333155
1980,97.47624584877327
1981,97.03916387688622
1982,97.05202243752674
1983,97.72663294125911
1984,97.53329731144316
1985,97.21002801346452
1986,97.47091660172971
1987,97.74102484298078
1988,97.64482513845785
1989,96.95276806975065
1990,97.38779900955826
1991,97.08525227585882
1992,97.07505921664304
1993,97.06103720469017
1994,97.30588320379387
1995,97.39299314316006
1996,97.88548015437712
1997,97.56161749852846
1998,97.7455216081175
1999,97.40361254966422
