year,rsut
1850,98.35268609033872
1851,97.76136359645895
1852,98.20461927440067
1853,98.60329568941299
1854,98.6324749881274
1855,98.13030610803057
1856,98.52985712338801
1857,98.52404599124438
1858,98.35211068767391
1859,98.31361694335938
1860,98.43713215867132
1861,98.58982502140411
1862,98.90188629986488
1863,98.23360265444403
1864,98.40728797390037
1865,98.07085013193627
1866,98.17611815570152
1867,98.55131758598432
1868,98.21974608538903
1869,98.45272402828687
1870,98.57974174185975
1871,98.24662143236971
1872,98.1887181948309
1873,98.08042698690336
1874,98.28430932449967
1875,98.15004546283042
1876,98.15492800359858
1877,98.15539080476107
1878,98.22854691596879
1879,97.8944226408658
1880,97.95538666607581
1881,98.39637524330452
1882,98.00338550724396
1883,99.28032293450342
1884,100.881007343449
1885,99.22462208369008
1886,98.42796254615263
1887,98.31210477646083
1888,98.28153640538044
1889,98.50024853013966
1890,98.21117906962355
1891,98.80687751247457
1892,98.44836900266883
1893,98.40467765494569
1894,97.88543885113441
1895,98.7665782562674
1896,98.29437358281385
1897,98.330084709272
1898,98.38606696978007
1899,98.2105009314132
1900,98.25077625431426
1901,98.3804322334185
1902,98.42700657256661
1903,99.73555356378424
1904,98.9307342529297
1905,98.72756276587917
1906,98.55825849559209
1907,98.90032265023008
1908,98.68660677557122
1909,98.60122304419949
1910,98.59011671510463
1911,98.8229600044146
1912,99.02279299383294
1913,98.68139773852204
1914,98.35702824004707
1915,97.73743091740019
1916,98.58411470178055
1917,98.11170334489378
1918,98.55749145925861
1919,98.16587022755243
1920,98.22548393354023
1921,98.53780239575529
1922,98.34861322690362
1923,98.55242437075263
1924,98.3372259270655
1925,97.97703449824085
1926,98.24295591589522
1927,98.38585213439103
1928,98.54728815784193
1929,98.5067058824513
1930,97.90284904584492
1931,97.96219699807364
1932,98.49744835422463
1933,98.16124936456549
1934,98.16131673316433
1935,97.99441434259285
1936,98.45322748471611
1937,98.36148010671953
1938,98.15698133494756
1939,98.05528198660237
1940,97.69335483916817
1941,97.97946244331254
1942,98.4199859410116
1943,98.26912774909032
1944,98.01964098786655
1945,97.98295279724957
1946,98.10838932403146
1947,98.13286642832298
1948,98.26572499732448
1949,98.48670401377218
1950,98.51960495204142
1951,98.35969213198308
1952,98.82002172600734
1953,98.4361359478676
1954,98.6962518770401
1955,98.12961034905419
1956,98.46304133167006
1957,98.4460041202911
1958,98.44474000277583
1959,98.19727753939694
1960,98.5822226537417
1961,98.90674524176609
1962,98.6525909005779
1963,100.31936097863598
1964,99.47141980732957
1965,99.4094941857743
1966,99.02243832104827
1967,98.91983025955827
1968,98.39886541497216
1969,98.46208970579383
1970,98.83720354054071
1971,98.55153894293798
1972,99.3357057963332
1973,98.19804091780153
1974,98.630890582359
1975,98.7765537000682
1976,98.25574280203206
1977,98.84021272006099
1978,98.91800294640946
1979,98.72371721659621
1980,98.71100221398757
1981,98.64561025541121
1982,99.09970205646673
1983,99.52670541005591
1984,98.93651923610739
1985,98.57163184179016
1986,99.01826688165536
1987,98.79037218485792
1988,98.76844645460992
1989,98.40040281112881
1990,98.22735959405767
1991,99.93573727542407
1992,101.67181891872455
1993,100.37899341321972
1994,99.35769592703205
1995,98.99024154454062
1996,98.43154689841072
1997,98.33602980522261
1998,98.47357894688437
1999,99.09346376183915
2000,99.06063270046286
2001,99.19436810637174
2002,98.85461429961741
2003,98.48339737147502
2004,98.73564306807846
2005,98.13001081910852
2006,98.53651054068787
2007,98.12516782577723
2008,97.91981282691432
2009,98.2625464870505
2010,98.56846856940282
2011,98.58167268935948
2012,98.31942880708878
2013,98.43811432302816
2014,98.39961526949112
