year,rsut
1850,100.865493586292
1851,100.84481805252702
1852,101.39711389410985
1853,100.96548871602096
1854,100.6930015250428
1855,100.52891249983277
1856,100.56268964793583
1857,100.87053935429819
1858,100.66371271838878
1859,100.75152393497834
1860,100.91958365244409
1861,100.93335744779404
1862,100.94726313760837
1863,101.13062834021162
1864,101.64909916707911
1865,100.76482920189426
1866,100.78864927945072
1867,100.93790586288662
1868,100.80144918781438
1869,100.68592934804421
1870,100.94823171537217
1871,101.11339324533122
1872,101.26510534417139
1873,101.68384121411468
1874,101.12848619434932
1875,100.1999359757933
1876,100.38379215606271
1877,100.63187634193733
1878,101.04439193516562
1879,101.08753062209038
1880,100.984825489619
1881,100.8901526046126
1882,101.13860569784084
1883,101.35402146430864
1884,101.0020990450088
1885,100.92860820195448
1886,100.77519792530636
1887,100.98857712419064
1888,100.74802024527773
1889,100.9556168020588
1890,100.98141632080078
1891,101.0646397838854
1892,101.02944110191032
1893,100.9137994635595
1894,100.88158688479908
1895,100.88005118174098
1896,100.75101023634818
1897,101.23348307152317
1898,101.27848556727578
1899,100.85330486558888
1900,100.43829636247189
1901,100.79013607077403
1902,100.63698249712382
1903,101.09873903875483
1904,101.17471305115583
1905,100.90965417313248
1906,101.24981005942985
1907,101.22027004712248
1908,100.99406259615128
1909,101.16662428346397
1910,100.86566617782802
1911,100.57781811021779
1912,100.53665583362319
1913,100.8434580554701
1914,101.17211817911225
1915,100.76906259615129
1916,100.87845423450209
1917,101.37353110117456
1918,100.89715640969472
1919,101.01753494053669
1920,100.7625907375388
1921,100.90988974375267
1922,100.67970942667085
1923,100.97552929185841
1924,101.02277077452777
1925,100.86487997394717
1926,100.83041176991921
1927,101.25363719365367
1928,100.68075553162457
1929,100.97376918008884
1930,101.03407523795349
1931,101.06689076880886
1932,100.96462956258694
1933,101.0742159908765
1934,101.28926920433567
1935,101.0218632319202
1936,101.28283338154831
1937,100.8165690382866
1938,101.05100958837221
1939,101.23473822188703
1940,100.93392894170056
1941,101.17859509611782
1942,101.14852698339175
1943,101.19879482739594
1944,100.58830526691594
1945,101.25158248274292
1946,101.20798914661148
1947,100.2627508921166
1948,100.34048833977688
1949,100.54225432513512
1950,100.81674729438677
1951,101.21206132026568
1952,101.12903797724476
1953,100.98646150353835
1954,100.72181565794226
1955,101.16061545594097
1956,101.01002320590085
1957,101.12500999137146
1958,101.16176377387897
1959,101.28467290172837
1960,101.0742823979626
1961,101.23964026464174
1962,100.97540889374196
1963,101.30175929657399
1964,100.93673816837678
1965,101.10285889089924
1966,101.073004631147
1967,100.66954061429796
1968,100.80858616241038
1969,100.89729745943254
1970,100.89581681342972
1971,100.76890931847977
1972,101.02867003140383
1973,100.97594123735819
1974,100.98381013217038
1975,100.77250838606325
1976,101.02360729060761
1977,100.65645891999544
1978,100.58404482488763
1979,100.91292402711633
1980,100.6013674801343
1981,100.78025468800166
1982,100.87747083690067
1983,100.59493751003318
1984,100.97950161450531
1985,100.95078400912348
1986,100.80051773280312
1987,100.87145492344686
1988,101.0514774479278
1989,100.72010050734428
1990,100.89444383595088
1991,100.93438342368766
1992,100.75807789841743
1993,100.9260650007692
1994,101.27310765932685
1995,101.08725184610445
1996,100.82938771705105
1997,101.00727263150151
1998,100.92117334653253
1999,100.97154010093377
2000,101.25473304644022
2001,101.10424698085001
2002,101.2631157861997
2003,101.46822785677976
2004,100.99843342402211
2005,101.06053909928832
2006,101.16782500384605
2007,100.98683770584734
2008,100.79087796145922
2009,100.96261442001553
2010,101.01625949389313
2011,100.87620293604182
2012,101.27671864130724
2013,100.99798000806
2014,100.88441337689959
2015,100.61635633494757
2016,100.76549713970863
2017,100.56884826242108
2018,100.94774623505056
2019,100.89146692981458
2020,100.81626076894263
2021,100.95707934653922
2022,100.79658178042058
2023,100.95425876983222
2024,101.29492264839067
2025,101.12720372448229
2026,100.4043662084292
2027,100.62683090837035
2028,100.9496938209011
2029,100.98016169299818
2030,101.44582030413903
2031,101.29534170072375
2032,100.5334404723285
2033,100.77738271216822
2034,101.0804327977847
2035,101.12287637370906
2036,100.68430451693598
2037,101.03920973686323
2038,100.73989180473433
2039,100.70535539600945
2040,100.73078326917673
2041,100.90751215268487
2042,100.83483345345275
2043,100.82278557346292
2044,100.95726249381288
2045,100.92457547122484
2046,100.49593875832753
2047,100.49753668798161
2048,100.81653212455853
2049,100.60732206579756
2050,100.94903261367588
2051,100.96831660858572
2052,101.41794546466984
2053,100.76170418099181
2054,100.76068807105494
2055,101.15789719673053
2056,100.73432023557896
2057,100.77364297109106
2058,100.49734898397367
2059,100.73814764153465
2060,100.96821370582057
2061,100.92725859341553
2062,101.15394314282561
2063,101.14900199158552
2064,100.83836893578098
2065,100.49076669771378
2066,100.9690307408163
2067,101.31454070626872
2068,101.26973908306802
2069,101.44009984682684
2070,101.25833855197853
2071,100.85086511063248
2072,101.01851052062152
2073,100.7424750341128
2074,100.74252331877408
2075,100.68462651919012
2076,100.92047815192234
2077,101.1935437346158
2078,101.0665366812928
2079,100.9592517800527
2080,101.12437384618472
2081,101.2639892160076
2082,101.38718516728646
2083,101.251223253224
2084,101.03527620916496
2085,101.07826709486034
2086,101.32036741073817
2087,100.9636692830961
2088,100.95574073268943
2089,101.13465024347174
2090,100.68716683583717
2091,100.8837387084961
2092,100.49698979625963
2093,100.96179435416443
2094,100.85615738124062
2095,101.0974273054567
2096,100.38609470733226
2097,100.80438573131823
2098,100.84815349840139
2099,100.89821070840915
2100,100.95055602609295
2101,101.52025917784809
2102,101.26565528765116
2103,101.20293092074458
2104,100.5664068770735
2105,100.3123587830426
2106,100.6025048451881
2107,100.57180568747326
2108,100.91140099094338
2109,101.35156375414704
2110,100.76504232328232
2111,100.77190116986836
2112,100.87885926129066
2113,100.8956433021859
2114,101.25494307426557
2115,100.99605526858814
2116,101.10703365378183
2117,101.50048430978435
2118,101.24659436369595
2119,100.83053034952242
2120,100.97805136066593
2121,101.32257054995185
2122,101.19530060650551
2123,101.1498696941219
2124,100.70113558834545
2125,100.55221421751256
2126,100.97055064162163
2127,101.3148409490716
2128,100.98246792309905
2129,100.94164733886718
2130,101.54567963064532
2131,101.60325800229423
2132,100.68480711636477
2133,100.56462740963451
2134,100.79822966693197
2135,101.28060538932067
2136,100.89390547242886
2137,100.78398466763429
2138,101.34837481355014
2139,101.27217020531224
2140,100.85556030273438
2141,100.92811252123688
2142,100.8184556307858
2143,100.73435474552518
2144,100.79848459322159
2145,100.78067668758025
2146,101.06409278765116
2147,101.40577438563517
2148,100.97853891033017
2149,100.86127762467895
2150,100.77398865582194
2151,100.65590249675596
2152,100.73648257320873
2153,100.87750058108813
2154,101.36380178373153
2155,100.93166811172276
2156,100.84527560717439
2157,100.93657947697051
2158,100.83952419333262
2159,100.62823457064694
2160,100.42629810490018
2161,100.85729702466153
2162,101.14227021099771
2163,101.56118995980042
2164,100.9163463435761
2165,100.76247362110712
2166,100.8359704840673
2167,100.74779660995692
2168,100.29174246592066
2169,100.90754231492134
2170,100.82696999327777
2171,100.69796207375721
2172,100.69028798978621
2173,101.06022217632972
2174,100.64050838522715
2175,100.5267605716235
2176,101.0414014006314
2177,100.97465801500294
2178,100.55604613839763
2179,100.74212583777025
2180,100.47672597806749
2181,100.77598289594258
2182,100.73340569065043
2183,100.41279468275097
2184,100.47001846522502
2185,100.55687337378933
2186,101.0830878061791
2187,100.38641798463587
2188,100.61889727866813
2189,101.01065665467144
2190,100.47615116067131
2191,100.6926015566473
2192,100.86191345632892
2193,100.72825196148598
2194,100.95098902036067
2195,100.8990316312607
2196,101.14059224585964
2197,101.16428764029725
2198,100.66435893855684
2199,100.9938411555878
2200,100.77956264966154
2201,100.929895981044
2202,101.05631490210965
2203,101.47434349582619
2204,101.21133034065977
2205,100.68683588733411
2206,101.0836967154725
2207,101.21794734589041
2208,101.01093294326571
2209,101.02754315938036
2210,101.44231793129282
2211,100.86803741455077
2212,100.79072888518033
2213,100.99609237043825
2214,100.8852337771899
2215,100.60623936065257
2216,101.32217033072693
2217,101.10722131598483
2218,100.96688175985258
2219,100.87445174961871
2220,101.21772162032454
2221,100.69558720000802
2222,100.91556074586633
2223,100.54244388946117
2224,101.01541572466289
2225,101.03178526995933
2226,100.5047188745786
2227,100.63418054450048
2228,100.9951990414972
2229,100.6944226826707
2230,100.76704607401808
2231,101.03145009916123
2232,101.06546603686189
2233,100.3816519541283
2234,100.58050300911681
2235,100.83412086800352
2236,101.34748223709732
2237,101.5374511300701
2238,100.62531303510275
2239,101.06711586730123
2240,101.1655149485967
2241,100.77187892966073
2242,101.77229051981887
2243,100.67780567325958
2244,100.86064185573632
2245,101.0068118160718
2246,101.32657518778763
2247,101.00846009972977
2248,100.73700889691914
2249,100.68599372759257
2250,101.10346736124117
2251,101.3946388349141
2252,101.37353089215004
2253,100.95061152209975
2254,101.04397637354184
2255,100.87439098619436
2256,101.03128446814132
2257,101.20471479860069
2258,101.42089166510596
2259,100.98394702232048
2260,100.96367271109801
2261,100.78453402584546
2262,100.91681460027824
2263,100.85695234324834
2264,100.6689659850238
2265,100.86257882314185
2266,101.30288955479452
2267,100.8492483896752
2268,101.13339749688973
2269,100.73200092054391
2270,100.89258677861461
2271,100.84725502745745
2272,100.68368087141482
2273,100.53092270942582
2274,100.97560387180275
2275,101.14298869093803
2276,101.51481887608358
2277,100.7270172746214
2278,100.81293976666174
2279,101.15215686118766
2280,100.95339416085856
2281,101.11324519327242
2282,101.03407339853784
2283,101.04350688359509
2284,101.0724945695433
2285,100.83385367197533
2286,100.7465657691433
2287,101.01201706977739
2288,100.79237321827507
2289,101.09169875889607
2290,101.14016972371977
2291,101.13058183225866
2292,100.86008102207967
2293,101.0242322947881
2294,101.09960488097308
2295,101.03649243916551
2296,101.18947442459732
2297,101.36273527798588
2298,101.25837554931641
2299,101.04474687968215
2300,100.53141935165614
2301,100.73494933663981
2302,100.52380987716047
2303,100.73617273618096
2304,101.16335516106591
2305,100.68609606599155
2306,100.9946180787805
2307,101.03254478141052
2308,101.07272687938115
2309,100.87555888972871
2310,101.21912145745264
2311,100.90987362796314
2312,101.07159037132786
2313,100.96541693700503
2314,100.79201649705026
2315,100.8568494822881
2316,101.17950587860526
2317,101.01120277300271
2318,101.32093046005458
2319,101.31304628555087
2320,100.960032486589
2321,100.73632490602259
2322,100.86758019434262
2323,100.82539888146805
2324,101.11509309533524
2325,100.71271048767926
2326,100.77197926142445
2327,100.77268106120907
2328,100.79551418774749
2329,101.08437255441325
2330,101.28920304807899
2331,100.88960853472148
2332,100.34837723823442
2333,100.8824396211807
2334,100.72310207837249
2335,101.40734604090859
2336,100.95154657233252
2337,100.68485270460988
2338,100.57977775678242
2339,100.7748385703727
2340,101.13439479462085
2341,101.32536919998795
2342,100.95895109829836
2343,100.28549284216474
2344,100.71460025735097
2345,100.80125230763056
2346,100.78933235063943
2347,100.77089582469365
2348,100.92376855301531
2349,101.08405168089149
