year,rsut
2015,101.33555538229747
2016,101.35212337546155
2017,101.10530035985659
2018,101.25655151785236
2019,101.71523142775445
2020,101.34724064657132
2021,101.11800330175113
2022,100.92754017032986
2023,101.20242031567717
2024,101.05714403962435
2025,101.210316320968
2026,100.98460914925353
2027,100.97700694881073
2028,101.36695416594205
2029,101.36541505578447
2030,100.99074209552921
2031,100.98841370883054
2032,101.26838286935467
2033,101.39322900641454
2034,101.35229579977793
2035,101.01157347796713
2036,101.30383750183942
2037,101.03935093291818
2038,101.08833183393087
2039,101.51000125832752
2040,101.33064169687766
2041,100.72242040764795
2042,100.9080371595409
2043,100.88609556433272
2044,100.92605385976296
2045,101.17182100896967
2046,101.26793689466503
2047,101.22193009886024
2048,100.75559916039036
2049,101.23136724184639
2050,101.14462267731967
2051,100.6330296346586
2052,100.81942291259766
2053,100.88469614525364
2054,100.8299046764635
2055,101.10464203716957
2056,101.37555569165374
2057,100.73470966913928
2058,100.54636661059236
2059,100.42038584669976
2060,101.3220244107181
2061,101.37738979809905
2062,101.19528522230175
2063,100.37475855579115
2064,100.7771716601228
2065,100.9144259100091
2066,100.86558058229211
2067,101.14098019534595
2068,100.17936579038019
2069,100.6529960945861
2070,101.21435009682013
2071,101.03771088482583
2072,100.0752521253612
2073,100.46430200028092
2074,101.13069163283255
2075,100.1882508578366
2076,100.40904609993711
2077,100.39992500200664
2078,100.39635960827134
2079,100.15875779243365
2080,100.78280614565494
2081,100.4782056207526
2082,100.59067322195394
2083,100.21478794045645
2084,100.09373662243152
2085,99.9668103779832
2086,100.33233324860872
2087,100.17567644511183
2088,99.93289838817022
2089,100.26571883110151
2090,100.49247010113442
2091,100.3210990174176
2092,100.39654405149695
2093,100.52562976993929
2094,100.41603215883855
2095,100.40512515551424
2096,99.93726789918664
2097,100.29949510130164
2098,100.50829463592947
2099,100.27357250892953
2100,99.75776732980387
