year,rsut
1,103.8397724099355
2,103.36222833084733
3,103.12862003274161
4,103.31143531276754
5,103.7978527957446
6,103.30786981452
7,102.75132989752782
8,102.54362824322428
9,103.32894755324273
10,102.85989373612078
11,102.86474776594605
12,102.96270315091904
13,102.69432051149134
14,102.89906520059662
15,103.13485406326922
16,102.48034856090807
17,102.29632620615502
18,103.108443231452
19,102.90838148561245
20,102.71925197235525
21,103.26119773551208
22,102.68140808523516
23,102.71543746321169
24,102.13295141768782
25,102.31779484160958
26,102.72982648039518
27,102.70354171125855
28,102.6776176557149
29,102.27210306664035
30,102.81506368558699
31,102.75046612465218
32,102.77673841502568
33,102.90695867669092
34,102.71644071814133
35,102.74405371260968
36,102.1827705069764
37,102.9370893295497
38,102.95335674547171
39,102.9400840236716
40,102.35450288955478
41,102.28783853609268
42,102.60890442312581
43,102.97827121264314
44,102.30505833037911
45,102.09460693777426
46,102.21561362906677
47,102.4850082397461
48,102.37247843285128
49,102.19720906296821
50,102.24578529253397
51,102.42642042604211
52,102.53126548871603
53,102.01490016571465
54,102.07518032544279
55,102.23893392902531
56,102.29404098301718
57,102.10965168574086
58,102.41557721699755
59,101.92391733665988
60,101.79345981127595
61,101.97329187262548
62,101.86811699018085
63,102.03296751257488
64,102.25583207639927
65,101.9357437969887
66,102.42138076155152
67,101.7718625630418
68,102.0961019855656
69,102.61862471071008
70,102.00583408303456
71,102.31867466756744
72,102.03773421196088
73,102.18094831492803
74,101.64157777551102
75,101.80184610445205
76,102.3741933117174
77,102.29637451171874
78,101.63332954302226
79,101.90911058399774
80,102.44922054761076
81,101.6917492801196
82,102.02997541035691
83,101.94346014571515
84,102.27094402574514
85,101.90261941152076
86,101.74727544915186
87,102.46359886273946
88,101.75021548336498
89,101.77443588465862
90,101.8077678732676
91,102.32477600933754
92,101.59350042473781
93,101.91009841291873
94,101.90985255829276
95,101.97553942954703
96,101.65129703887521
97,101.8357611251204
98,101.46574445750615
99,101.4970933679032
100,101.7722626986569
101,101.83025807419868
102,101.67141633752274
103,101.79049667985473
104,101.90382721783365
105,101.61673496194082
106,101.85751570610151
107,101.51057714174873
108,101.7822862180945
109,101.82394379916256
110,101.73604550296314
111,101.68797607421874
112,101.73351283661307
113,101.54029417691166
114,101.5743456487786
115,101.85708770751951
116,102.09334244401488
117,101.94423345278388
118,101.70198289008991
119,101.43562392143355
120,101.48288300396645
121,101.63580357799792
122,101.89630929607236
123,101.63131017815577
124,102.06144392457728
125,101.68231815703928
126,101.6621626971519
127,101.53610290109296
128,101.6248572153588
129,101.81973189262493
130,101.82337529430652
131,101.59597055095514
132,101.0240545612492
133,101.10731506347658
134,101.69028458268674
135,102.12325656838613
136,101.83606567382813
137,101.42084258615152
138,101.67225646972658
139,101.56589418176102
140,101.77263434423159
141,101.48838513518031
142,101.1652237983599
143,101.48836448355897
144,102.01125966947372
145,101.681761420263
146,101.51209760692021
147,101.6352040539049
148,101.38880840980843
149,101.75912989786225
150,101.71250873722443
