year,rsut
1850,100.63336081308863
1851,101.29080304707567
1852,100.90735862418397
1853,100.55900903989189
1854,101.44536749434798
1855,101.00709134454594
1856,101.01348366933325
1857,100.77885888504656
1858,100.79469773802039
1859,101.38266879565094
1860,100.79579049724421
1861,101.14866866020306
1862,101.79005478114298
1863,101.0844931615542
1864,100.06690320576706
1865,100.88821317071785
1866,101.79527305707538
1867,101.51970540921981
1868,101.21020919590781
1869,99.83874883782372
1870,100.4911340373836
1871,100.66360565603594
1872,101.00091686510059
1873,102.13967247531838
1874,100.99320185413099
1875,101.3634718594486
1876,100.90524386053215
1877,100.28972274571247
1878,101.60886581629924
1879,100.95257827549764
1880,100.84437772149909
1881,101.43143956432604
1882,101.17242414918663
1883,102.70755485639181
1884,103.52399166577482
1885,101.77796472000747
1886,101.59182542774774
1887,101.20756921637549
1888,101.33211678282855
1889,101.9396597666283
1890,101.67400539868498
1891,101.6896281830252
1892,100.61075222067636
1893,101.28192652872164
1894,100.69054630227285
1895,101.52151980465406
1896,101.88331267474447
1897,101.01366374394664
1898,100.88443430025282
1899,100.83491325900978
1900,101.06561849933782
1901,102.11499945235578
1902,101.27570085917432
1903,101.91086254381153
1904,102.96817532892095
1905,101.26168854595862
1906,101.06995178640705
1907,102.25741019053002
1908,101.71297199824083
1909,101.69571282373714
1910,102.10091425229426
1911,101.34385093793476
1912,102.2005853940363
1913,101.23774623087006
1914,101.54050984839868
1915,101.09981808597095
1916,100.89685999204036
1917,101.897743935781
1918,101.41231283945581
1919,101.56711400698309
1920,101.47165972565953
1921,100.46102039911975
1922,100.1559510322466
1923,100.20121675256179
1924,101.56533002461474
1925,101.47249657617857
1926,100.78994677817984
1927,100.23794589107983
1928,101.1260119712516
1929,102.07059351254816
1930,102.04766298058914
1931,101.2500179134003
1932,101.5068506319229
1933,101.99558788978888
1934,101.77570343017575
1935,100.50310037691298
1936,101.087948587496
1937,101.47815936362903
1938,100.32239388243792
1939,100.57353143561376
1940,101.65588291115955
1941,101.90281834014473
1942,101.58284629926287
1943,101.21209156611195
1944,102.45967438580239
1945,101.79753616542031
1946,101.40308474187981
1947,101.95700372147235
1948,102.0038004835991
1949,100.7016220301798
1950,102.19258878524987
1951,101.18585332583076
1952,101.32045283905445
1953,101.16737250759176
1954,102.040223338506
1955,102.37219587352178
1956,101.5304745190764
1957,102.25394868197506
1958,101.63001811406383
1959,101.30381645307149
1960,103.11701066526648
1961,103.47595223204732
1962,101.32933153126338
1963,103.09368608030553
1964,103.24847483177707
1965,102.9020354597536
1966,102.2450430465071
1967,103.90611344428912
1968,104.32810140113307
1969,102.40010505571755
1970,103.14596542985471
1971,103.38404162681267
1972,102.14979862578929
1973,102.32299984448578
1974,104.07396045841584
1975,104.40191819700476
1976,103.23138670202805
1977,101.89312089893916
1978,103.56525724228112
1979,103.16096143330613
1980,102.19491228077509
1981,102.89159481100842
1982,102.77025269808834
1983,103.73219980736303
1984,103.34004458074699
1985,104.06623102475518
1986,102.65997742953365
1987,103.22686293092492
1988,103.05838547798054
1989,102.52803787858517
1990,101.96634389798936
1991,103.73942685061937
1992,105.16152278952401
1993,102.93185813590271
1994,102.39265122087033
1995,103.97449202864138
1996,103.62293577847416
1997,102.34025492210911
1998,103.65835663259847
1999,102.85332810911414
2000,102.01942057152317
2001,104.09630747755912
2002,104.62296669319885
2003,103.45194739772849
2004,102.70391206088131
2005,102.76874402189908
2006,102.62444761093349
2007,102.6383064374532
2008,102.38950205763724
2009,101.4226947105094
2010,102.70428441713933
2011,102.57449480866734
2012,102.69155476191271
2013,102.84510945359321
2014,103.33731315299255
