year,rsut
1850,99.46822359267979
1851,99.23890330693494
1852,99.20107164774856
1853,99.24522738522045
1854,99.16488572212113
1855,99.87554099723084
1856,99.15176291269799
1857,99.40915782353648
1858,99.20161912473915
1859,99.15678953405929
1860,99.13149069172064
1861,99.5833147022822
1862,99.24101119368044
1863,99.23080778775147
1864,98.94777474599343
1865,98.85574165239726
1866,99.03000820630217
1867,98.6587307655648
1868,99.21839679038688
1869,98.89428426664169
1870,98.7036350616037
1871,98.73660650383937
1872,98.40436002130376
1873,98.57546382538261
1874,98.40152429032
1875,98.80223779547704
1876,97.97323706639955
1877,97.70497605833287
1878,98.59149696663634
1879,98.89147203001257
1880,98.49023694600143
1881,98.33707300473566
1882,98.01121631779083
1883,97.93969486184317
1884,98.23646808781037
1885,98.23492663657828
1886,98.3324814051798
1887,97.98545147621468
1888,97.44411529122966
1889,97.91485123307736
1890,97.65342120862988
1891,97.58418769313865
1892,97.51284886190336
1893,97.61405522594713
1894,97.29705787554181
1895,97.4270345191433
1896,97.30903679834653
1897,97.30717510066623
1898,97.21736466917272
1899,97.52166509758936
1900,96.96069062115396
1901,97.8327027830359
1902,96.88139552286225
1903,96.7881732261344
1904,97.47366314195605
1905,96.89519807998448
1906,96.59978445392764
1907,96.85156099502356
1908,96.51996401434076
1909,96.35880020350628
1910,96.40121863378238
1911,96.47839184068651
1912,96.69078289711312
1913,96.71524275688276
1914,96.76971224432123
1915,96.34287514882543
1916,96.79321924497003
1917,96.28926811740823
1918,95.95102392745343
1919,95.98738342703203
1920,96.04492783219845
1921,95.72765283453953
1922,95.98526642681799
1923,95.52166419878398
1924,95.67034830589817
1925,95.53170768006208
1926,95.71065623662244
1927,95.84738817606888
1928,95.5725238538768
1929,95.55465777671499
1930,95.91669861257893
1931,95.68393452265491
1932,95.65716688600304
1933,95.46427098104397
1934,95.53822757250641
1935,95.33329524210053
1936,95.60954633738895
1937,95.34672228669467
1938,95.10009592134656
1939,95.25753541711258
1940,95.10494031514206
1941,95.00735607408498
1942,94.54635101736409
1943,95.37198122625482
1944,95.24972751565177
1945,94.90245561991651
1946,94.53393903758428
1947,95.70042352545752
1948,94.47714638905981
1949,94.5764203006274
1950,94.51317588074566
1951,94.59727753939696
1952,93.83928134865955
1953,94.40744566198899
1954,94.13274891474475
1955,93.92315055115581
1956,94.14627514146777
1957,94.3791966268461
1958,94.02709281607851
1959,93.58456788781571
1960,93.70777105044012
1961,93.97316371969981
1962,93.42228803242722
1963,93.66029481234615
1964,93.8773685403066
1965,93.37984920135915
1966,94.10001174717733
1967,93.20124143835616
1968,93.40201779718268
1969,92.90759500999972
1970,93.59279331573069
1971,92.91300228589202
1972,93.8855047983666
1973,93.4260162980589
1974,92.8478977987211
1975,93.35957654143033
1976,93.02450224993979
1977,93.15608687727418
1978,92.74660460589683
1979,92.97828737023758
1980,93.3951402010983
1981,92.89168425259524
1982,92.81095967750028
1983,92.49975048744514
1984,92.90208012829088
1985,92.56012579512921
1986,92.50780614565497
1987,92.6124944399481
1988,92.39955191416283
1989,92.8208119431587
1990,92.19331102763137
1991,92.74754193449672
1992,92.49983275949138
1993,91.88284861943494
1994,92.10236086910719
1995,91.89996561546846
1996,92.01208949676929
1997,92.6446399009391
1998,92.02334525748475
1999,91.63432594194803
