year,rsut
1850,96.51979930302869
1851,96.05675030015918
1852,96.186027087904
1853,96.61955468164732
1854,97.1236695799109
1855,95.85776661912055
1856,95.99186002130378
1857,96.28301506565042
1858,96.3938649007719
1859,95.78265307700796
1860,96.00416744702483
1861,95.90998785985661
1862,97.25893197255593
1863,96.42640130029966
1864,96.11397755244006
1865,96.047188139615
1866,96.06914133568333
1867,96.29135365943387
1868,96.15913577145093
1869,96.0647766740355
1870,95.772303416631
1871,96.05164073787323
1872,95.74303958840565
1873,96.27290436209063
1874,96.44703488284594
1875,96.15652363398303
1876,95.93198869261025
1877,96.20548129147046
1878,95.9095799903347
1879,96.27806237625748
1880,96.18140037223084
1881,96.05576867926611
1882,96.55624370836232
1883,97.0313261267257
1884,98.84872290206279
1885,98.70178862271241
1886,97.0682456238629
1887,96.58663135685332
1888,96.50390152604612
1889,96.84656560192369
1890,96.4400679287845
1891,96.70760815764125
1892,96.87940076018033
1893,96.84038838425727
1894,96.58144566784168
1895,96.87939214837061
1896,96.68748798109081
1897,96.39132533661305
1898,96.42365377765812
1899,96.86026724201359
1900,96.90658431379762
1901,97.1460865804594
1902,97.16554454646699
1903,98.07241139869167
1904,97.54972745294441
1905,97.09518953088212
1906,96.71905059814453
1907,97.44708111906704
1908,97.64804942509899
1909,97.11010345040935
1910,96.87735564349448
1911,97.21795654296874
1912,97.825571284882
1913,97.32514098703045
1914,97.3124258590071
1915,96.7145425874893
1916,97.01031048918423
1917,97.06915270661653
1918,96.94040226348457
1919,97.01490079278815
1920,97.50874445667006
1921,96.6245482771364
1922,96.23816480244676
1923,96.98881900735098
1924,97.64266252909621
1925,96.91486542584143
1926,96.84754588505992
1927,96.58093957770359
1928,97.53772794122564
1929,97.18590579098216
1930,96.89118637712033
1931,97.17714701613335
1932,97.04275247234187
1933,96.74777269755323
1934,97.20838025236783
1935,97.03439168015572
1936,96.75795480388484
1937,97.2324082047972
1938,97.18837984686027
1939,96.87006100171233
1940,97.09320942081817
1941,96.93211927022021
1942,96.93642153805249
1943,97.30305921998743
1944,97.4909345652959
1945,97.03015623745851
1946,97.00621055707539
1947,97.6072032562674
1948,97.80900855913553
1949,97.49887879254067
1950,97.49758601776543
1951,97.14302633625186
1952,97.51376913410343
1953,97.36053874394665
1954,97.22960917851695
1955,97.49182526052815
1956,98.66518966465779
1957,98.35586071275685
1958,97.4854287134458
1959,97.93000952315656
1960,97.71933493418236
1961,97.71861823095034
1962,98.31730641404243
1963,99.18163349726427
1964,99.2474964298614
1965,99.2269449312393
1966,98.30083005722256
1967,98.07893310964923
1968,98.34944267795512
1969,98.3758331298828
1970,98.29049396253612
1971,98.8765516725305
1972,98.30837128521644
1973,98.32362349000695
1974,98.97622281427252
1975,98.88902677771163
1976,99.3791107804808
1977,98.92560746702429
1978,98.72797552657455
1979,98.25459726412001
1980,98.8847400613027
1981,98.39542156898813
1982,99.58984813951469
1983,99.39333535808407
1984,99.19126856555678
1985,98.80281620809478
1986,98.4050903529337
1987,98.51795328218641
1988,98.45290353853409
1989,98.71908034233195
1990,98.50543300680917
1991,100.24765257116866
1992,100.1975832586419
1993,99.09736702278869
1994,98.91560234174335
1995,98.69424241993525
1996,98.25471667982126
1997,98.72862981508857
1998,98.54594314784218
1999,98.33721915467144
2000,98.54186884213797
2001,98.302965347081
2002,98.2367730127622
2003,98.20766497050246
2004,98.0739194060025
2005,98.3038111856539
2006,97.76661009069991
2007,97.92517254973113
2008,97.93533362819723
2009,97.50778152256795
2010,97.77293878842707
2011,97.52590028945714
2012,97.7148152181547
2013,97.67544750056854
2014,97.31623710736835
