year,rsut
1850,95.39540367449877
1851,94.7217216365364
1852,93.86830036767066
1853,93.08834224253519
1854,92.49976354246806
1855,92.45676595205197
1856,92.30899800230796
1857,92.17564170674056
1858,91.77980583298792
1859,91.05782866286269
1860,91.0303034760683
1861,91.31172812262388
1862,90.64687977434744
1863,90.44365727819955
1864,90.49020853918745
1865,90.43498042574714
1866,90.19386294681827
1867,89.90142389501442
1868,90.09292549327081
1869,90.03002747876762
1870,89.82532266244247
1871,89.68403572709003
1872,89.61714619785185
1873,89.716815781096
1874,89.65569357941486
1875,89.03592374363372
1876,89.28882356112426
1877,89.08432072153066
1878,88.83536265928996
1879,89.17226867833645
1880,89.38196122714594
1881,88.91417155500419
1882,88.98398721313744
1883,88.68761282262292
1884,89.0335316734941
1885,88.85060272547209
1886,88.64629670072637
1887,88.47599047706392
1888,88.42757545176886
1889,88.4831944527876
1890,88.20968180212721
1891,88.18654502876865
1892,88.39194827503403
1893,88.09783072592204
1894,87.94687414078244
1895,88.12630484745577
1896,88.27285080057379
1897,88.15779568022134
1898,87.84189786409803
1899,88.03699372216832
1900,88.09104780582425
1901,88.38217809331208
1902,88.0301256603369
1903,87.83907250180896
1904,87.9190544646792
1905,87.74662577716929
1906,87.5829868614964
1907,87.46172606573067
1908,87.6322693898269
1909,87.36866368388394
1910,87.4131123169616
1911,87.2734833108113
1912,87.16576938022236
1913,87.27646336114285
1914,87.35894208577872
1915,87.49676451480548
1916,87.38888233831725
1917,87.45951586116189
1918,87.531470890034
1919,87.43975885750224
1920,87.2097566633849
1921,86.98204117242723
1922,87.0063166129639
1923,87.2181546027905
1924,87.19346868566258
1925,86.90434766145796
1926,86.985015592873
1927,87.14556266003866
1928,87.12196097133085
1929,86.86093522413084
1930,87.12606782443086
1931,86.92191194722044
1932,87.0371769460734
1933,86.99747387607445
1934,86.9374819338202
1935,86.85127889867573
1936,86.79477167944366
1937,86.5128296965292
1938,87.15133031346568
1939,87.04347432707671
1940,86.55084316642173
1941,86.7370594367087
1942,86.68910350468087
1943,86.94237080914431
1944,86.77399343982535
1945,86.50065556514501
1946,86.76042104394539
1947,86.74940768054128
1948,86.69546966986007
1949,86.95487897360118
1950,86.65227173543488
1951,86.60204522876161
1952,86.64896824301493
1953,86.66232413481309
1954,86.68065444408458
1955,86.65363416904906
1956,86.62056874331859
1957,86.52391171154386
1958,86.19189408346574
1959,86.53058996332352
1960,86.63572407259113
1961,86.64482975566794
1962,86.31293824190045
1963,86.43311981058295
1964,86.19883552846456
1965,86.42548757268804
1966,86.72257342721264
1967,86.47630062856089
1968,86.42542845963608
1969,86.59464351711422
1970,86.44544592971666
1971,86.28865945339804
1972,86.48710257943648
1973,86.31310534947826
1974,86.30122297079298
1975,86.14355736803151
1976,86.3509550916592
1977,86.2765711025139
1978,86.33968219377245
1979,86.36686605221907
1980,86.56090626244294
1981,86.28341061448177
1982,86.29886386082478
1983,85.95017773910138
1984,85.96298041904177
1985,85.93297618536684
1986,85.93075760772058
1987,86.21557149550624
1988,86.02588232784245
1989,86.10298761967564
1990,86.41515352616287
1991,86.05770905412236
1992,85.86286290860451
1993,85.9334424829839
1994,86.00980407214973
1995,86.31857977013948
1996,86.37616651962375
1997,86.27701837201748
1998,85.97938837870802
1999,85.86622618296872
