year,rsut
2015,98.57297367712442
2016,98.79797527473728
2017,98.06365778436565
2018,98.22222275739928
2019,98.30298620199808
2020,98.57207179055881
2021,98.75865664935652
2022,98.27425033489699
2023,98.06196831369712
2024,97.72421385531007
2025,97.4893326981119
2026,97.53889811672184
2027,97.20642035864456
2028,97.38490043082801
2029,97.4495616769242
2030,97.04899601432018
2031,96.63093801480312
2032,96.93550591581857
2033,96.90403611696298
2034,96.62934300796499
2035,96.36325175243229
2036,96.05611909463157
2037,96.06279752009064
2038,96.24389509688936
2039,95.99906865591535
2040,95.70085575796496
2041,95.75142906669322
2042,95.41659840280032
2043,95.36237324437344
2044,95.72889659772952
2045,94.99625050620594
2046,94.86268225796094
2047,95.17106921622187
2048,94.92770176080086
2049,94.83906788439732
2050,94.69823735488063
2051,94.78129838589477
2052,94.55093206345782
2053,94.453498384717
2054,94.2938643165544
2055,94.05196271350991
2056,93.96645826611578
2057,93.59555528239102
2058,93.4612864427271
2059,93.59692068923208
2060,93.9354365301573
2061,93.98578585925947
2062,93.60839735689788
2063,93.83125571647537
2064,93.47444163818754
2065,93.3353339985195
2066,93.2162673989818
2067,93.12135643662782
2068,92.7534037174029
2069,92.7633764850894
2070,92.71456849200892
2071,92.45677916039219
2072,92.33803279358992
2073,92.50492603104477
2074,92.2882692056776
2075,92.06726597958824
2076,92.06286303454473
2077,91.96628330717667
2078,91.92459214760105
2079,91.95678638327891
2080,91.68920195424319
2081,91.2047055401202
2082,91.40189392863668
2083,91.27978558824245
2084,90.99207474731149
2085,90.657469052821
2086,90.70576072663637
2087,90.54151539637776
2088,90.58122953334096
2089,90.56626892766756
2090,90.2242168989418
2091,89.91558471715406
2092,90.04781496694363
2093,90.08164413357333
2094,89.59778697389058
2095,89.39003566924606
2096,89.35819061757952
2097,89.1341895024092
2098,88.98604156972895
2099,88.9804521723619
2100,88.76617199678728
