year,tas
1850,287.81695422864937
1851,287.9109084037885
1852,287.8905188155501
1853,287.6631894464362
1854,287.6327638390946
1855,287.7470300125749
1856,287.6135448717091
1857,287.7110478649401
1858,287.80927617321277
1859,287.6731631762361
1860,287.66547015464465
1861,287.7428507765678
1862,287.74115675834764
1863,287.81579573121786
1864,287.80772395721857
1865,287.7817085997699
1866,287.7238414189587
1867,287.73816536681295
1868,287.81632757317533
1869,287.85193055035313
1870,287.857774708369
1871,287.7625330258722
1872,287.9143191820955
1873,287.7946476348459
1874,287.6721228194563
1875,287.65595193105196
1876,287.7762303182524
1877,287.87990797905076
1878,287.86145705131634
1879,287.8991470963988
1880,287.9070555804527
1881,287.86283218174765
1882,287.7706357354988
1883,287.6376256655341
1884,287.438688429741
1885,287.50036771591397
1886,287.60392481137626
1887,287.6431690790881
1888,287.5835397380672
1889,287.48452006300835
1890,287.64725132772367
1891,287.55833213492616
1892,287.4955601522367
1893,287.39870195780713
1894,287.47307245959973
1895,287.6367330472763
1896,287.5532642939319
1897,287.68326792259734
1898,287.83852605950347
1899,287.83683003464785
1900,287.75552627354455
1901,287.7334208449272
1902,287.6654289350118
1903,287.5299359883348
1904,287.468840465807
1905,287.535000401327
1906,287.79395183406467
1907,287.5955411728114
1908,287.7305174109054
1909,287.67095278387205
1910,287.6447649393996
1911,287.59733343255033
1912,287.67655472428834
1913,287.61954061429793
1914,287.6031425580586
1915,287.466488187607
1916,287.4924777932363
1917,287.5288422048908
1918,287.6697562439801
1919,287.8072273149882
1920,287.6657675547143
1921,287.6170246281036
1922,287.68717057737587
1923,287.63988764514664
1924,287.65622775979233
1925,287.6752454783818
1926,287.6094648805383
1927,287.53239110659246
1928,287.5928087208369
1929,287.57861520427554
1930,287.64364281223243
1931,287.6360724462222
1932,287.5153448235499
1933,287.6184944884418
1934,287.76014964482556
1935,287.72390186884627
1936,287.78752449767234
1937,287.8627351107663
1938,287.8594594459011
1939,287.81238578900894
1940,287.9108081556346
1941,287.78758904444027
1942,287.6524547838184
1943,287.7704359080694
1944,287.77615063811004
1945,287.80388835750216
1946,287.7513167707887
1947,287.6172663440443
1948,287.645069195473
1949,287.79257126899614
1950,287.71156156357017
1951,287.6992960890679
1952,287.77964837061216
1953,287.7836880618579
1954,287.68589536065923
1955,287.7935650551156
1956,287.83325956161707
1957,287.7686436483305
1958,287.8002214823684
1959,287.6241782828553
1960,287.789232729559
1961,287.87592572773974
1962,287.73392258735555
1963,287.61902633039915
1964,287.46339178215965
1965,287.5266374143835
1966,287.7112929252729
1967,287.6018073931132
1968,287.64811953191884
1969,287.6860696034888
1970,287.52320121869644
1971,287.5844861174283
1972,287.5885366779484
1973,287.6953360779645
1974,287.5903504254066
1975,287.5611288828392
1976,287.65693242321277
1977,287.77357236261236
1978,287.77670948603384
1979,287.86139701947775
1980,287.82621150604666
1981,287.8317392009578
1982,287.722950472897
1983,287.73748812740797
1984,287.7989516166791
1985,287.6593876250802
1986,287.47506412871894
1987,287.5854789002301
1988,287.53890573161925
1989,287.68637636785644
1990,287.8792758053296
1991,287.7831087295323
1992,287.6527329536334
1993,287.76704820606807
1994,287.72460327148434
1995,287.81210569616866
1996,287.84287485619114
1997,287.8596703098245
1998,287.9895254474797
1999,288.1364586399026
2000,288.13806695807466
2001,288.23893800500315
2002,288.25924741144047
2003,288.20169109187714
2004,288.16735772955906
2005,288.21576220368684
2006,288.2461511899347
2007,288.26631043316564
2008,288.2161457218536
2009,288.25141827308966
2010,288.27945548279644
2011,288.38383111823094
2012,288.4570709646564
2013,288.3778072827483
2014,288.60689454797193
