year,tas
2015,288.67250792620933
2016,288.5505176282909
2017,288.66218964041093
2018,288.8367445018193
2019,288.813317787484
2020,288.7236916738014
2021,288.7059274333797
2022,288.83190658778364
2023,288.93080519584754
2024,288.8309140558112
2025,288.8072523979292
2026,288.9471589388913
2027,289.07331166724634
2028,289.1267619093804
2029,288.9502127869488
2030,289.0483648430811
2031,289.0734508775685
2032,289.0464624692315
2033,289.1913492281143
2034,289.5585923286333
2035,289.629400467546
2036,289.4595821014823
2037,289.49959825489617
2038,289.5779247545216
2039,289.5344549309717
2040,289.55334522822136
2041,289.7048633314159
2042,289.57435821115155
2043,289.5875134611782
2044,289.8506225585937
2045,290.02349443827586
2046,289.9215027691567
2047,289.89590888872533
2048,289.77692829288844
2049,289.96666385180333
2050,289.8564118685788
2051,289.9457176731058
2052,290.2049216074486
2053,290.2413493953339
2054,290.38744381421236
2055,290.3865591388859
2056,290.4420723693011
2057,290.4104287343483
2058,290.360536674604
2059,290.5596822660263
2060,290.61206355682793
2061,290.8013084098084
2062,291.00558588733406
2063,290.7521328860766
2064,290.9170002140411
2065,290.9422710261933
2066,290.837747986676
2067,290.8978841703232
2068,291.0204048888324
2069,290.8990960944189
2070,290.8804407407159
2071,291.12126305985123
2072,291.196765889207
2073,291.1845316011612
2074,291.35082656651326
2075,291.3976127729024
2076,291.47650480923585
2077,291.4783397935841
2078,291.50747948215434
2079,291.6385511424443
2080,291.70030350358513
2081,291.5886456215219
2082,291.67847791697886
2083,291.8590258454623
2084,291.8690244909835
2085,292.0047302246094
2086,292.155115916631
2087,292.25348652878847
2088,292.3076800620719
2089,292.395661487318
2090,292.3395986896672
2091,292.34746428189214
2092,292.6301181740957
2093,292.60889767163417
2094,292.5920480388485
2095,292.72099475599316
2096,292.7332161681293
2097,292.60920134243906
2098,292.87311953191886
2099,292.93059006782426
2100,292.88708730201205
