year,tas
1850,286.9378828492883
1851,287.01379988160846
1852,286.9815883688731
1853,286.99828499571913
1854,286.97766556413205
1855,287.1706259531517
1856,287.1370053644049
1857,287.0473660403735
1858,286.99597117802864
1859,287.01417980455375
1860,287.1286640324004
1861,287.10021872324484
1862,287.2264339081229
1863,287.1965653092894
1864,287.1629157079409
1865,287.37842933968324
1866,287.35753173828124
1867,287.2668772240208
1868,287.3668774748502
1869,287.4990458449272
1870,287.43748645521185
1871,287.4116382337597
1872,287.45397606418555
1873,287.55938444790775
1874,287.47954344030927
1875,287.6319932911494
1876,287.5723252387896
1877,287.62826956134955
1878,287.70867326292273
1879,287.6973493184128
1880,287.8295458649936
1881,287.89748443185465
1882,287.8702331542969
1883,287.8461245184075
1884,287.82312463211684
1885,287.69931456683435
1886,287.83122107100814
1887,287.90783632879385
1888,287.9389166008936
1889,287.84646731860016
1890,287.95161325115043
1891,288.0265940208957
1892,287.95730540654426
1893,288.0802469331924
1894,288.00600619381424
1895,288.1342610398384
1896,288.26627331041306
1897,288.19825782253315
1898,288.1589141427654
1899,288.40444427908284
1900,288.4069955486141
1901,288.23253240715974
1902,288.4021233545591
1903,288.4419365033711
1904,288.4421671828179
1905,288.4945746434878
1906,288.6049188483251
1907,288.53228876819344
1908,288.60374279283496
1909,288.51830486140835
1910,288.64646506113553
1911,288.68898599703016
1912,288.79176267859054
1913,288.8495949941139
1914,288.7789348445527
1915,288.8420969505833
1916,288.92306426583906
1917,289.0069134437875
1918,288.8259746394745
1919,289.056863110686
1920,289.0515757103489
1921,289.14837604679474
1922,289.10855219592787
1923,288.96741399895654
1924,289.09756561697344
1925,289.15342691499893
1926,289.24700802319666
1927,289.33184647233514
1928,289.2344102833369
1929,289.4509846726509
1930,289.39035468950664
1931,289.4156838613014
1932,289.5522328834011
1933,289.3880020768675
1934,289.5500433934878
1935,289.6633523183326
1936,289.50909365301266
1937,289.5521166657748
1938,289.6152047771297
1939,289.5721277524347
1940,289.48788234762947
1941,289.6158253290882
1942,289.79209251926375
1943,289.9016160102739
1944,290.00156935600387
1945,289.8481038132759
1946,289.7540946228863
1947,289.9007136096693
1948,290.0251164684557
1949,290.21345398785314
1950,290.13793059048584
1951,290.0685149728435
1952,290.14755215579515
1953,290.2777192416256
1954,290.15453323991335
1955,290.21840602927017
1956,290.51904539343434
1957,290.48652803603915
1958,290.3073192857716
1959,290.1887874237479
1960,290.3950525571222
1961,290.38237739458475
1962,290.5093184797731
1963,290.7198336666577
1964,290.6109986187661
1965,290.5706986100706
1966,290.4998457399133
1967,290.6670946095088
1968,290.76194391119964
1969,290.71065138725385
1970,291.02341918945314
1971,291.0288054165775
1972,290.9390611622431
1973,290.91230100866863
1974,290.8866761926102
1975,291.10814752448096
1976,291.2321844231592
1977,291.0736878277504
1978,291.1013421045591
1979,291.1469694790775
1980,291.0710513598299
1981,291.10072364284565
1982,291.13257262347497
1983,291.43801344780076
1984,291.63864854786493
1985,291.4023609736194
1986,291.4956959345569
1987,291.57369443292487
1988,291.5553581342305
1989,291.5617435821115
1990,291.5949659373662
1991,291.7383433720837
1992,291.70390783858625
1993,292.03097793370074
1994,291.90524559543553
1995,291.61903176503637
1996,291.7546179366438
1997,291.9823534821811
1998,292.10315242401543
1999,292.14465591221636
2000,292.14225664530716
