year,tas
1850,287.6602408166468
1851,287.6220961237582
1852,287.7270931592284
1853,287.8068169470358
1854,287.79620014221257
1855,287.7764354986973
1856,287.736130620666
1857,287.71403036499623
1858,288.06178316552774
1859,288.0089319401489
1860,287.8726355115808
1861,287.92873345123
1862,287.95128773602
1863,288.01799216248577
1864,288.0224730047966
1865,287.953399427289
1866,287.93918453417353
1867,287.9609878906734
1868,287.9470263358125
1869,287.83584318752446
1870,287.95390022340814
1871,287.9097202351068
1872,287.8767882926186
1873,288.01426715179844
1874,287.9449771359983
1875,288.074357514462
1876,288.0234398715002
1877,287.85026283653826
1878,287.9230893319918
1879,287.8201796221273
1880,287.97707442798065
1881,287.96851511421664
1882,287.9979996539446
1883,287.8722217619724
1884,287.4253461544357
1885,287.5194999879694
1886,287.51215061511874
1887,287.73363792541267
1888,287.7981627534323
1889,287.67083133084753
1890,287.6449145638127
1891,287.5708437062748
1892,287.5612323248616
1893,287.79275437105963
1894,287.7806542662215
1895,287.8368562017657
1896,287.8237241777245
1897,287.8120521951725
1898,287.8054883664524
1899,287.90001388817086
1900,287.80146018156404
1901,287.79380879310025
1902,287.65930318968606
1903,287.498747070354
1904,287.54834831777134
1905,287.5751611034347
1906,287.57793312408336
1907,287.5785799250374
1908,287.61702591950336
1909,287.6584927772358
1910,287.5604093170633
1911,287.6037677128651
1912,287.60874134826236
1913,287.656942226817
1914,287.6541725124906
1915,287.67900256455874
1916,287.6025988160171
1917,287.56928013210876
1918,287.6670311341869
1919,287.75759539114114
1920,287.79277978443315
1921,287.73596110161174
1922,287.7681828770761
1923,287.7466440849633
1924,287.96224246841405
1925,287.9496525227216
1926,287.953114207458
1927,287.929992274383
1928,287.9831029477327
1929,287.9024662278605
1930,287.9503955701577
1931,288.01775315551583
1932,288.11099959802044
1933,288.012217353062
1934,288.0168417564539
1935,288.13107337184084
1936,288.27769590418
1937,288.14242354158455
1938,288.1716514998998
1939,288.15126116276264
1940,287.99181736538407
1941,288.0725087049334
1942,288.05362280163143
1943,288.10454481326053
1944,288.10558590543144
1945,288.03074079429064
1946,288.1602384074346
1947,288.1396260659722
1948,288.2134538456861
1949,288.12066248802415
1950,288.14564637465367
1951,288.2405671666849
1952,288.1661321172798
1953,288.3305990408926
1954,288.25437705677405
1955,288.2060823873114
1956,288.27262889208055
1957,288.24042353004677
1958,288.27341446830553
1959,288.2824746117524
1960,288.1231775157987
1961,288.09875226054686
1962,288.0785879714955
1963,288.12228145909233
1964,287.8175463440034
1965,287.79955123408735
1966,287.9454481497366
1967,287.87731956446135
1968,287.9799375521503
1969,287.99523423302196
1970,287.95485233045275
1971,287.89581004765785
1972,287.8025358293971
1973,287.78219375896674
1974,287.9537667097459
1975,288.0106164807727
1976,288.00536775014746
1977,288.1119688731128
1978,288.0259101188187
1979,287.9913910994098
1980,288.18918488957854
1981,288.17444855385605
1982,288.2310737886404
1983,288.2090222013186
1984,288.2007541985178
1985,288.17192547265404
1986,288.2703205177046
1987,288.2515321880731
1988,288.3345817720547
1989,288.3321592310774
1990,288.49351329256325
1991,288.3401283282128
1992,288.1260011771132
1993,288.1768751824658
1994,288.3337092158841
1995,288.48585249644924
1996,288.5097416553124
1997,288.47378287486515
1998,288.483071221076
1999,288.5735606757683
2000,288.5889751607219
2001,288.6000399615023
2002,288.7011700253686
2003,288.6436761956994
2004,288.53647610395893
2005,288.66212771845767
2006,288.74542091316323
2007,288.6426429840469
2008,288.7355870087783
2009,288.6846751735819
2010,288.7653959466162
2011,288.8622824705952
2012,288.92466814655916
2013,288.7836157633727
2014,289.04806242839413
