year,tas
2015,288.83645835380486
2016,288.9063726294959
2017,288.9155124754492
2018,289.06377877880215
2019,289.0498029416415
2020,289.0299452219691
2021,288.91160419205954
2022,288.9943996934592
2023,289.0876446697084
2024,289.1767536435006
2025,289.19793630713343
2026,289.3038410588108
2027,289.2366371175523
2028,289.2137469747334
2029,289.28647122237487
2030,289.26845259518564
2031,289.38217755917134
2032,289.455289040997
2033,289.3591530723575
2034,289.3695317097143
2035,289.5415304921265
2036,289.5578594805883
2037,289.6197919300255
2038,289.67603365261573
2039,289.69133740804665
2040,289.76158233792177
2041,289.65635058704515
2042,289.9105101039209
2043,289.86396388190326
2044,289.89754169226194
2045,289.79371816217025
2046,289.95960308883633
2047,290.02340418865424
2048,290.0574262594464
2049,290.0249268459555
2050,289.9999791615029
2051,289.93058248190647
2052,290.05845040540294
2053,290.21711250448095
2054,290.2341943756552
2055,290.1502488870359
2056,290.2410826830539
2057,290.33923685222834
2058,290.35613294962457
2059,290.4323565337542
2060,290.4385153269525
2061,290.6403322286035
2062,290.5594873015491
2063,290.60413586754896
2064,290.54759812785136
2065,290.65956721280963
2066,290.5869951231867
2067,290.6929439505136
2068,290.7138997874552
2069,290.7276593830822
2070,290.77353199608524
2071,290.8218162295134
2072,290.87726870622424
2073,290.9696700514779
2074,290.91359252730956
2075,290.90828230645405
2076,291.01844345967555
2077,291.04982192288884
2078,291.0271323249582
2079,291.13185439058225
2080,291.14460872809997
2081,291.2544660367385
2082,291.30156897648465
2083,291.3722519700214
2084,291.48297500005935
2085,291.31575217000847
2086,291.494803721333
2087,291.4368442138591
2088,291.4343423955658
2089,291.36136437385204
2090,291.50390605045084
2091,291.4904406230661
2092,291.5748017300938
2093,291.6386690664221
2094,291.7780118727331
2095,291.85650017164824
2096,291.7966547350438
2097,291.8582819582499
2098,291.91472180770626
2099,292.00154194462317
2100,291.82759846718346
