year,tas
2015,288.98033758478834
2016,288.90468439419925
2017,288.897581779151
2018,289.0268060380105
2019,289.0696047113719
2020,289.03109258790425
2021,289.10697816387875
2022,289.21447957608035
2023,289.26070713539576
2024,289.19536275416715
2025,289.24402445272926
2026,289.2396737360283
2027,289.2969926265368
2028,289.30581565997295
2029,289.1350431687164
2030,289.2217269519274
2031,289.3985034512476
2032,289.36005068383525
2033,289.4398065563162
2034,289.40622045063753
2035,289.4440023959562
2036,289.46723990870976
2037,289.6116314728318
2038,289.53243303528836
2039,289.41955786854487
2040,289.62089849520066
2041,289.62417214057064
2042,289.66874129101075
2043,289.55596415349845
2044,289.6729783800481
2045,289.74280314160023
2046,289.69601678451176
2047,289.69945769885925
2048,289.7192669787854
2049,289.73113964490466
2050,289.89879360614606
2051,289.90099856910564
2052,289.8560808736849
2053,289.86404981023793
2054,289.9759180473945
2055,290.07811253895403
