year,tas
1850,287.21220546553604
1851,287.16304460574844
1852,287.3478263050161
1853,287.3244347503253
1854,287.08138859958467
1855,287.3329400163276
1856,287.20473797996493
1857,287.1323615207612
1858,287.35278009946506
1859,287.2570329208126
1860,287.2053045280185
1861,287.14450717098345
1862,287.08160191518573
1863,286.98075612902517
1864,286.9599590337248
1865,286.9591281253966
1866,287.1195788476691
1867,286.96782859356216
1868,286.9702461831214
1869,286.76052564018056
1870,286.821895518676
1871,286.93662156719006
1872,287.13305300020295
1873,287.11667242439864
1874,286.7037683063808
1875,286.89734762194234
1876,287.0215647002825
1877,287.1645706764198
1878,287.052183206104
1879,286.88589030361095
1880,286.9578985223519
1881,286.9757261382339
1882,287.0009097249404
1883,287.2016924513159
1884,286.5388173369555
1885,286.6484458228168
1886,287.1133377151043
1887,287.0438294726568
1888,286.70181213897337
1889,286.7513294481613
1890,286.7496718961514
1891,287.03038893161926
1892,287.1697248570061
1893,287.0999058650467
1894,287.2394021196491
1895,287.1689976842276
1896,287.12831967691227
1897,287.08004707103714
1898,287.16434160008936
1899,287.10261837062245
1900,287.1188663513243
1901,287.23594543038496
1902,287.2123335239529
1903,286.6154885314269
1904,286.7484848206773
1905,286.82261491935634
1906,286.9462534797276
1907,287.17979108612917
1908,287.08007401125917
1909,286.94264857166456
1910,286.958724191172
1911,287.03339079178073
1912,287.10058705955055
1913,287.022620081398
1914,287.08025166681824
1915,287.11435888581
1916,287.275599968508
1917,287.2465276132871
1918,287.0507472290832
1919,287.16746560151216
1920,287.3346102666025
1921,287.089231779458
1922,287.09215078882187
1923,287.16637140257734
1924,287.33955673670863
1925,287.291265069121
1926,287.30434122275415
1927,287.18078203866963
1928,287.2060700062396
1929,287.3474929518055
1930,287.2303339602222
1931,287.33443515116227
1932,287.4229431629695
1933,287.2552650889754
1934,287.0776402468135
1935,287.2167090747311
1936,287.26621380125977
1937,287.2889585376685
1938,287.28972047224676
1939,287.2834382220787
1940,287.0640958572861
1941,287.2688477583895
1942,287.3055669331172
1943,287.39186562508434
1944,287.4264010226549
1945,287.4600363083471
1946,287.51342778555545
1947,287.3166203072305
1948,287.2039328244037
1949,287.0786147238438
1950,287.0871887794324
1951,287.3328856426177
1952,287.21047014097707
1953,287.38459628491273
1954,287.5121720980516
1955,287.19014857862254
1956,287.32247722916526
1957,287.37344322468545
1958,287.4053034602911
1959,287.1006595822239
1960,287.30713993363673
1961,287.43481549783314
1962,287.21885247035067
1963,287.15121100703425
1964,287.1337811720597
1965,287.0190977524046
1966,287.1307696082098
1967,287.2879133065811
1968,287.3965399792586
1969,287.2795061694683
1970,287.501421480385
1971,287.44340648312016
1972,287.32422813868186
1973,287.21669967905933
1974,287.2469878974747
1975,287.1600981853616
1976,287.3214591390863
1977,287.55544502025873
1978,287.4505615768907
1979,287.4270370744646
1980,287.47473109334476
1981,287.4231293598793
1982,287.43452336201756
1983,287.4245787324396
1984,287.25928859155033
1985,287.18752473549466
1986,287.5395484001509
1987,287.5440323466252
1988,287.40677304211084
1989,287.58610211648136
1990,287.6917234154299
1991,287.5997599816779
1992,287.30239261101485
1993,287.2462369720316
1994,287.42769204704376
1995,287.47084623224606
1996,287.53652194588193
1997,287.64740202410746
1998,287.69465614068304
1999,287.56038078843204
2000,287.57599859401904
2001,287.56196262476277
2002,287.7185657182754
2003,287.7850331739575
2004,287.8015189791841
2005,287.8130800724132
2006,287.8290429999029
2007,287.7965111486548
2008,287.65886876689774
2009,287.66415653871877
2010,287.6486528823735
2011,287.7173483357289
2012,287.80777884467653
2013,287.90820386550143
2014,287.78198966248027
