year,tas
2015,287.72102481135624
2016,287.8269409654631
2017,287.9202032998766
2018,287.96272615620103
2019,287.9740404764022
2020,287.9339666547304
2021,287.98119113029463
2022,288.0469190943793
2023,288.1004249694238
2024,288.1786742353382
2025,287.98379210929306
2026,288.05273341496763
2027,288.259678612487
2028,288.0613767478085
2029,288.23512457699997
2030,288.3005261541074
2031,288.428176829936
2032,288.3079019626554
2033,288.29953830872375
2034,288.4051758425243
2035,288.44553994019094
2036,288.4453783103728
2037,288.56849864060683
2038,288.34532406839094
2039,288.16775494769087
2040,288.303587548657
2041,288.27958301918346
2042,288.263888913066
2043,288.4847372537192
2044,288.5243639971609
2045,288.46600301809633
2046,288.74388082711545
2047,288.7449503805168
2048,288.6056705144646
2049,288.88755569644167
2050,288.78286664775004
2051,288.6034346709683
2052,288.76376870813783
2053,289.00253567798563
2054,288.9259315011207
2055,288.7143233875443
2056,288.9244082395365
2057,288.882286817347
2058,288.9504705215687
2059,289.1694692437468
2060,289.09495205966573
2061,289.15394948845426
2062,289.17988668676014
2063,289.25555790977603
2064,289.0260750690173
2065,289.20010526288456
2066,289.08068728194854
2067,289.241959323177
2068,289.34940039597444
2069,289.5659410181338
2070,289.4739612725429
2071,289.5938264265595
2072,289.6540147421398
2073,289.466344552285
2074,289.3966993497494
2075,289.3335459349571
2076,289.62588635592994
2077,289.7266485522819
2078,289.5709526913384
2079,289.4993437676108
2080,289.5640078085072
2081,289.9216336928899
2082,289.92214674618447
2083,289.95170811797766
2084,290.1918569543552
2085,290.17427229980973
2086,290.1224635510398
2087,290.18856115845836
2088,290.1238387979984
2089,289.8937614214583
2090,290.08218827561774
2091,290.1645025573007
2092,290.24735134301585
2093,290.2811162851267
2094,290.35360747997163
2095,290.332725333256
2096,290.3659785949434
2097,290.4643360012932
2098,290.66217140625747
2099,290.23008810512516
