year,tas
1,288.4432432624071
2,289.1084021967869
3,289.43030722963476
4,289.98591462712443
5,290.11137238205976
6,290.0484713805043
7,290.07753452588037
8,290.6100829193059
9,290.80818116868124
10,290.7243099796178
11,290.8916526102339
12,291.06556450315094
13,290.916169684079
14,290.9604832469699
15,291.2190702366373
16,291.1791691219279
17,291.02112282457784
18,291.36177046354464
19,291.322020955068
20,291.22885237135256
21,291.57407205622445
22,291.61520761976885
23,291.52182626949815
24,291.5920471687437
25,291.542841103793
26,291.4985349975113
27,291.5770903131865
28,291.7970954508558
29,291.8092860160357
30,291.91232980855654
31,291.67255750886454
32,291.63638452289484
33,291.8803623265431
34,291.8306427598734
35,291.7821360810241
36,291.9307053572048
37,291.87876281612466
38,291.89633553372255
39,291.95159959482527
40,291.93262460500443
41,291.97933098276536
42,292.03313161053256
43,292.0249886621268
44,292.00165880190605
45,292.04236186976533
46,292.2004729004994
47,292.02001676168044
48,291.9017220759305
49,292.1093318980881
50,292.07115259992946
51,292.0997749179532
52,292.1024713508697
53,292.20724783334344
54,292.1022356777595
55,292.0961067536156
56,292.2478550937929
57,292.1100569677697
58,292.04990162415413
59,292.227970626852
60,292.3410312137675
61,292.3839734531099
62,292.4184478587209
63,292.25154969927564
64,292.29175548723106
65,292.2584417952041
66,292.35402420115275
67,292.36895989484077
68,292.3463186114846
69,292.4975041092068
70,292.3767522508273
71,292.3579132828014
72,292.4449501279134
73,292.4204135521607
74,292.58250126909155
75,292.4990189760304
76,292.5143473623232
77,292.52836542603785
78,292.4845790510011
79,292.40073512842264
80,292.5017885753948
81,292.6381266768742
82,292.50620171999253
83,292.4223151128684
84,292.67840536433226
85,292.64018647490576
86,292.62710431145763
87,292.61467801628476
88,292.59549585933104
89,292.59259606703324
90,292.6562337195884
91,292.6859589298082
92,292.46737174548747
93,292.7123031246382
94,292.75603355883436
95,292.68704305175805
96,292.5940191961935
97,292.5492929750718
98,292.58408845659307
99,292.6983972138842
100,292.7546038994797
101,292.7435221086384
102,292.6560715363336
103,292.7288923171792
104,292.70226548615886
105,292.6772085096354
106,292.83144521656584
107,292.77988538058133
108,292.7202668942648
109,292.7880214080152
110,292.752075477159
111,292.6832982566634
112,292.7961539459062
113,292.76238116723107
114,292.74857861909834
115,292.8491614046431
116,292.8735968250041
117,292.69650096730413
118,292.7397319657269
119,292.73830503942185
120,292.7660695701154
121,292.717548717157
122,292.7606517888273
123,292.85315540976114
124,292.7640355524398
125,292.81150387348197
126,292.8723333498234
127,292.84554011574374
128,292.81709586857676
129,292.9155384414563
130,292.9979244939992
131,292.9847743339976
132,293.04360461833784
133,292.85569065329275
134,292.8405932700068
135,292.88509324661925
136,292.9119096643846
137,292.8982508600889
138,292.9471164762882
139,292.8597489789837
140,292.831136910005
141,292.91174401451536
142,292.8635324608094
143,292.8495506779038
144,292.85903997529346
145,292.93825577727785
146,292.96738565866565
147,292.8982495991623
148,292.8356187739964
149,292.8397661659557
150,293.0427827577897
