year,tas
1850,287.3759696228863
1851,287.4564290085883
1852,287.24747590365473
1853,287.2097962261879
1854,287.02778780166415
1855,287.1463256835938
1856,287.3303356431935
1857,287.4778765116653
1858,287.3271387387628
1859,287.55841398892335
1860,287.47531194817526
1861,287.27667554045377
1862,287.11740312968215
1863,287.23164915319995
1864,287.1314128718964
1865,287.24125366210933
1866,287.3371957439266
1867,287.1751028400578
1868,287.21999687299336
1869,287.28262370906464
1870,287.3033727358465
1871,287.46297724475596
1872,287.38697091716614
1873,287.40408534219813
1874,287.36273904042696
1875,287.19771628183855
1876,287.20311078633347
1877,287.3055465071169
1878,287.27546854933644
1879,287.3973126137093
1880,287.5013055670751
1881,287.2706975231432
1882,287.2778854579141
1883,287.40493841301907
1884,287.229889166845
1885,287.19264802279537
1886,287.32166547383343
1887,287.2389774688302
1888,287.40494368043665
1889,287.5439840238388
1890,287.2848215599583
1891,287.2435517611569
1892,287.29435140531353
1893,287.4159143735285
1894,287.4094604492187
1895,287.52218494154005
1896,287.43567320941247
1897,287.3454151728382
1898,287.3499870404805
1899,287.5642608224529
1900,287.69479562419735
1901,287.332882983064
1902,287.5799735291363
1903,287.4955177620666
1904,287.3590327014662
1905,287.5545997097068
1906,287.3888077409301
1907,287.1475179593857
1908,287.3089933212489
1909,287.4706736943493
1910,287.2291716275149
1911,287.3736308894745
1912,287.4641578151755
1913,287.16269957659995
1914,287.1908111154217
1915,287.3484094071062
1916,287.3415147755244
1917,287.2251437252515
1918,287.4447921961954
1919,287.4770593930597
1920,287.28232020547944
1921,287.4766619120559
1922,287.54800381595135
1923,287.16499182296127
1924,287.20434327844066
1925,287.5392746180704
1926,287.6587050346479
1927,287.56542784808437
1928,287.5226866003585
1929,287.5316648718429
1930,287.4791867608894
1931,287.4306100505672
1932,287.4879642852365
1933,287.5619980903521
1934,287.5625662189641
1935,287.6114829703553
1936,287.6763433587061
1937,287.7239859803082
1938,287.46610157587753
1939,287.40225261531464
1940,287.61678098913734
1941,287.6871490896565
1942,287.40041286520767
1943,287.4836904029323
1944,287.6671439392926
1945,287.69771837208367
1946,287.4695259825824
1947,287.49679799537137
1948,287.6224805021939
1949,287.4166802393247
1950,287.4287508193761
1951,287.5013936081978
1952,287.6478136872592
1953,287.70582216863767
1954,287.50382556654006
1955,287.58099641146725
1956,287.5757178737693
1957,287.40350659514127
1958,287.4119405668076
1959,287.7345744929902
1960,287.69504361087326
1961,287.56298527129707
1962,287.5864625695633
1963,287.5276905634632
1964,287.53655462395653
1965,287.3516247893033
1966,287.33657076064856
1967,287.44276499290993
1968,287.4075310694028
1969,287.4769648303724
1970,287.41775654831974
1971,287.4026180737639
1972,287.4794291457085
1973,287.38806511865903
1974,287.1840690717305
1975,287.3143161721425
1976,287.3322488027076
1977,287.37882891093216
1978,287.53008289075876
1979,287.625151584573
1980,287.52416131006527
1981,287.51727738053836
1982,287.4121113816353
1983,287.29592143019585
1984,287.361551864833
1985,287.4611750354505
1986,287.6574479612585
1987,287.6373189011665
1988,287.64557988415027
1989,287.6987476087596
1990,287.65496257625216
1991,287.47679995184075
1992,287.43869637267227
1993,287.51288669533926
1994,287.6213908156304
1995,287.6744193299176
1996,287.8779283497431
1997,287.74929960067954
1998,287.78953606592466
1999,287.9326990414972
2000,287.84644859000434
2001,287.81823320780717
2002,287.9232742100545
2003,288.17020238588935
2004,288.0334567135327
2005,287.9568103529003
2006,288.0862173420109
2007,288.27938090285204
2008,288.1015573161922
2009,288.0507942931293
2010,288.1805585469285
2011,288.3151342104559
2012,288.24625779243365
2013,288.24940904591176
2014,288.2335218455693
