year,tas
1850,286.89416027330367
1851,286.7082212683273
1852,286.831227090914
1853,286.7718579436002
1854,286.75296020507807
1855,286.9117932463345
1856,286.999869234268
1857,286.9847437192316
1858,286.8025806165721
1859,286.9464495097121
1860,286.9328612445152
1861,286.75582843937286
1862,286.6763554821275
1863,286.7899870572025
1864,286.8598674617402
1865,286.9073929460081
1866,287.0829874953178
1867,287.08548374959867
1868,287.05601472201414
1869,286.8758356799818
1870,286.984352927012
1871,287.0349644491117
1872,286.86368592144686
1873,286.95301580559715
1874,287.01279079489507
1875,286.9275999304366
1876,286.89597059276
1877,286.969326991251
1878,287.19714756795804
1879,287.2940900410691
1880,287.05566841020976
1881,286.9828608264662
1882,287.1848063429741
1883,287.06183195767335
1884,286.83022561269263
1885,286.9332429232662
1886,286.9855059898063
1887,286.94454613254493
1888,286.81873896350595
1889,286.8143000354506
1890,286.88925129093536
1891,286.8961767745344
1892,286.8892333148277
1893,286.98088830399183
1894,286.977771748582
1895,286.9134416136023
1896,286.97255575101667
1897,287.1272599729773
1898,287.299895989405
1899,287.1860417614244
1900,287.1222912095997
1901,287.005692907882
1902,286.81693249010067
1903,286.96047446891055
1904,287.08335061269264
1905,287.07161723097715
1906,287.14558565322665
1907,286.9532004996522
1908,286.79707900791954
1909,286.96530736635805
1910,286.97153621307785
1911,287.0494931573737
1912,286.97944578405935
1913,286.9824463726723
1914,286.96867876444776
1915,286.9585769444296
1916,287.0598213091289
1917,287.1154594525899
1918,287.1165722990689
1919,287.0338890598245
1920,287.09992149039493
1921,287.2695479719606
1922,287.1793329108251
1923,287.22746464977524
1924,287.29387273919093
1925,287.08062250842784
1926,287.1275082940924
1927,287.2889485398384
1928,287.2301520360659
1929,287.07606619220894
1930,287.14256441299233
1931,287.25856958676684
1932,287.26050858171016
1933,287.10989170858306
1934,287.0117523611409
1935,287.35850370224205
1936,287.47620531892125
1937,287.23625530086144
1938,287.31698984642554
1939,287.2613237772903
1940,287.1294362525418
1941,287.2285107756314
1942,287.32137810694024
1943,287.2349101863495
1944,287.3134220489084
1945,287.0509283196436
1946,287.01232960322136
1947,286.9262710362264
1948,287.0229472121147
1949,287.359603003933
1950,287.2568141989512
1951,287.384119822881
1952,287.4802277865475
1953,287.3121056961686
1954,287.24705618244326
1955,287.33720569349316
1956,287.2960846365315
1957,287.1499311891321
1958,287.01886120103813
1959,286.8475162035798
1960,286.9502673005405
1961,287.1326165186216
1962,287.1992513578232
1963,287.2660788340111
1964,287.2636693667059
1965,287.018451094954
1966,287.0380636972924
1967,287.1096245752622
1968,287.1634216308594
1969,287.08876668851667
1970,287.07675179259417
1971,287.03465191566784
1972,287.2604328312286
1973,287.3924496167327
1974,287.1931665707941
1975,287.0815231532266
1976,287.24293355027294
1977,287.3556072078338
1978,287.4293311550192
1979,287.2554621448255
1980,287.213487180945
1981,287.49791201238764
1982,287.3232615013645
1983,287.12106833261987
1984,287.25090373836156
1985,287.2380826767177
1986,287.1874837796982
1987,287.30948335830476
1988,287.5599733117509
1989,287.52648089683214
1990,287.46661627782527
1991,287.3567121113816
1992,287.34316205586475
1993,287.39998846184716
1994,287.47288141119964
1995,287.46029989164174
1996,287.48712634779
1997,287.57745971679685
1998,287.56668592479133
1999,287.6517747016802
2000,287.8538687091984
2001,288.0537786614405
2002,288.03521954262095
2003,287.99891875802655
2004,287.91466632999783
2005,287.8315351930383
2006,287.8074023939159
2007,288.0047575650149
2008,288.0106829917594
2009,287.9260248889662
2010,287.9874477438731
2011,288.2011413574219
2012,288.22184414798267
2013,288.06675222736516
2014,288.1101436249197
