year,tas
2015,288.2809330352365
2016,288.371087813704
2017,288.30660417112585
2018,288.3151060339523
2019,288.2359114137414
2020,288.09570437914704
2021,288.2344668871736
2022,288.2814259986355
2023,288.3690955593162
2024,288.5503834345569
2025,288.38146479358414
2026,288.4253504086847
2027,288.4826394277076
2028,288.6586934128852
2029,288.55728124331114
2030,288.48315162136134
2031,288.6498337837115
2032,288.6319681245987
2033,288.3952441071811
2034,288.3133962134792
2035,288.4284598572613
2036,288.7369925721051
2037,288.8054274467573
2038,288.96318785784996
2039,289.0149780273438
2040,289.22511780621255
2041,289.2235038025739
2042,289.0788866016963
2043,289.04676513671876
2044,288.97072720462324
2045,289.13146061309396
2046,289.13627244087115
2047,288.9730028126338
2048,289.23343974074277
2049,289.45311864565497
2050,289.2910225646137
2051,289.4453527163153
2052,289.43816143715225
2053,289.2329111595676
2054,289.2777011819082
2055,289.69237160878635
2056,289.58922721131205
2057,289.62911234816465
2058,289.7432758488067
2059,289.81014262160204
2060,289.69275019397475
2061,289.8941708081389
2062,289.9981410196383
2063,289.9150866364779
2064,289.9764968663046
2065,289.9752301777879
2066,290.2456440128692
2067,290.1426367354719
2068,290.1053536193012
2069,290.3550582258669
2070,290.24290311630455
2071,290.2878779163099
2072,290.3441005759043
2073,290.47814096947235
2074,290.6213195800781
2075,290.6204235338185
2076,290.5308560306079
2077,290.6976244782748
2078,290.544971539223
2079,290.3599784119489
2080,290.5487152517658
2081,290.7837485953553
2082,290.8344071061644
2083,290.9348484823148
2084,290.95571865970135
2085,290.9129974783283
2086,290.95020935894684
2087,291.0891344880405
2088,291.24243515223674
2089,290.966552316326
2090,291.24463659835186
2091,291.3254202228703
2092,291.12840007625215
2093,291.29681003518294
2094,291.4488836419093
2095,291.5505577609964
2096,291.537192984803
2097,291.54532738254494
2098,291.7285091870451
2099,291.5243464221693
2100,291.79528992535313
