year,tas
1850,287.4186071887755
1851,287.3935657059442
1852,287.23013394828865
1853,287.2948629899431
1854,287.31160743691714
1855,287.38276750355453
1856,287.4200121395337
1857,287.47996385013226
1858,287.41287535688275
1859,287.52965230485563
1860,287.73035577977186
1861,287.47212961853734
1862,287.36373953704094
1863,287.4953971235975
1864,287.5110908676271
1865,287.57805079078014
1866,287.6179514387609
1867,287.4601113025962
1868,287.44817944081194
1869,287.416021258825
1870,287.4458449952263
1871,287.3819771771698
1872,287.4167585891149
1873,287.4569268239079
1874,287.3568724740228
1875,287.4642501305064
1876,287.5094096188139
1877,287.5043285315187
1878,287.3630743712109
1879,287.3783294446758
1880,287.4051442916926
1881,287.44928122736735
1882,287.4693617990505
1883,287.4630448062518
1884,287.0105903926092
1885,287.1537351529601
1886,287.2469019126034
1887,287.3763567622751
1888,287.53507524838074
1889,287.42524347924183
1890,287.27950348407853
1891,287.3239803429398
1892,287.42085368075794
1893,287.4394182503663
1894,287.5086287702422
1895,287.72732186584204
1896,287.522483256648
1897,287.4452196102663
1898,287.58816356217426
1899,287.52553738310155
1900,287.4113856817783
1901,287.37152991321136
1902,287.44951858081464
1903,287.43925574823066
1904,287.5311324524349
1905,287.3582256413336
1906,287.46285949990045
1907,287.5260132768928
1908,287.5695655610569
1909,287.5767920035178
1910,287.5768547084313
1911,287.62426890009897
1912,287.4981956865044
1913,287.5890273928298
1914,287.53435809531794
1915,287.57002776817524
1916,287.5063910519418
1917,287.5946782377834
1918,287.84129458297286
1919,287.7098144594733
1920,287.5758365070033
1921,287.7168230646777
1922,287.7920566580585
1923,287.7693198816623
1924,287.71535345314146
1925,287.71890862370185
1926,287.69969045782597
1927,287.6744052249047
1928,287.84788920310916
1929,287.71045800135545
1930,287.6318319990327
1931,287.70206755909885
1932,287.6608240665211
1933,287.7452696290946
1934,287.8403218995191
1935,287.83772171476534
1936,287.812396968289
1937,287.8774408479487
1938,288.03871647375144
1939,287.9178945008593
1940,287.7266641514459
1941,287.88007708911334
1942,287.93129124388565
1943,288.0169468790634
1944,287.8099988612461
1945,287.92202595270146
1946,287.94255321182567
1947,287.9087404151842
1948,287.9068010367845
1949,288.105961222166
1950,287.9606171896065
1951,287.9152173599934
1952,287.886227991248
1953,287.92699869122004
1954,287.99887054975875
1955,288.0456332827065
1956,288.0040556181071
1957,288.01492492892095
1958,287.96307905643374
1959,287.96894398236554
1960,288.11885609750504
1961,288.1923271284826
1962,287.86752132101975
1963,287.7812465101375
1964,287.8006972932628
1965,287.9230492533677
1966,287.87719305043197
1967,288.01049207251185
1968,288.0885264285577
1969,288.00364004885296
1970,288.0879922233877
1971,288.1355846050131
1972,288.15686129579825
1973,288.0374730257941
1974,287.92889930965157
1975,287.98723957520116
1976,288.0148824685479
1977,288.28337976400513
1978,288.07512397078847
1979,288.0638158812892
1980,288.1982776647249
1981,288.2652786224598
1982,288.09582909255073
1983,288.0022216628296
1984,288.17625519686635
1985,288.37195082114465
1986,288.129761354426
1987,288.2655785403515
1988,288.36087538004097
1989,288.36915179084764
1990,288.45069843838775
1991,288.5735312085658
1992,288.0625013093718
1993,288.0860186945687
1994,288.29941554893276
1995,288.4733354922495
1996,288.36826996468085
1997,288.4623618017754
1998,288.61078505538126
1999,288.5906124906395
2000,288.4832765852032
2001,288.55039838427086
2002,288.7682757046064
2003,288.6077279530553
2004,288.58604046066887
2005,288.77017958313854
2006,288.85582056133654
2007,288.6327802737186
2008,288.61389274969383
2009,288.6357647116921
2010,288.73224819671
2011,288.6746855958619
2012,288.7002825056752
2013,288.8165349399582
2014,288.87474604248325
