year,tas
1850,287.14092005899505
1851,287.06409076011346
1852,287.03629275805326
1853,287.14477380203874
1854,287.0928729331657
1855,287.0459585529484
1856,287.0708344760007
1857,287.14603154430654
1858,287.1473361916738
1859,287.1867707552976
1860,287.2871730020601
1861,287.2828694382759
1862,287.3513987083957
1863,287.29507270708467
1864,287.210905226616
1865,287.3698916918611
1866,287.44641364110663
1867,287.4928684182363
1868,287.5701319028253
1869,287.514113000321
1870,287.41338835415775
1871,287.27315096920483
1872,287.31722019143297
1873,287.5294689439747
1874,287.6202773838827
1875,287.5463903975813
1876,287.7917362578928
1877,287.8707646618151
1878,287.6225127755779
1879,287.54258615154106
1880,287.59328855749675
1881,287.5841790186216
1882,287.60210395708475
1883,287.886017347362
1884,287.92627713974207
1885,287.8465057791096
1886,287.8532840258454
1887,287.9770159159621
1888,288.0758992234321
1889,287.9283281718215
1890,287.6511654370451
1891,287.6985794694456
1892,287.85328227003964
1893,288.00376193947983
1894,288.05415574165244
1895,288.2264414330051
1896,288.4168339141428
1897,288.3704672617455
1898,288.2665284039223
1899,288.1759904417273
1900,288.25885344204835
1901,288.36000591957406
1902,288.25742756046657
1903,288.38497423145867
1904,288.42546186055216
1905,288.5155755029966
1906,288.77790560787673
1907,288.7819476401969
1908,288.5585184175674
1909,288.47721014153467
1910,288.7175256180436
1911,288.75498005070096
1912,288.7146875668878
1913,288.6383580037992
1914,288.8211132310841
1915,288.8530194844285
1916,289.0748490843054
1917,289.10418032293444
1918,288.76238946784036
1919,288.67195150296976
1920,288.7397567958048
1921,289.1742769424229
1922,289.1992615582192
1923,289.1297391708583
1924,289.18708303791203
1925,289.1292156898812
1926,289.16334579676794
1927,289.2668387635113
1928,289.35556423239507
1929,289.6079193533283
1930,289.4959409948898
1931,289.42189113669195
1932,289.46726818345996
1933,289.7020680884792
1934,289.7569571717145
1935,289.82996893059715
1936,289.7969666363442
1937,289.7129372792701
1938,289.70293202857454
1939,289.76500503331016
1940,289.8686195687071
1941,290.0695365174176
1942,290.2658846920483
1943,290.00218606191135
1944,289.956802828018
1945,290.12697059944884
1946,290.37078456094815
1947,290.4629069289116
1948,290.2673154229987
1949,290.21881429593856
1950,290.26026510996365
1951,290.5229655226616
1952,290.7743438302655
1953,290.76887474582617
1954,290.5840557777719
1955,290.5510127655447
1956,290.6196516481164
1957,290.7658306801156
1958,290.8092633809129
1959,290.7378203091556
1960,290.8852477191246
1961,290.91774149855524
1962,291.0367118939961
1963,291.15192770761985
1964,291.18864603957087
1965,291.16833345596103
1966,291.26368784447243
1967,291.28377225692964
1968,291.0208846418825
1969,290.9809158952269
1970,291.2737537958851
1971,291.60908052627354
1972,291.64822713773543
1973,291.3427933366331
1974,291.304298129147
1975,291.45414729706226
1976,291.6163381916203
1977,291.80732321543235
1978,291.88487991960073
1979,291.84743560372965
1980,291.73830683459977
1981,291.59328069817525
1982,291.8382131080105
1983,291.98291174483626
1984,292.12812499999995
1985,291.9890650919039
1986,291.9106896805436
1987,292.0522038707994
1988,292.28701497953233
1989,292.2485333168343
1990,292.22051642430966
1991,292.26900475907
1992,292.28812573576624
1993,292.3973819262361
1994,292.382422293049
1995,292.46503120317846
1996,292.5989695927868
1997,292.69180047022155
1998,292.40789610980306
1999,292.52780586138164
2000,292.74454763752135
2001,292.9066952222014
2002,292.76338584586364
2003,292.6800160865261
2004,292.94775056185784
2005,293.1475507344285
2006,292.8346189734053
2007,292.85737981926906
2008,293.1214153969124
2009,293.23738010354236
2010,293.2411533303457
2011,293.0317968081121
2012,293.0221123682309
2013,293.34572093388806
2014,293.51733557296126
