year,tas
1850,287.0252519999465
1851,287.1213745117187
1852,286.8253467298533
1853,286.85567075128426
1854,286.8825809008454
1855,286.96158798426796
1856,287.27564538407
1857,287.2408722341877
1858,287.01940048426803
1859,287.11429961740157
1860,287.04024223432145
1861,287.13053965111305
1862,287.2146122344552
1863,287.28433812807685
1864,287.21789157815175
1865,287.11698449539807
1866,287.15547050580585
1867,287.25927165828335
1868,287.3428205098191
1869,287.30845420523866
1870,287.5320704629976
1871,287.71363274561213
1872,287.5885256414544
1873,287.4582706817209
1874,287.4431936603703
1875,287.53215507611844
1876,287.5591636344178
1877,287.79716813596957
1878,287.728998806052
1879,287.45239525363877
1880,287.342105144344
1881,287.58327812299336
1882,287.6894782079409
1883,287.75812620398113
1884,287.7694122732502
1885,287.8084480181132
1886,287.87053515290563
1887,287.8988668363388
1888,287.9750567710562
1889,287.9350978067476
1890,287.89146619822884
1891,287.8432480903521
1892,288.1240396578018
1893,288.2160265778841
1894,287.9724899501017
1895,287.9636350030768
1896,288.15346780019263
1897,288.3525909005779
1898,288.5151495110498
1899,288.208761471265
1900,288.1548061423105
1901,288.2210409922143
1902,288.3292673607395
1903,288.4270786233144
1904,288.32270566339366
1905,288.0897850559182
1906,288.1007463011023
1907,288.26366267792173
1908,288.38373605388483
1909,288.38452039744755
1910,288.33440618645653
1911,288.48321215485873
1912,288.4629987324754
1913,288.5741442536654
1914,288.8841290199593
1915,288.7829658403789
1916,288.4610208589737
1917,288.3123092024294
1918,288.4690076018033
1919,288.7157397962596
1920,288.718092743338
1921,288.69358721171335
1922,288.82944687098666
1923,289.060450890946
1924,288.9771695907802
1925,288.9426219365368
1926,288.98053881501494
1927,288.9374495832887
1928,289.0075099997325
1929,289.2932458328874
1930,289.31921620826193
1931,288.9691085188356
1932,288.9739532052654
1933,289.18153920630886
1934,289.52526596278364
1935,289.7526346285049
1936,289.37423112425085
1937,289.27450084947554
1938,289.45559107114195
1939,289.55047415119327
1940,289.46067989819676
1941,289.60120949941137
1942,289.7198307403147
1943,289.7795137588292
1944,289.79823407734904
1945,289.98844872043554
1946,290.08930036988977
1947,289.86934371321166
1948,289.91867884805754
1949,290.183663396966
1950,290.18107617521935
1951,290.2082738588934
1952,290.3106342472442
1953,290.595480221265
1954,290.4680585469285
1955,290.20954372458266
1956,290.360774042835
1957,290.6560417279805
1958,290.72157091114616
1959,290.66457168370073
1960,290.5416580827269
1961,290.67226211338823
1962,290.8142066433005
1963,290.9832132417862
1964,290.94235246214146
1965,290.89802388230413
1966,291.08351958810465
1967,291.18660688008345
1968,290.83552304620616
1969,290.8921554774454
1970,291.2027086231807
1971,291.3953938523384
1972,291.4055079629976
1973,291.1569529076146
1974,291.2348305062072
1975,291.4682092954035
1976,291.68034358612476
1977,291.5538554152397
1978,291.67498227472174
1979,291.7331615709279
1980,291.52842967412244
1981,291.4501083583048
1982,291.73091706576406
1983,291.89073101723034
1984,291.913460843857
1985,291.79281591127994
1986,291.881074670243
1987,291.91377070178726
1988,292.17498386330806
1989,292.19779153066133
1990,291.9225511524776
1991,291.8541380999839
1992,292.03935563596957
1993,292.31430764394264
1994,292.35842427292914
1995,292.2900251832727
1996,292.36579949365904
1997,292.43867956710193
1998,292.292621434878
1999,292.35492988481917
2000,292.51969261691994
2001,292.68679567101884
2002,292.64471502434714
2003,292.4993621408123
2004,292.5615975993954
2005,292.8865838873876
2006,292.9744018554688
2007,292.83911818412884
2008,292.802266494542
2009,292.9243273591342
2010,292.9174375769211
2011,292.7208697593375
2012,292.8632089275203
2013,293.0884636865904
2014,293.15532912162877
