year,tas
1850,287.123713914009
1851,287.1008795751285
1852,286.81995924858194
1853,286.97786631126917
1854,287.1955644999465
1855,287.2167121782694
1856,286.95730164410315
1857,286.87541152745075
1858,286.8815423834814
1859,287.0871105455372
1860,287.24915094244966
1861,287.13277512641804
1862,286.92528954074805
1863,287.00686127127034
1864,287.1738903306935
1865,287.095556640625
1866,286.8314817663742
1867,286.7566013283925
1868,286.9576298125803
1869,287.18544880070095
1870,287.0181421567316
1871,286.8154696529858
1872,286.7959690877836
1873,286.8698419440282
1874,286.859289216342
1875,286.67760394370714
1876,286.6894461853863
1877,286.8198700369221
1878,286.87217816914597
1879,286.8212647320473
1880,286.7531923058915
1881,286.6320624364566
1882,286.6514777196596
1883,286.65661144517867
1884,286.49444128585185
1885,286.56748423119114
1886,286.5919685259257
1887,286.62486973592684
1888,286.6581223579302
1889,286.52550023745187
1890,286.67227440402934
1891,286.7675224408712
1892,286.9160876130404
1893,286.7894116545377
1894,286.6781503337703
1895,286.6666686175621
1896,286.72437543477093
1897,286.63112032119545
1898,286.826257658658
1899,287.03867680797833
1900,286.722157768354
1901,286.56729209586365
1902,286.6535290861783
1903,286.9380837636451
1904,286.7636089168182
1905,286.7580126618685
1906,286.8532157166363
1907,286.91100363535423
1908,286.9973300881581
1909,287.0282850291631
1910,286.98203308941567
1911,286.8981739619007
1912,286.78381197158603
1913,286.752823168611
1914,286.85831549657536
1915,286.95173799697665
1916,286.7268101522367
1917,286.58243943305865
1918,286.5108963639768
1919,286.5884421152611
1920,286.71867307898117
1921,286.89321230535637
1922,287.0287441305918
1923,286.7290832519531
1924,286.6915041570794
1925,286.7075273905715
1926,286.72225191299225
1927,286.70855595836895
1928,286.61871571998074
1929,286.76382095127883
1930,286.7851442101883
1931,286.7983491244382
1932,286.6354257243953
1933,286.6297798888324
1934,286.7292720428885
1935,286.8950130932952
1936,286.8762091649722
1937,286.96448765584864
1938,286.98351055824594
1939,286.8704945185413
1940,286.82896954262094
1941,286.81938125401325
1942,286.9003773310413
1943,286.84800824727097
1944,286.9011513905983
1945,286.78766370799445
1946,286.8007007337597
1947,286.82436699018086
1948,286.7479327476188
1949,286.80294097482346
1950,286.8885306580426
1951,286.8156940616973
1952,286.8903037711365
1953,286.8057276895601
1954,286.799664975519
1955,286.8224947158604
1956,286.81433565322664
1957,286.7809369648973
1958,286.68644634926153
1959,286.79060426476883
1960,286.8955508715486
1961,286.77580549684285
1962,286.58875874558544
1963,286.5863942603542
1964,286.63457792099206
1965,286.7579559744221
1966,286.8768532112853
1967,286.98496704101564
1968,286.605437730763
1969,286.7503847723138
1970,286.9682886411066
1971,286.8424140825663
1972,286.5643848994007
1973,286.5389173533818
1974,286.75773700034784
1975,286.8588357167701
1976,286.75796349930437
1977,286.689154219954
1978,286.76099502354447
1979,286.70836315416307
1980,286.8216148062928
1981,286.8398591342038
1982,286.6024154036012
1983,286.6826479559075
1984,286.7834844719874
1985,287.0972323482984
1986,286.99742807884735
1987,286.7112124926423
1988,286.69153693212223
1989,286.7174350686269
1990,286.7627340238388
1991,286.8426053817958
1992,286.9375300995291
1993,286.7457802968482
1994,286.7598141186858
1995,286.8609627501605
1996,287.1174833950931
1997,287.1360706068065
1998,286.7508166169467
1999,286.71979453726993
2000,286.9719321054955
2001,286.95112814707295
2002,287.00741451733734
2003,286.9883097609428
2004,286.7047654243365
2005,286.75529751712327
2006,286.81242483478707
2007,286.8789922008776
2008,286.8218454857395
2009,286.9559940703927
2010,286.9845652959118
2011,287.23956624906356
2012,287.0483268842305
2013,286.7240061302707
2014,286.773896935868
2015,286.9678496060306
2016,286.9854136009739
2017,287.0850974723084
2018,287.11310190697236
2019,287.0170909306774
2020,286.7512972897046
2021,286.5924674256207
2022,286.6542131815871
2023,286.8779722448897
2024,287.04455925928403
2025,286.97209154939
2026,286.75891188530073
2027,286.9427489398277
2028,287.09529995852955
2029,287.002456288795
2030,286.70747036868573
2031,286.55246824499676
2032,286.66474425433427
2033,286.6036480629281
2034,286.6597032520869
2035,286.78099239819676
2036,286.87183169012195
2037,286.84868531945637
2038,286.84055443332625
2039,286.96917724609375
2040,286.8197085863924
2041,286.57003106940283
2042,286.7017119943279
2043,286.70163917018937
2044,286.87076499625425
2045,286.9195761484642
2046,286.8566045055651
2047,286.78667192851026
2048,286.8944177078874
2049,287.020133742241
2050,286.7725449653521
2051,286.7045572359268
2052,286.6676336419093
2053,286.8288851803296
2054,286.89173784647903
2055,286.82119006849314
2056,286.80293671072354
2057,286.8132759825824
2058,287.0679137347496
2059,287.1049628270816
2060,286.87828578165136
2061,286.732443947988
2062,286.6487760360927
2063,286.88660269959337
2064,287.118859110793
2065,287.22401273544517
2066,287.08441128665453
2067,286.969203917621
2068,286.9658893741974
2069,286.95892534647896
2070,287.01487267899194
2071,287.23089733385063
2072,287.4185653895548
2073,287.2229667768087
2074,287.00877635381
2075,286.9312391307256
2076,286.99538707994435
2077,286.93391372471643
2078,287.09856910183004
2079,287.2820875193974
2080,287.3429739338078
2081,286.97595975692957
2082,286.912662621067
2083,287.1779952375856
2084,287.0925308854612
2085,286.9085672456924
2086,286.8094696462971
2087,286.9088490943386
2088,287.0200647641534
2089,287.1485911748181
2090,287.1384555764394
2091,287.1240241063784
2092,286.9390796400096
2093,286.7887551503639
2094,287.00183356298163
2095,287.00509543222927
2096,286.7163406999144
2097,286.62285992348035
2098,286.73638974542484
2099,286.82892757049973
2100,286.9652077870826
2101,287.10477370170696
2102,286.8425282935574
2103,286.70267166764773
2104,286.78430710883987
2105,286.9120347950556
2106,286.9633556627247
2107,286.72634879334333
2108,286.7154549376606
2109,286.8762120077055
2110,286.9017726114351
2111,286.7844023404056
2112,286.76471967305224
2113,286.7135449553189
2114,286.7011360063945
2115,286.46541455412563
2116,286.61771382371035
2117,286.7440172169306
2118,286.7575962014394
2119,286.66253035035857
2120,286.59419773049547
2121,286.68627428028685
2122,286.88441713934077
2123,286.86471440563463
2124,286.6393657527558
2125,286.4941605241331
2126,286.5491891521297
2127,286.6769609007116
2128,286.9212701666845
2129,286.9235216950717
2130,286.49732356659354
2131,286.5617044527237
2132,286.7266517952697
2133,287.01069779069456
2134,286.96393139982877
2135,286.7775081268728
2136,286.81831029604564
2137,286.96164199620074
2138,287.0998347870291
2139,286.972254588506
2140,287.05881891119964
2141,287.05149611381637
2142,287.1341069469714
2143,286.90259850907
2144,286.80995408149613
2145,286.954915503933
2146,287.13658923841496
2147,287.0792468763377
2148,287.14586415748073
2149,287.22783420510484
2150,287.0968322753906
2151,287.0495276046126
2152,287.03625739110663
2153,287.07161547517126
2154,287.0733876685573
2155,287.1134768969392
2156,287.02658674684284
2157,286.84641364110655
2158,286.97570399454196
2159,287.05037950489617
2160,287.32360798038843
2161,287.2677273684985
2162,286.8188873709065
2163,286.67667554045374
2164,286.77654561081977
2165,286.85254692182144
2166,286.9544749638805
2167,286.998540674497
2168,287.081427921661
2169,286.96120187419734
2170,286.91964345435576
2171,286.9448776454142
2172,286.78961599689643
2173,286.7204228649401
2174,286.68831009538206
2175,286.8707000314373
2176,286.72181179098885
2177,286.6896293744649
2178,286.6008501444777
2179,286.8103458770334
2180,286.6988019551316
2181,286.545131651996
2182,286.6316952222015
2183,286.7771970984054
2184,286.8208938389608
2185,286.5273061255886
2186,286.2876338592948
2187,286.2826845770013
2188,286.6307969184771
2189,286.74210848873605
2190,286.7090881347656
2191,286.5015639213666
2192,286.3134738033765
2193,286.4305276113014
2194,286.5680536975599
2195,286.5014700275578
2196,286.6045199459546
2197,286.8204359916792
2198,286.89480707874037
2199,286.63750267551364
2200,286.5468722408765
2201,286.6458329710242
2202,286.73841193212223
2203,287.0312178938357
2204,286.92542013926044
2205,286.51380255712223
2206,286.46050640785535
2207,286.6707318031624
2208,286.6955432630565
2209,286.85301781223245
2210,286.94759947894363
2211,287.1452158470676
2212,287.060307416524
2213,287.1406243311216
2214,287.36116700890943
2215,287.1617232649294
2216,287.1325877568493
2217,287.40654923948523
2218,287.3356003016641
2219,286.9764541416952
2220,286.91523872270966
2221,287.0989180055383
2222,287.2870995090433
2223,287.39514277209975
2224,287.19655895494435
2225,286.94167998849525
2226,286.9932848786654
2227,287.1025353836687
2228,287.2241919112532
2229,287.3903918122592
2230,287.137109375
2231,286.91279146377354
2232,286.92151648116436
2233,287.0853095067691
2234,287.07681617214257
2235,287.2296044754655
2236,287.2361833964309
2237,287.0476484742883
2238,286.9350123575289
2239,286.99299918396827
2240,287.03898808727524
2241,287.08806093816884
2242,287.0326456984428
2243,286.6967606217894
2244,286.683772507759
2245,286.73990068827584
2246,286.7025817034996
2247,286.6938658831871
2248,286.9881811690657
2249,287.034408527531
2250,286.6566748214094
2251,286.55453750401324
2252,286.7468392986141
2253,286.67510743859697
2254,286.6573767257063
2255,286.8063753310948
2256,286.98141078165133
2257,286.74282418865045
2258,286.61224172931827
2259,286.7561903026006
2260,286.803320730549
2261,286.95909340218327
2262,287.1057313683915
2263,286.88031724903686
2264,286.62409785022476
2265,286.66707011183644
2266,286.8320172035531
2267,286.72752342746685
2268,286.6401548620773
2269,286.6240338051156
2270,286.5936423941835
2271,286.6190554266106
2272,286.8136727947079
2273,287.0529706563035
2274,287.134037885274
2275,286.92984878331015
2276,286.7123476629388
2277,286.7944265705265
2278,286.74202111649186
2279,286.88287905340326
2280,287.05127170510485
2281,287.0469788433754
2282,287.2632220542595
2283,287.1370034413795
2284,287.03516544707827
2285,287.1036049202697
2286,287.1388582412511
2287,287.1682165694563
2288,287.4671844900471
2289,287.4956677580533
2290,287.06204867428295
2291,286.958154296875
2292,287.07068581777077
2293,287.1866006093482
2294,287.2415289891909
2295,287.4265898404056
2296,287.367112752836
2297,287.00229550714363
2298,286.9763763009685
2299,287.00983803108943
2300,287.1824562386291
2301,287.311817242348
2302,287.369628488201
2303,287.13117667420266
2304,287.0181026929045
2305,287.0427933366331
2306,287.1561363742776
2307,287.0613657494114
2308,286.9632953800567
2309,286.7335554567102
2310,286.7916246388056
2311,286.7858653447399
2312,286.72587715044415
2313,286.884110876632
2314,286.724088402317
2315,286.52032830225284
2316,286.69728259779
2317,286.8447601736408
2318,286.8371221672999
2319,286.63985854893514
2320,286.498122876311
2321,286.67769783751606
2322,286.92359911774935
2323,286.97827415988866
2324,286.48299067249036
2325,286.43499597000755
2326,286.4887394317209
2327,286.53712400671554
2328,286.65177503611943
2329,286.7520843923908
2330,286.6086960883989
2331,286.64730676102306
2332,286.82545834894046
2333,286.6840334539544
2334,286.54365644063034
2335,286.65163432082085
2336,286.6861916738014
2337,286.80367665748076
2338,286.73606007197134
2339,286.54361053884844
2340,286.7249491652397
2341,286.8492780293504
2342,286.63603942034996
2343,286.4677575516374
2344,286.55697974636126
2345,286.64196350933753
2346,286.7899292828286
2347,286.7557599629441
2348,286.4529464094606
2349,286.6029756728917
