year,tas
2015,288.0290503096907
2016,288.1735051403307
2017,288.2700515538046
2018,288.5143577262147
2019,288.5261278126337
2020,288.0280158055972
2021,288.00751643768734
2022,288.22195534902073
2023,288.3271668316567
2024,288.377283467332
2025,288.32908492414913
2026,288.41110145882385
2027,288.63499329449377
2028,288.77270256983087
2029,288.65113801302977
2030,288.58382927881524
2031,288.7602417828286
2032,288.92127969820206
2033,288.73962661534136
2034,288.65509610110763
2035,288.89285805062076
2036,289.04320661988976
2037,289.0511436148865
2038,289.06697145226883
2039,289.2017284654591
2040,289.2865730181132
2041,289.015910360258
2042,288.9109318981432
2043,289.15520044614186
2044,289.5019409179688
2045,289.60392113254494
2046,289.4768795483733
2047,289.44923856552333
2048,289.54410174644164
2049,289.8025414035745
2050,290.0289248113762
2051,290.0704427640732
2052,289.83062000013376
2053,289.8396810453232
2054,289.9120708308808
2055,289.99692424617405
2056,290.10515538045803
2057,290.37473286667915
2058,290.547413781571
2059,290.3810004247378
2060,290.3017890825663
2061,290.53795709479346
2062,290.7953584017819
2063,290.6443447165293
2064,290.67041458756955
2065,290.99370978368466
2066,290.96205828941027
2067,290.6641833997753
2068,290.7870128892872
2069,291.07212616384845
2070,291.3721899581282
2071,291.40011479625963
2072,291.11679486836476
2073,291.2190868638966
2074,291.5737207700128
2075,291.5804369782748
2076,291.5186356217894
2077,291.2838184095408
2078,291.3363269544627
2079,291.6319098485659
2080,291.8330255377782
2081,291.7369656497485
2082,291.81074937794307
2083,291.7685790179527
2084,291.79556650658174
2085,292.02038507330906
2086,292.2166021477686
2087,292.21965733358303
2088,292.1208880698844
2089,292.10971596077695
2090,292.20932098806725
2091,292.49348687994967
2092,292.48094030928934
2093,292.33137850826733
2094,292.44269258682044
2095,292.7181162376926
2096,292.87612421741215
2097,292.6405883789063
2098,292.6421794734589
2099,292.86611787978916
2100,292.8583787891963
