year,tas
1850,285.58801336419094
1851,285.4942869421553
1852,285.52375655500856
1853,285.5917403547731
1854,285.4846083549604
1855,285.6833513651809
1856,285.7649628103596
1857,285.69680627274187
1858,285.67387419400154
1859,285.79890880845994
1860,285.82746097094395
1861,285.75829459412466
1862,285.7921949412725
1863,285.7913326733733
1864,285.7659102766481
1865,285.9477406122913
1866,286.0097576820687
1867,285.9500684764287
1868,286.0235771283712
1869,286.10342106231275
1870,286.1240309623823
1871,286.1039787396993
1872,286.28129498207403
1873,286.23191193881104
1874,286.3318930429955
1875,286.1994325402665
1876,286.25020208489406
1877,286.3046258795751
1878,286.3707103990529
1879,286.4604651046126
1880,286.56340992548695
1881,286.62845534233196
1882,286.5589721679687
1883,286.5430147353917
1884,286.6283837723405
1885,286.7358193593482
1886,286.63435685667275
1887,286.8268200181935
1888,286.93257680396516
1889,287.05579833984376
1890,287.0542008073362
1891,287.0514492087168
1892,287.0796749585296
1893,287.11094067717255
1894,287.06919054005243
1895,287.1592400537778
1896,287.1018574753853
1897,287.1984317309236
1898,287.2539068352686
1899,287.2093595321864
1900,287.2467826947774
1901,287.25826265517975
1902,287.2573782306828
1903,287.3817967245024
1904,287.3133996414811
1905,287.50036662898646
1906,287.55221800085616
1907,287.6442355221265
1908,287.6121099602686
1909,287.7030532627889
1910,287.71669788099314
1911,287.83924920069023
1912,287.84149671580695
1913,287.876654638003
1914,287.91348442182147
1915,287.9118782775043
1916,287.8956140805597
1917,288.12068782440605
1918,288.09394823884315
1919,288.0929710910745
1920,288.0582480234642
1921,288.18336206723563
1922,288.2638303155768
1923,288.311838061189
1924,288.3082051316353
1925,288.2164690409621
1926,288.44477513979564
1927,288.5049984448577
1928,288.4899348010756
1929,288.5526062847817
1930,288.4272726816674
1931,288.565001270869
1932,288.72425821382706
1933,288.57390170162677
1934,288.7198079984482
1935,288.7538385260595
1936,288.962054610579
1937,289.02701382571706
1938,288.9496452436055
1939,289.00250260862583
1940,289.09457364017015
1941,289.1678851401969
1942,289.19855204543023
1943,289.3001006662029
1944,289.19884635193705
1945,289.3539766494541
1946,289.432910992348
1947,289.41709962609696
1948,289.43928448402716
1949,289.5484284701413
1950,289.5836392337328
1951,289.5646428356432
1952,289.74375777571163
1953,289.63201302306294
1954,289.71875710683327
1955,289.73911065924653
1956,289.7909089388912
1957,289.9392244521885
1958,289.94374807697454
1959,289.9019053001926
1960,289.9897548727793
1961,290.1022378163795
1962,290.1186984127515
1963,290.14182781062715
1964,290.2330365742722
1965,290.20370692422944
1966,290.4931640625
1967,290.4046955265411
1968,290.4228233859963
1969,290.47815961445843
1970,290.441331084787
1971,290.4034480682791
1972,290.61520168356697
1973,290.627680446677
1974,290.6675374070259
1975,290.69184503424657
1976,290.7836428289544
1977,290.7616231003853
1978,290.902400186617
1979,290.7338978388538
1980,290.99407741598884
1981,291.1511754702215
1982,291.1148121454944
1983,291.18728069148654
1984,291.1423826452804
1985,291.2487614043772
1986,291.2156128765785
1987,291.20571439560143
1988,291.3365594733251
1989,291.3662224756528
1990,291.49637526420696
1991,291.5528758427868
1992,291.75728258106807
1993,291.7690628678831
1994,291.85639840740043
1995,291.71149417406895
1996,291.8923059750909
1997,291.98912161213076
1998,291.98674207713503
1999,291.98461888979557
