year,tas
1850,287.43279017618255
1851,288.1144114873181
1852,288.7122937346158
1853,289.15331621561967
1854,289.48597136197026
1855,289.6922680162404
1856,289.71867709225177
1857,289.95101627715644
1858,290.1226871020173
1859,290.087240558781
1860,290.28851042447025
1861,290.4422038039116
1862,290.5364943412885
1863,290.6176089770173
1864,290.3534317643675
1865,290.5838911500695
1866,291.0098213927387
1867,290.7502402109642
1868,290.8339260153574
1869,291.0518112391642
1870,291.1277998414758
1871,291.13704992843003
1872,291.1693319242294
1873,291.37124207379065
1874,291.4365091402237
1875,291.32739090592895
1876,291.2134790707941
1877,291.345237334787
1878,291.4959045410156
1879,291.4742832131582
1880,291.49813449807357
1881,291.295231398491
1882,291.5294109187714
1883,291.61442586820414
1884,291.4628772474315
1885,291.80877852766474
1886,291.5875637106699
1887,291.76788781571065
1888,291.81551313008345
1889,291.7173860732823
1890,291.8309020996094
1891,291.7842539330051
1892,291.87265390892554
1893,291.8152727518996
1894,291.75568003197236
1895,291.8421152611302
1896,291.816169299818
1897,291.9114491083851
1898,291.96589255136985
1899,291.8707199305704
1900,292.0289254802547
1901,292.05119871374677
1902,292.1831399159888
1903,292.1426343943975
1904,291.83928866451737
1905,292.157671951921
1906,291.9919702817316
1907,292.0915635200396
1908,291.9705547175995
1909,292.1337278601241
1910,292.17926752795915
1911,292.0062414718001
1912,292.1447988013698
1913,292.10023034500745
1914,292.2773902370505
1915,292.24167371776
1916,292.2487451004655
1917,292.2411894497806
1918,292.2242819590112
1919,292.2690396243579
1920,292.33441061777614
1921,292.23522899052864
1922,292.3359836526113
1923,292.427831613201
1924,292.3218638798961
1925,292.356733599101
1926,292.28380260728807
1927,292.34349950502997
1928,292.25088500976557
1929,292.4438643782106
1930,292.43454497872966
1931,292.34627668824913
1932,292.401460161601
1933,292.4806728415293
1934,292.2419023905715
1935,292.48238266200235
1936,292.48106212877246
1937,292.61065991545377
1938,292.45297767952695
1939,292.53335604732985
1940,292.4584775323737
1941,292.5010708743578
1942,292.4147021986034
1943,292.50854483826515
1944,292.42177935038524
1945,292.19742281142976
1946,292.5525646470997
1947,292.4470033410477
1948,292.40466007598457
1949,292.34915838372217
1950,292.51505394504494
1951,292.4093983271351
1952,292.42804322961257
1953,292.4835184175674
1954,292.5881529089522
1955,292.5496338726723
1956,292.666269547972
1957,292.64344273397364
1958,292.7338545289758
1959,292.4676690088559
1960,292.6499110391695
1961,292.60388008013166
1962,292.63685352900256
1963,292.62665179526965
1964,292.5125088626391
1965,292.69552955104876
1966,292.6815844392123
1967,292.76927607288104
1968,292.698670186082
1969,292.6933942402879
1970,292.58702225358525
1971,292.6677752769157
1972,292.6790844224904
1973,292.7533032561002
1974,292.6939205639983
1975,292.79560714094606
1976,292.7291552399936
1977,292.50591029337005
1978,292.7489288748127
1979,292.8605503030019
1980,292.7317122786012
1981,292.7611433473352
1982,292.923351298293
1983,292.90596798413424
1984,292.8233875013378
1985,292.9293739632384
1986,292.8705497010114
1987,292.8499862043825
1988,292.67395170028897
1989,292.77475686269264
1990,292.6372478328339
1991,292.63006039972174
1992,292.80227644410854
1993,292.64459964281895
1994,292.66901429058754
1995,292.7595173038849
1996,292.7216597883668
1997,292.730680617241
1998,292.91596604438683
1999,292.89626197292375
