year,tas
2015,287.13810023741667
2016,287.2172421148632
2017,286.94634266943325
2018,287.0056459766467
2019,287.13417552763974
2020,287.21143467102405
2021,287.2865388448545
2022,287.35968886421904
2023,287.34616772164145
2024,287.52096176497326
2025,287.5784634109579
2026,287.66200098085716
2027,287.61854410170224
2028,287.48805228128634
2029,287.5004241713252
2030,287.5214266214423
2031,287.62835766436916
2032,287.9050409394421
2033,287.8090808784854
2034,287.7842937750847
2035,287.7822229530697
2036,287.85573915276655
2037,287.82024989960075
2038,287.8713939906434
2039,287.9637170626079
2040,288.08334970304986
2041,287.78399161331953
2042,287.9997839097232
2043,288.21099655322456
2044,287.9903238970327
2045,288.1614767474633
2046,288.3351527077168
2047,288.338893207752
2048,288.49288524251597
2049,288.535511673799
2050,288.5144002787791
2051,288.5266989245742
2052,288.84983878476817
2053,288.61894166350197
2054,288.7569581478591
2055,289.00390833472653
2056,288.8317736996939
2057,288.73177299775375
2058,288.9553915343674
2059,289.26415246180034
2060,289.2034527115728
2061,289.2051771750621
2062,289.3858389760576
2063,289.23487439536285
2064,289.43809307030125
2065,289.44498426534847
2066,289.6969240353105
2067,289.7791323191006
2068,289.7907877191816
2069,289.71513598825715
2070,289.87150786095293
2071,289.8212398985221
2072,290.099789476605
2073,290.2426053875504
2074,290.1519326590603
2075,290.2802862144968
2076,290.3082810629562
2077,290.4926441761782
2078,290.5945067347766
2079,290.6272878199932
2080,290.5953540483381
2081,290.71671456155025
2082,290.76310334037476
2083,291.01865926172684
2084,291.0315168705605
2085,291.2136180250115
2086,291.3111751524306
2087,291.2084952237113
2088,291.3164994101393
2089,291.5577834588343
2090,291.35170285116266
2091,291.6264582935977
2092,291.66015944833305
2093,291.77411170078153
2094,291.98254808977015
2095,292.1253957854065
2096,292.1673733824995
2097,292.36308213647266
2098,292.4132786512272
2099,292.52336551072983
2100,292.3422176200218
