year,tas
1850,287.77473052560464
1851,288.3091225820045
1852,288.820935811082
1853,289.40664087582945
1854,289.58210942516587
1855,289.67393974408714
1856,290.0370583730201
1857,290.266068717225
1858,290.30369822880994
1859,290.5429541182845
1860,290.6957780393836
1861,290.83499396337226
1862,290.9914942911226
1863,291.0869881407855
1864,291.2956088131421
1865,291.23636223779965
1866,291.31201405982455
1867,291.2360377481539
1868,291.3956749484963
1869,291.4619280253371
1870,291.60687824406034
1871,291.5721338559503
1872,291.6407585248555
1873,291.6214142263752
1874,291.77041534005775
1875,291.7482051483573
1876,291.816606662698
1877,291.739867077135
1878,291.8170630050032
1879,291.94522604746356
1880,292.0290330024615
1881,291.68119724221424
1882,291.9083870665668
1883,291.95994689105305
1884,292.0869284433861
1885,292.0918794814855
1886,292.0294745458315
1887,292.037830760381
1888,292.00232393447664
1889,291.990923068948
1890,291.9451134250588
1891,292.0132250642123
1892,291.87224789972174
1893,292.059679841342
1894,291.96604146042915
1895,292.15715524333797
1896,291.90450280594496
1897,292.0139611649186
1898,292.02302296259626
1899,291.93511352539065
1900,291.8247258434557
1901,292.0186238328072
1902,292.0937375421393
1903,292.2530112906678
1904,292.2068977251445
1905,292.21389678537025
1906,292.128456596479
1907,292.34170114177545
1908,292.25922885006423
1909,292.268136471265
1910,292.37799406704835
1911,292.4781759183701
1912,292.2628523317101
1913,292.2664777363816
1914,292.38051490261125
1915,292.34826768848995
1916,292.4530177286226
1917,292.3679461753532
1918,292.5051796273009
1919,292.6175665032374
1920,292.4249339482556
1921,292.376286085991
1922,292.5830386645173
1923,292.56468271751925
1924,292.2779109589041
1925,292.5811793497164
1926,292.5523297871629
1927,292.60733525524404
1928,292.64322334185033
1929,292.57798252889563
1930,292.689729957058
1931,292.59276056159035
1932,292.7012887615047
1933,292.7096161306721
1934,292.75196951252144
1935,292.60329372458256
1936,292.7567808386398
1937,292.69430065416304
1938,292.72954293865047
1939,292.6694708837221
1940,292.9022954235339
1941,292.7780471592732
1942,292.8647277832031
1943,293.00540913621035
1944,292.92864747765947
1945,292.86242533644577
1946,292.7487537122752
1947,292.77859346572666
1948,292.91838905648007
1949,292.92176823028143
1950,292.8801640758776
1951,292.80720883722176
1952,292.8063863675888
1953,292.8248578633348
1954,292.7444163701306
1955,292.7673823944509
1956,292.7394860672625
1957,292.8881099335135
1958,292.7281535109428
1959,292.87856035624463
1960,292.744385183674
1961,292.6460154076145
1962,292.7047845709813
1963,292.7270544600813
1964,292.7629035845195
1965,292.8506164550781
1966,292.7087026099636
1967,292.906689035076
1968,292.9087314553456
1969,292.7124290152772
1970,292.6348988154163
1971,292.6832459332192
1972,292.58782306827914
1973,292.7948579135006
1974,292.68543701171876
1975,292.7857396792059
1976,293.0835639849101
1977,292.89420617508557
1978,292.88046523838824
1979,292.9862099843482
1980,293.0444317543343
1981,292.96350983920155
1982,292.78685060265946
1983,292.87547423480305
1984,292.8830892484482
1985,292.9781010875963
1986,292.9373801871522
1987,293.0721402102954
1988,293.0549869903146
1989,292.9103549905019
1990,293.15234609107455
1991,292.935318871067
1992,292.99523875615364
1993,293.15133809128855
1994,293.04466561095353
1995,292.90297383347604
1996,292.9753129514929
1997,292.92850927065496
1998,292.8772251912992
1999,292.95210889006313
