year,tas
1850,286.5834053771137
1851,286.53731530594496
1852,286.5440736535477
1853,286.5163710502729
1854,286.51253185533494
1855,286.5387930256046
1856,286.5029599542487
1857,286.4454304734321
1858,286.5350210529484
1859,286.5640070667005
1860,286.4054761912725
1861,286.5694381086793
1862,286.5547488695954
1863,286.5067037504013
1864,286.33416137695315
1865,286.51417662738123
1866,286.5030314406303
1867,286.4475233940229
1868,286.24749162229773
1869,286.4351182075396
1870,286.5223284995719
1871,286.41904447372644
1872,286.38457649962544
1873,286.45103425326414
1874,286.62516546380033
1875,286.4150676570526
1876,286.4252209807095
1877,286.3910562593643
1878,286.5072812433112
1879,286.24274241826305
1880,286.49444086780284
1881,286.28820558312816
1882,286.29398444188786
1883,286.44213532748284
1884,286.1447797383347
1885,286.0836376451466
1886,286.17383865983516
1887,286.2569703820634
1888,286.2384674490314
1889,286.45169752983196
1890,286.19600152838717
1891,286.25646395748606
1892,286.34999489980197
1893,286.17080228622643
1894,286.27767634979665
1895,286.3337133120184
1896,286.17328624986624
1897,286.2732097468964
1898,286.3893343990796
1899,286.3059380518247
1900,286.30568697158606
1901,286.30963577897586
1902,286.2830797169306
1903,286.1578832338934
1904,286.25648184998397
1905,286.3326953626659
1906,286.42640213639766
1907,286.4789562486622
1908,286.5211845502462
1909,286.3405958201787
1910,286.3588569536601
1911,286.57162065897904
1912,286.556658851937
1913,286.4728328339041
1914,286.39845505805863
1915,286.69791284848566
1916,286.78632185426477
1917,286.6863797958583
1918,286.77546771323847
1919,286.731645307149
1920,286.8425211031143
1921,286.6902913132759
1922,286.7554391521297
1923,286.6096601930383
1924,286.64443777424015
1925,286.76568043329945
1926,286.7801129066781
1927,286.7563281751659
1928,286.8163667861729
1929,286.71413323389345
1930,286.77210091368795
1931,286.73707467693174
1932,286.57860943519904
1933,286.744715944055
1934,286.71562165560783
1935,286.79711286988976
1936,286.73823501377893
1937,286.81740806266055
1938,286.8457105662725
1939,286.74108410142867
1940,286.7957716850386
1941,286.7950820713827
1942,286.7037623575289
1943,286.7028807757652
1944,286.8060139695259
1945,286.8292826613335
1946,286.831168062393
1947,286.76746391400894
1948,286.940890795564
1949,286.6974631949647
1950,286.8793399340486
1951,286.8281241639019
1952,287.11080723592676
1953,286.8339010160263
1954,286.72909913781575
1955,286.89725876899615
1956,287.10927583877356
1957,287.03814195606805
1958,287.0482507156999
1959,287.0404231659353
1960,287.00572442877785
1961,286.997753070152
1962,286.9487141648384
1963,286.83814722348563
1964,286.9360786333476
1965,286.8672385855897
1966,286.7731184449914
1967,286.72573894343964
1968,286.7249745826199
1969,286.802897414116
1970,286.7870201633401
1971,286.7694589275203
1972,286.6514194436269
1973,286.63760192034994
1974,286.8367164925353
1975,286.8237379936323
1976,286.7014992073791
1977,286.7368914878532
1978,286.77253183861296
1979,286.6946663634418
1980,286.83061924764553
1981,286.90172035530816
1982,286.925804159086
1983,286.8894348144531
1984,286.8899082131582
1985,286.95728500575234
1986,286.877029126311
1987,286.9267648357235
1988,286.77922747886345
1989,286.8934646397421
1990,287.022271143247
1991,286.8440728174497
1992,286.825787186296
1993,286.89452222014125
1994,286.8267936811055
1995,286.9030932282748
1996,286.9178332185092
1997,286.8772562105362
1998,286.7674552185894
1999,286.96617314586905
2000,287.067367093857
2001,286.77896460964257
2002,286.8911427955105
2003,287.1384974649508
2004,286.9724147012789
2005,287.0940111970248
2006,287.22664259819135
2007,287.13835315443066
2008,287.11803864779534
2009,287.16617933299443
2010,286.93207589763483
2011,287.0345244943279
2012,287.0281531765036
2013,287.17020414169514
2014,287.1896023684985
