year,tas
2015,287.74328974830587
2016,287.8408761246695
2017,287.93445240062874
2018,287.8943300350939
2019,287.8234329222215
2020,288.00904300957626
2021,287.8797464749042
2022,288.0195616025167
2023,288.1279819796148
2024,288.09619066007457
2025,288.0375328110137
2026,288.0781350985624
2027,287.8805884553143
2028,288.2281569229888
2029,288.12253035251206
2030,287.9842311175006
2031,288.06539167960744
2032,288.38082724709693
2033,288.3249429505859
2034,288.364244497574
2035,288.2980677711158
2036,288.1049111705215
2037,288.27087612832725
2038,288.30149340527475
2039,288.3473948716096
2040,288.3821713103352
2041,288.18906260653625
2042,288.2594189410402
2043,288.12163565089566
2044,288.29067219845734
2045,288.47218501905894
2046,288.2863088921092
2047,288.3360406203423
2048,288.30768129660925
2049,288.27714443273186
2050,288.2781747363236
2051,288.356978359165
2052,288.2093755242249
2053,288.1991674575794
2054,288.2053734006633
2055,288.1715680448455
2056,288.38343888882724
2057,288.2616715604071
2058,288.3675141720308
2059,288.21979019453335
2060,288.27982007456364
2061,288.4070445581187
2062,288.23009808065683
2063,288.19334890055916
2064,288.34073534281293
2065,288.2229699635922
2066,288.25322095076444
2067,288.4890168673254
2068,288.2869300097318
2069,288.46295375263463
2070,288.3457758269991
2071,288.4297740966261
2072,288.23023722749485
2073,288.3171074089919
2074,288.4709041724222
2075,288.39927148393554
2076,288.56562242405346
2077,288.6874232769531
2078,288.46603241245805
2079,288.4974448525809
2080,288.49497632840706
2081,288.4057002587576
2082,288.3638264808564
2083,288.25375665447297
2084,288.4131982403933
2085,288.2410397425024
2086,288.23649503951566
2087,288.4544255339808
2088,288.4448235933066
2089,288.1096640845399
2090,288.1548783205791
2091,288.3940120588811
2092,288.2455071359944
2093,288.1967264481607
2094,288.3661283950709
2095,288.3942551655179
2096,288.4268514688096
2097,288.0784763136626
2098,288.22962689962037
2099,288.3369238317596
2100,288.48035265564965
