year,tas
1850,286.39018195165346
1851,286.5713862170912
1852,286.59554744354665
1853,286.6307465017658
1854,286.67752961459223
1855,286.54802070513165
1856,286.4854493859696
1857,286.6369999297678
1858,286.58582078071487
1859,286.5903255932951
1860,286.55276171540567
1861,286.40682155661386
1862,286.29143116572124
1863,286.3272455084814
1864,286.47665371829515
1865,286.49412891962754
1866,286.3956639120023
1867,286.551882223887
1868,286.4048433486729
1869,286.5232047303082
1870,286.5299327275525
1871,286.43606467051046
1872,286.4938603649401
1873,286.53930421594066
1874,286.49570521524504
1875,286.43880222268297
1876,286.5953819797464
1877,286.6424149186644
1878,286.51183521845564
1879,286.43943347669625
1880,286.53430660718107
1881,286.51061576947774
1882,286.549159721479
1883,286.5385191198897
1884,286.34775658176375
1885,286.451341268461
1886,286.48019333930864
1887,286.6227875173909
1888,286.58397459265296
1889,286.4158065168825
1890,286.30786810051904
1891,286.33588114699273
1892,286.42709041229665
1893,286.3315613629067
1894,286.2846791724636
1895,286.5167037336794
1896,286.56410296714466
1897,286.60401954128315
1898,286.5129330151701
1899,286.4323502213988
1900,286.5649113067209
1901,286.52498520106485
1902,286.7803403253424
1903,286.4430487645816
1904,286.47345873688994
1905,286.45547811429793
1906,286.643906266722
1907,286.49917067436326
1908,286.4850204676798
1909,286.55295560653894
1910,286.6947154423962
1911,286.66797242883126
1912,286.6838662343483
1913,286.50130439653793
1914,286.54499127113655
1915,286.52170485405077
1916,286.60073158577694
1917,286.8188193961365
1918,286.7690285042541
1919,286.5931842124626
1920,286.7271572165293
1921,286.7610266280501
1922,286.74016715271836
1923,286.74568130284143
1924,286.71162435453226
1925,286.6548447700395
1926,286.57554739338076
1927,286.59839435734165
1928,286.69057759324164
1929,286.61729920269687
1930,286.6930455037992
1931,286.7300790447078
1932,286.66898544520546
1933,286.8034041731325
1934,286.8878522481004
1935,286.8543222087703
1936,286.65554901541094
1937,286.6972826813998
1938,286.9021052948416
1939,286.6767935138859
1940,286.7337272748555
1941,286.7767370772688
1942,286.60522251912994
1943,286.7755414570848
1944,286.77753847723136
1945,286.8290194576734
1946,286.77133688730737
1947,287.0055506039972
1948,286.88452441071814
1949,286.93821411132814
1950,286.9796579021297
1951,286.9352545751284
1952,287.0509890203606
1953,286.759656096158
1954,286.6845235746201
1955,286.7257340940711
1956,286.75890477846747
1957,286.71141014621685
1958,286.82591870451625
1959,286.92345062673905
1960,286.83466253411285
1961,286.82865667473783
1962,286.8306725070901
1963,286.80556515210293
1964,286.6526801122378
1965,286.6540810780983
1966,286.5600039129388
1967,286.61997112117405
1968,286.7538918691139
1969,286.7502144591449
1970,286.59060819442954
1971,286.70843046005456
1972,286.80776225050835
1973,286.8620018527932
1974,286.89140466141373
1975,286.99002117000214
1976,286.82724350184606
1977,286.9176485244542
1978,286.71684102097606
1979,286.78067275791955
1980,286.92359167647686
1981,287.0885354238013
1982,287.1207512842465
1983,286.978229010595
1984,287.0050046319831
1985,287.0830561389662
1986,286.978462114726
1987,287.0690806767712
1988,287.19580981110875
1989,287.3268410878639
1990,287.30619398143193
1991,287.4035749043504
1992,287.12387845810144
1993,287.07895047958584
1994,287.1612016233679
1995,287.20894282092786
1996,287.44580947666947
1997,287.454442105228
1998,287.5503632845944
1999,287.72665505605204
2000,287.694259936189
2001,287.70595652959116
2002,287.84508867655717
2003,287.87966826974525
2004,287.7302311309396
2005,287.7890230361729
2006,287.9699945319188
2007,287.8432511839148
2008,287.85463541109266
2009,287.7893638297303
2010,287.95630944656995
2011,288.0625785096051
2012,287.9332738588934
2013,287.987515300594
2014,288.0284903748395
