year,tas
2015,288.15223957218535
2016,288.2158885380993
2017,288.2499734956924
2018,288.2138522213452
2019,288.4023932470035
2020,288.6008371013485
2021,288.46457109843215
2022,288.5102784875321
2023,288.53819019892444
2024,288.582539932042
2025,288.59370418182783
2026,288.6012273082994
2027,288.6730844158016
2028,288.5662797483679
2029,288.7530811048534
2030,289.1098249043504
2031,288.971151942423
2032,288.7911526614672
2033,288.98767014594927
2034,289.0433526026059
2035,288.889642501204
2036,288.91608769665027
2037,288.96224055878105
2038,288.9960816265786
2039,289.1055786968911
2040,288.946892390839
2041,288.93295421861626
2042,288.89292870090435
2043,288.9346957272046
2044,288.9784719806828
2045,288.98734774654855
2046,288.94829887494643
2047,288.9739840572827
2048,289.1139683553617
2049,289.01978149414066
2050,288.9672527156464
2051,288.9850780748341
2052,288.97785134511446
2053,289.0675562192316
2054,289.00826098298376
2055,288.8600476408658
2056,288.9787106866706
2057,289.2354125976562
2058,289.2734116645708
2059,289.2005097689694
2060,289.1747643039651
2061,288.92057712502674
2062,288.79433677359805
2063,288.9841540192905
2064,289.08858692744
2065,288.77793579101564
2066,288.8623867087168
2067,288.97970171366654
2068,288.9405748341182
2069,288.9813743277772
2070,289.11731826573197
2071,288.95935418115903
2072,288.87637421072344
2073,288.94187362879927
2074,289.0747140544734
2075,288.9199579944349
2076,288.8144445131903
2077,288.9378917119275
2078,288.60803222656244
2079,288.5862663373555
2080,288.76107537256524
2081,288.5604482154324
2082,288.7205717739994
2083,288.86253595221535
2084,288.8522649059557
2085,288.72566595208156
2086,288.84339607970355
2087,288.6827754608572
2088,288.74578364124034
2089,288.70866515277186
2090,288.7265049764555
2091,288.7199054874786
2092,288.73305898169946
2093,288.92281151340427
2094,288.79396211807045
2095,288.7180359722816
2096,288.8076555643996
2097,288.76986752862797
2098,288.66971803430005
2099,288.6764974515732
2100,288.63058480040667
