year,tas
1850,286.62701867508565
1851,286.35320651955794
1852,286.3561650524401
1853,286.4606249665561
1854,286.579262511371
1855,286.5654607903467
1856,286.69331071409465
1857,286.7955085649882
1858,286.5848118612211
1859,286.6285432998448
1860,286.45024857194454
1861,286.5004605227953
1862,286.54941088532746
1863,286.4765087388966
1864,286.51752611970244
1865,286.59595997431506
1866,286.5918962870559
1867,286.66445028226667
1868,286.6669145976028
1869,286.57545977030713
1870,286.53549629106914
1871,286.68792231311534
1872,286.80324205372426
1873,286.84305913219714
1874,286.71928903240047
1875,286.8300813021725
1876,286.80460046219497
1877,286.6279767598191
1878,286.677424851509
1879,286.73298749531784
1880,286.7509810774293
1881,286.61576178563786
1882,286.5335147387361
1883,286.68219035945526
1884,286.4578882504816
1885,286.5029688168878
1886,286.59699414396937
1887,286.6326534741545
1888,286.6323013932738
1889,286.5709437540133
1890,286.5281054353061
1891,286.40946839215
1892,286.4839585395709
1893,286.59672675981915
1894,286.63022661601025
1895,286.52281694804157
1896,286.6105695332566
1897,286.6883575857502
1898,286.733659132866
1899,286.91225050834765
1900,286.7347902062821
1901,286.83257722201415
1902,286.54912870224206
1903,286.51142661734804
1904,286.6076506314212
1905,286.5494068720569
1906,286.5739235237853
1907,286.5291179500214
1908,286.60007876043454
1909,286.6560173975278
1910,286.7664606799818
1911,286.58299961873934
1912,286.5215980843322
1913,286.451784567637
1914,286.4755275778574
1915,286.61419468709863
1916,286.7466041878478
1917,286.6193221418825
1918,286.50176592265086
1919,286.7258744749304
1920,286.6577803102258
1921,286.6179961740154
1922,286.67844564359484
1923,286.7656712362211
1924,286.62281502501605
1925,286.7552603107609
1926,286.6213515190229
1927,286.8339401454142
1928,286.6551547115796
1929,286.7205265410958
1930,286.8345320192102
1931,286.9353942871094
1932,286.8304842178136
1933,286.77728589201627
1934,286.70880469753314
1935,286.6650366378158
1936,286.76782945606817
1937,286.9814421353275
1938,287.0612867381475
1939,286.92526830385805
1940,286.8109775490957
1941,286.87145945927875
1942,286.94367274454197
1943,286.8398821268996
1944,286.85662808352953
1945,286.90062030112904
1946,286.7252096933861
1947,286.7732844104506
1948,286.95370734227845
1949,286.8253806754334
1950,286.825771467653
1951,286.88610956897475
1952,286.74453818961365
1953,286.87278400577907
1954,287.03823969592787
1955,286.8372864605629
1956,286.79215673159246
1957,286.905533714817
1958,286.9753219813517
1959,287.10149569576737
1960,287.0019461017766
1961,287.0470633728863
1962,287.06099142832295
1963,286.61358550607343
1964,286.678402250107
1965,286.6153552747753
1966,286.6240018661708
1967,286.58941892859053
1968,286.7128400410691
1969,286.72240132371036
1970,286.917391758749
1971,286.88009108451945
1972,286.93058404791844
1973,286.9379618605522
1974,287.0667474616064
1975,287.0379905387147
1976,286.91826372538526
1977,286.99070217184817
1978,287.10550286279965
1979,287.20607676048803
1980,287.09117715913953
1981,287.07135603395227
1982,287.1830151701627
1983,287.32567916243045
1984,287.19423351549125
1985,287.28538584251925
1986,287.3982637588292
1987,287.32098079315597
1988,287.19445407815175
1989,287.3529830305544
1990,287.4373464924015
1991,287.3577308968321
1992,287.18413236435146
1993,287.2756959680009
1994,287.39216032681395
1995,287.3094834419146
1996,287.4338274393996
1997,287.77791722963934
1998,287.7124561048534
1999,287.87809648905716
2000,287.90565703927655
2001,287.96562943131954
2002,287.9942648691674
2003,288.0420631722228
2004,288.2318443820901
2005,288.2926134919467
2006,288.26037254856055
2007,288.0346555108893
2008,288.150433934878
2009,288.1827819824219
2010,288.1845820178724
2011,288.28061489993576
2012,288.46934630511555
2013,288.3950814025043
2014,288.2598605221265
