year,tas
5201,286.8082765344071
5202,286.76973124464894
5203,286.78136019772046
5204,286.69698837489295
5205,286.7557011852526
5206,286.6135062439801
5207,286.6390646738549
5208,286.7340214977526
5209,286.72955782119544
5210,286.5841060272635
5211,286.4490180864726
5212,286.4229442021618
5213,286.4878713947453
5214,286.5633312486622
5215,286.66194106846643
5216,286.65545671018833
5217,286.63906007531574
5218,286.6774617234321
5219,286.7720103642712
5220,286.55491341368787
5221,286.52650171567313
5222,286.5662474749839
5223,286.5454245371361
5224,286.5873077810627
5225,286.57779624625425
5226,286.64997115461796
5227,286.769618287805
5228,286.6136039002301
5229,286.5971630357716
5230,286.623313924711
5231,286.5866124819403
5232,286.56201798948524
5233,286.52162885273975
5234,286.6669551483572
5235,286.5772411607716
5236,286.41152218335293
5237,286.4818246501766
5238,286.5278057777718
5239,286.63695511491335
5240,286.7365746066995
5241,286.68395552961795
5242,286.47286134484693
5243,286.5025355508883
5244,286.5675164209653
5245,286.7071617649026
5246,286.58968514220356
5247,286.56421575676904
5248,286.4032457325556
5249,286.44731211205055
5250,286.59032910490686
5251,286.64692942998175
5252,286.4512558192423
5253,286.56264339081224
5254,286.64247620465005
5255,286.6624091997538
5256,286.65383601776534
5257,286.58575606672724
5258,286.6276561162243
5259,286.74491978475487
5260,286.6241437520066
5261,286.5597402912297
5262,286.5993107207834
5263,286.59601482234586
5264,286.6181382270708
5265,286.5982639260488
5266,286.57529405567743
5267,286.63961775270224
5268,286.61288744782746
5269,286.6560240027022
5270,286.4984702750428
5271,286.4998779296875
5272,286.6092226629388
5273,286.5338839596265
5274,286.58865623996684
5275,286.6258503116974
5276,286.5124301858144
5277,286.3630628611943
5278,286.5439988227739
5279,286.4795999605362
5280,286.60405148022795
5281,286.59158835215106
5282,286.61536004053403
5283,286.5305471759953
5284,286.507232498796
5285,286.5434333696757
5286,286.6656995799444
5287,286.6556855502194
5288,286.62028139715324
5289,286.3889336572934
5290,286.6230284808433
5291,286.72970137922727
5292,286.7085192536655
5293,286.56326469525897
5294,286.462440135381
5295,286.3183563650471
5296,286.49115550420055
5297,286.7093157206496
5298,286.7392076466181
5299,286.73355002207296
5300,286.580296346586
5301,286.60723734816463
5302,286.89034657935576
5303,286.7729656898812
5304,286.61658676356484
5305,286.5790533196436
5306,286.556765872485
5307,286.47020196784035
