year,tas
1850,286.882100896966
1851,286.9932300306346
1852,286.97716047731166
1853,286.8368096338559
1854,286.9581175921714
1855,287.0111359896725
1856,286.8424356538955
1857,286.93382192115257
1858,286.94122406423907
1859,286.8758581710188
1860,286.9426348124465
1861,286.9559746729184
1862,287.00373158912134
1863,286.9566140370826
1864,286.96421977003956
1865,286.82921142578124
1866,286.8813355328286
1867,286.8986909213132
1868,286.9085696703767
1869,286.97647696717144
1870,287.104465432363
1871,286.9863398303724
1872,287.0845122872966
1873,287.1500022574647
1874,286.97345246615475
1875,287.06539465499253
1876,286.9270420022206
1877,287.03205775430763
1878,287.0295827369167
1879,286.996473756555
1880,286.9537404517605
1881,287.04270303804583
1882,287.0808907286762
1883,287.08815993217576
1884,286.81648852204614
1885,286.67908550941786
1886,286.70222243217574
1887,286.7833799597335
1888,286.78713420711154
1889,286.76999411386987
1890,286.80185856231265
1891,286.748903708262
1892,286.84168032293445
1893,286.76724243164057
1894,286.8651908142926
1895,286.79577787216397
1896,286.8891876638752
1897,286.95723007411175
1898,286.72485727806617
1899,286.7047634177012
1900,286.83276526046126
1901,286.6925494468375
1902,286.8164804118953
1903,286.727794657668
1904,286.9367466756742
1905,286.9176453472817
1906,286.9771469325235
1907,286.969727816647
1908,286.90394579743685
1909,286.9784770808808
1910,286.96027648089677
1911,286.85034890370827
1912,286.6674357375054
1913,286.6446337556186
1914,286.7091771792059
1915,286.70815530019263
1916,286.8895351462168
1917,286.7841755070098
1918,286.6883707124893
1919,286.71678048747856
1920,286.8865389889234
1921,286.8755185479987
1922,286.9142951024722
1923,286.93699600010706
1924,286.9834368980095
1925,286.99897519464366
1926,287.0568958857288
1927,287.0009197078339
1928,286.955358803109
1929,286.87560416443705
1930,286.84862545483736
1931,286.9125698977953
1932,287.1857522206764
1933,287.1483013832406
1934,286.9374564392926
1935,286.8682398965914
1936,286.938491863094
1937,286.92203360779644
1938,287.02286686309395
1939,286.9660651220034
1940,286.9773377300941
1941,287.0847632003157
1942,287.0341374645495
1943,286.98309334532854
1944,286.89660795028897
1945,286.79714823683645
1946,286.83047568961365
1947,286.8396654938999
1948,286.92305632290777
1949,286.9992873100386
1950,286.9683379708904
1951,287.15177144089796
1952,287.264642501204
1953,287.223779714924
1954,287.247362863201
1955,287.17147735177656
1956,287.12520944255675
1957,287.10802871495076
1958,286.92612931761016
1959,286.96847433847927
1960,286.9861721927173
1961,286.9859354933647
1962,287.0071240568815
1963,286.8666768949326
1964,286.62457459332194
1965,286.7855704529645
1966,286.8463682409835
1967,286.8264995418183
1968,286.8007463011023
1969,286.87515517979455
1970,286.92517173453547
1971,286.93914744755995
1972,286.8367929118953
1973,286.9867704208583
1974,287.0049942643675
1975,286.8747216629655
1976,286.94268798828125
1977,287.0795709479345
1978,286.93547672637527
1979,286.9159116980148
1980,287.02973356900145
1981,286.96801908310135
1982,287.0658776688249
1983,286.97165711285317
1984,286.89368344659675
1985,286.8886834967626
1986,287.09174512053187
1987,287.2336450864191
1988,287.2916415279859
1989,287.21497802734376
1990,287.2734650076252
1991,287.2854894350653
1992,286.9422631668718
1993,286.9446109301423
1994,286.94454303898226
1995,287.24699447840857
1996,287.32966668115904
1997,287.2062881260702
1998,287.1917525618044
1999,287.23934033537563
2000,287.29595571021514
2001,287.5051488588934
2002,287.490746401434
2003,287.53488719365373
2004,287.6104041530661
2005,287.7074947827483
2006,287.69367065429685
2007,287.59217186496676
2008,287.59094890437717
2009,287.7632461338828
2010,287.83309133869324
2011,287.84748560239194
2012,287.84163743110554
2013,287.98766454409247
2014,288.0756811690657
