year,tas
1850,287.27798269611515
1851,287.3512552339737
1852,287.3841119635595
1853,287.2676027898919
1854,287.1807484247913
1855,287.0959691713934
1856,287.2212897313784
1857,287.16131366050405
1858,287.20715214977525
1859,287.321619822881
1860,287.39860806399827
1861,287.3365887367562
1862,287.3325000501659
1863,287.24469571048263
1864,287.36108038915347
1865,287.34562127100276
1866,287.3680146517819
1867,287.3974899501016
1868,287.398892253719
1869,287.2926448456229
1870,287.42431205854024
1871,287.71795838238444
1872,287.49731645976027
1873,287.4289598438838
1874,287.61733749598676
1875,287.8443069248983
1876,287.72119249317745
1877,287.80429311255887
1878,287.6814494093803
1879,287.7720052640732
1880,287.8904459078018
1881,287.95861005391157
1882,287.9847152082888
1883,287.98740560453234
1884,288.00255954690175
1885,288.1771914129388
1886,288.1428787022421
1887,288.1766672630833
1888,288.12469816861085
1889,288.3152435720784
1890,288.3674925085616
1891,288.3581803831336
1892,288.4364404129655
1893,288.38845064346106
1894,288.50287099341824
1895,288.5478717960724
1896,288.62815710616434
1897,288.6961897340539
1898,288.7206662530769
1899,288.7075107522207
1900,288.64689214000964
1901,288.6509997224154
1902,288.78473736488655
1903,288.9494655661387
1904,289.059543139314
1905,288.996545493766
1906,288.8987266226991
1907,289.0069101830051
1908,289.07028833676696
1909,288.993385712088
1910,288.93132968014237
1911,289.05527343750003
1912,289.1315432195794
1913,289.1369183266
1914,289.2978426162511
1915,289.25751852793235
1916,289.14186744167375
1917,289.2665822486355
1918,289.3822392711901
1919,289.4122566118632
1920,289.37908458971
1921,289.4789876023384
1922,289.6333570506475
1923,289.878890113308
1924,289.58706848980626
1925,289.53611592331976
1926,289.7895573028146
1927,289.8786394511184
1928,289.64504310921444
1929,289.7698171119167
1930,289.9003683847924
1931,289.8665575001338
1932,289.9569265705266
1933,289.95156450663524
1934,289.9029358746254
1935,290.1642117434985
1936,290.3616460930811
1937,290.26431934931503
1938,290.14462907346956
1939,290.3053289544093
1940,290.4185332833904
1941,290.44728853408606
1942,290.5277053623983
1943,290.5490444235606
1944,290.58745752622
1945,290.38500416376814
1946,290.45912308366337
1947,290.77447961258565
1948,290.6120516006261
1949,290.64141954395865
1950,290.6942998180651
1951,290.72268752006636
1952,290.8058270180062
1953,290.7941241538688
1954,291.148811570259
1955,291.0034728167808
1956,290.8328686857876
1957,290.9068152858787
1958,291.1013842438998
1959,291.226784985686
1960,291.2995750949807
1961,291.3787498160584
1962,291.55458081389133
1963,291.4316225652825
1964,291.50151057831226
1965,291.65472052587216
1966,291.7309444897795
1967,291.30037582606485
1968,291.39375058526866
1969,291.56251354478803
1970,291.71085974288314
1971,291.7729519778735
1972,291.6252198101723
1973,291.72635439520013
1974,291.95396820486405
1975,292.028775484268
1976,292.00132914503956
1977,292.10433056975063
1978,292.1058001792594
1979,292.2008367669093
1980,292.17630916229666
1981,292.0906536781625
1982,292.2531937272581
1983,292.5102447091717
1984,292.4194283263324
1985,292.2751402972496
1986,292.37436807710833
1987,292.75436041845035
1988,292.9572502240743
1989,292.7384446235552
1990,292.66766415948734
1991,292.92907029243366
1992,292.8104820774026
1993,292.90763750468216
1994,293.22071240568806
1995,293.14185197386024
1996,292.91722445553296
1997,293.0181492635649
1998,293.10582434249244
1999,293.1538931232609
