year,tas
1850,287.38177674175944
1851,287.35153240047083
1852,287.32472943867725
1853,287.37998991665773
1854,287.2341839515999
1855,287.4076342438998
1856,287.44145557978385
1857,287.3116726809985
1858,287.27873777624677
1859,287.3599902845409
1860,287.2273006073416
1861,287.20329840673156
1862,287.2372791029003
1863,287.12722218134627
1864,287.1195501458155
1865,287.10461593000855
1866,287.1144589776862
1867,287.1428419975385
1868,287.1959544560681
1869,287.34182496789384
1870,287.2009578339041
1871,287.1071420329891
1872,287.29623120451623
1873,287.1972586853863
1874,287.146619404832
1875,287.24153400577904
1876,287.11349303363124
1877,287.23309643889127
1878,287.38778644718536
1879,287.23519153333683
1880,287.05692640330693
1881,287.20750724060895
1882,287.2288216368793
1883,287.11517894170055
1884,287.2290806600492
1885,287.2110763758829
1886,287.3673281316888
1887,287.2213145634899
1888,287.30773758561645
1889,287.36938117040347
1890,287.33986264581546
1891,287.3054835489351
1892,287.2117649026113
1893,287.29565739043767
1894,287.3210778641374
1895,287.0744317877782
1896,287.0931730923587
1897,287.2266080673427
1898,287.3233012996308
1899,287.11255610217785
1900,287.14410107756316
1901,286.9757952964469
1902,287.0990670818172
1903,287.12061399694994
1904,287.02997846211474
1905,287.15672599060895
1906,287.0718272588024
1907,287.1392205225278
1908,287.2352574178617
1909,287.20895427547083
1910,287.34597017471106
1911,287.31047931827914
1912,287.10724211392335
1913,287.18376389594926
1914,287.3134797396725
1915,287.4053468469071
1916,287.18436722428834
1917,287.21921804767766
1918,287.30493339643084
1919,287.2265982849957
1920,287.1298712743472
1921,287.0913935413099
1922,287.207473211419
1923,287.30059864619005
1924,287.2501292607556
1925,287.38712835442533
1926,287.4078543049016
1927,287.43685051904964
1928,287.3991604739672
1929,287.4271093917219
1930,287.3976561663902
1931,287.3049238649133
1932,287.34309115475173
1933,287.43026817008234
1934,287.3707492776113
1935,287.4932431573737
1936,287.468756354345
1937,287.4577591569456
1938,287.40903964107986
1939,287.3944600980576
1940,287.44929667433644
1941,287.4663032427226
1942,287.34849736461905
1943,287.40330910878635
1944,287.41292457058006
1945,287.32093296834864
1946,287.3613384926156
1947,287.28489555463403
1948,287.29767397527826
1949,287.3781182276059
1950,287.25039179553727
1951,287.3865047925139
1952,287.5288784915454
1953,287.4359804754388
1954,287.2741942523277
1955,287.2262390972817
1956,287.36411350197983
1957,287.3207815509953
1958,287.2810933988388
1959,287.54127205626605
1960,287.51928351415347
1961,287.49542528962434
1962,287.50265260461254
1963,287.6018286300032
1964,287.40095841917275
1965,287.2031705673426
1966,287.32958123194027
1967,287.37469858665986
1968,287.404862411708
1969,287.37499063570203
1970,287.26887516387524
1971,287.23199278949056
1972,287.319649725091
1973,287.29914274868895
1974,287.29174094004173
1975,287.2804552888217
1976,287.2626055991813
1977,287.302198101723
1978,287.2526830385809
1979,287.3358048112425
1980,287.2498950696972
1981,287.1846945566674
1982,287.09830171767976
1983,287.1141265451092
1984,287.1808302787885
1985,287.1548524621415
1986,287.008009902745
1987,287.1138580740315
1988,287.03055879775786
1989,287.08184312794305
1990,287.24983854947027
1991,287.2505541657749
1992,287.28182247632174
1993,287.2998549369916
1994,287.40706469392126
1995,287.27305456710184
1996,287.02534096077693
1997,287.2262728756421
1998,287.037033373689
1999,287.0860959405768
2000,287.13426313008347
2001,287.13534662952156
2002,287.0939548440175
2003,287.12599261558216
2004,287.190359204436
2005,287.16459793717894
2006,287.07574630110236
2007,287.1230915226348
2008,287.1008274026113
2009,287.1128441379495
2010,286.97865508615155
2011,287.04996312807685
2012,287.0526648952536
2013,287.1838597963934
2014,287.19320887735444
2015,287.25157504147046
2016,287.0760751384579
2017,287.0925320559985
2018,287.02225743123927
2019,287.0462044493793
2020,287.10495195780715
2021,286.8609533858626
2022,287.1187752501605
2023,287.05020158323526
2024,286.94371906437283
2025,287.1661172109107
2026,287.1203548065604
2027,287.0979440349422
2028,287.2370540253104
2029,287.1494205004548
2030,287.13688496628856
2031,287.1775388116706
2032,287.174814887896
2033,287.11686309396407
2034,287.1931659855255
2035,287.1588495959974
2036,287.18516293878423
2037,287.11666059102095
2038,287.0886099201359
2039,287.0456803831336
2040,287.2334499411387
2041,287.2147425821383
2042,287.18410226482234
2043,287.18077158470675
2044,287.13650755163746
2045,287.0806103850064
