year,tas
1850,287.5510405239993
1851,288.1139308981699
1852,288.63684207445954
1853,289.12869463358834
1854,289.56919664356803
1855,289.7396904932309
1856,290.0189779203232
1857,289.90893144999467
1858,290.08440292567417
1859,290.24911666243037
1860,290.18016349060895
1861,290.41205728609265
1862,290.5527857950289
1863,290.80970994087113
1864,290.9150686603703
1865,290.85132613508665
1866,290.8604505565069
1867,290.8949464562821
1868,291.0318113562179
1869,291.08362226094283
1870,291.0681024420751
1871,291.2753540039063
1872,291.5402655614565
1873,291.4396822158604
1874,291.39827788888596
1875,291.6452411808379
1876,291.71304756060033
1877,291.51330223606055
1878,291.52576987906673
1879,291.6798117441674
1880,291.9056620558647
1881,291.6728743043664
1882,291.78251443105194
1883,292.02893476094283
1884,291.87368055369757
1885,291.8388889260488
1886,291.81169910169626
1887,292.1033784213131
1888,292.1276740087222
1889,291.9913548299711
1890,292.07368097174657
1891,292.2525298654217
1892,292.03461362237795
1893,291.96728866786174
1894,292.1631131942958
1895,292.0679968428938
1896,292.0399758534889
1897,292.17778295229556
1898,292.2448932804474
1899,292.3003408771672
1900,292.51878093562715
1901,292.36283477365157
1902,292.3678393220248
1903,292.32796488722715
1904,292.4169694456335
1905,292.3314766661761
1906,292.4645721853596
1907,292.5662416222977
1908,292.3929866424979
1909,292.55014681881426
1910,292.6417283985712
1911,292.669465031036
1912,292.70593194830906
1913,292.778732592439
1914,292.3971049269585
1915,292.368413721372
1916,292.582477893568
1917,292.80936764233735
1918,292.65694178751073
1919,292.88050436777604
1920,292.9842992495183
1921,292.7159764956122
1922,292.77533184730834
1923,293.09201701961155
1924,292.84941824299017
1925,292.896934864619
1926,292.9779307744275
1927,293.1079485331496
1928,292.97382101816675
1929,292.855532878719
1930,292.86524390651755
1931,293.1161162912029
1932,292.8608257136933
1933,292.83571325850806
1934,292.8745822854238
1935,293.1298908390411
1936,293.3863852304955
1937,292.9626004989833
1938,292.92708397434177
1939,293.2196881856004
1940,293.25326320700447
1941,293.268989040427
1942,293.2567437158872
1943,293.38436061911386
1944,293.26199666898543
1945,293.4601567516588
1946,293.06190185546876
1947,293.10758583382386
1948,293.3246847074326
1949,293.20649857194456
1950,293.3210713425728
1951,293.34140708609806
1952,293.4442822600064
1953,293.56677338064526
1954,293.6444741445045
1955,293.2953339877194
1956,293.2238250314373
1957,293.4302724341823
1958,293.6417630966395
1959,293.26656510862585
1960,293.24200021404107
1961,293.4699850004013
1962,293.8419175239459
1963,293.34997098739836
1964,293.30765464469175
1965,293.6867194188784
1966,293.7703098244863
1967,293.42571628518294
1968,293.65632784072665
1969,293.6180448349208
1970,293.4360056419895
1971,293.71706902490905
1972,293.61597766614943
1973,293.4445075884257
1974,293.78847338532745
1975,293.77776631394477
1976,293.60606555677435
1977,293.5531826071543
1978,293.7624312727418
1979,293.6595032574379
1980,293.5650428249411
1981,293.4345522527825
1982,293.6422875809343
1983,293.81169383427874
1984,293.6918090820313
1985,293.4772727652772
1986,293.5259194570045
1987,293.6217026801958
1988,293.7642057235927
1989,293.5783938891267
1990,293.7005654530982
1991,293.83303699232124
1992,293.69958997752565
1993,293.5632881896137
1994,293.90544876725704
1995,293.8532584412457
1996,293.6136832459332
1997,293.69689381220564
1998,293.9066519959332
1999,293.7545031403842
2000,293.6164564158819
