year,tas
1850,286.8291438106583
1851,287.1182336582788
1852,287.11170434541697
1853,287.02863496365023
1854,286.91679158463455
1855,286.9712887502547
1856,287.052779783272
1857,286.96214252393196
1858,286.92930904771987
1859,287.0193394093014
1860,287.0277139917018
1861,287.1120003116924
1862,287.13486038249454
1863,287.0546401628138
1864,286.985025591615
1865,286.98885839388817
1866,287.03427752768107
1867,286.9299327545049
1868,287.0812149025072
1869,287.1229820449402
1870,287.2632389546018
1871,287.11685347855814
1872,287.1954677599457
1873,287.2909953402869
1874,287.3927705660618
1875,287.1793216761104
1876,287.2904186363866
1877,287.3463390557297
1878,287.3640053882653
1879,287.42318683042527
1880,287.58632602535016
1881,287.53864504044236
1882,287.6203871867817
1883,287.46082191732705
1884,287.55648504327667
1885,287.7424585131243
1886,287.7626438099777
1887,287.704384496907
1888,287.75498290863845
1889,287.8588129368429
1890,287.92414308661506
1891,287.7278330287107
1892,287.89484789679267
1893,287.9032182036452
1894,288.0527056624718
1895,288.2211249738576
1896,288.01507315063503
1897,288.19356249850165
1898,288.3915865126968
1899,288.34668693029823
1900,288.1663962413534
1901,288.27312863513157
1902,288.494249879032
1903,288.49846579389475
1904,288.6097358215739
1905,288.7294889418734
1906,288.79821844616845
1907,288.8039748835844
1908,288.85041650610935
1909,288.89451734101533
1910,288.93444044448046
1911,288.96371269996945
1912,288.96281284331997
1913,289.14678589596974
1914,289.1327989111062
1915,289.132905763619
1916,289.2697204014621
1917,289.17439506698906
1918,289.31866329184413
1919,289.3875797686966
1920,289.4318682265987
1921,289.5524130653938
1922,289.60734774015873
1923,289.6713971280248
1924,289.68027321748036
1925,289.5584255256206
1926,289.54062507484974
1927,289.7423695397962
1928,289.9557297726298
1929,289.764686414584
1930,289.7580043418323
1931,289.89943997349627
1932,289.9707709058352
1933,290.0457111241446
1934,289.93174113681323
1935,290.1918497161277
1936,290.2888921872336
1937,290.16086489553066
1938,290.1584846034671
1939,290.28549169281376
1940,290.1627553639427
1941,290.1381888094654
1942,290.4757555922063
1943,290.4712386855963
1944,290.4852191948787
1945,290.5629048491249
1946,290.5836699740371
1947,290.4882244422966
1948,290.5330105492973
1949,290.7377032643505
1950,290.76585508594445
1951,290.6880910592519
1952,290.7294980632703
1953,290.8391465331796
1954,290.83804152180704
1955,291.0170579631836
1956,290.99673543358466
1957,291.0190263967215
1958,291.1866370557762
1959,291.1481169865967
1960,291.17510199880417
1961,291.3281685551548
1962,291.16724941584687
1963,291.3164460188611
1964,291.6085760541386
1965,291.2768943892377
1966,291.3357186717483
1967,291.7641804962209
1968,291.63427269853975
1969,291.7573346861671
1970,291.94218657284614
1971,292.01751268833596
1972,292.06527960694484
1973,291.9534257030952
1974,292.04337732688253
1975,292.13411431431587
1976,292.20981936901893
1977,292.2470899161232
1978,292.1928527377665
1979,292.30063879843544
1980,292.3060434174515
1981,292.4759757217648
1982,292.67280338537614
1983,292.534825241188
1984,292.5410034485107
1985,292.7901767354643
1986,292.78312916621064
1987,292.6334355610437
1988,292.6744450784158
1989,292.9072670174119
1990,293.10492321039544
1991,292.7251119104114
1992,292.68470318125503
1993,292.861422782844
1994,293.1269210014907
1995,292.9133507799435
1996,292.8840683691502
1997,293.05953259901025
1998,293.3284476087182
1999,293.11282577765417
2000,293.0096195136443
